stepId;ReactionNumberId;koNumberIds;ecNumberIds;stochCoeff;compoundId;typeOfCompound;reversibility;taxonomy;reactionX;reactionY;CompoundX;CompoundY;reactionAbbr;compoundAbbr;keyComp
0;N-acetylgalactosaminide beta-1,3-galactosyltransferase	 glycoprotein-N-acetylgalactosamine 3-beta-galactosyltransferase	 uridine diphosphogalactose-mucin beta-(1->3)-galactosyltransferase	 UDP-galactose:glycoprotein-N-acetyl-D-galactosamine 3-beta-D-galactosyltransferase	 UDP-Gal:alpha-D-GalNAc-1,3-alpha-D-GalNAc-diphosphoundecaprenol beta-1,3-galactosyltransferase	 wbnJ (gene name)	 wbiP (gene name)	 C1GALT1 (gene name)	 UDP-alpha-D-galactose:glycoprotein-N-acetyl-D-galactosamine 3-beta-D-galactosyltransferase U00000;;2.4.1.122;;;;irreversible;;0;0;;;N-acetylgalactosaminide beta-1,3-galactosyltransferase;;true
1;globotriaosylceramide 3-beta-N-acetylgalactosaminyltransferase	 uridine diphosphoacetylgalactosamine-galactosylgalactosylglucosylceramide acetylgalactosaminyltransferase	 globoside synthetase	 UDP-N-acetylgalactosamine:globotriaosylceramide beta-3-N-acetylgalactosaminyltransferase	 galactosylgalactosylglucosylceramide beta-D-acetylgalactosaminyltransferase	 UDP-N-acetylgalactosamine:globotriaosylceramide beta1,3-N-acetylgalactosaminyltransferase	 globoside synthase	 gUDP-N-acetyl-D-galactosamine:D-galactosyl-1,4-D-galactosyl-1,4-D-glucosylceramide beta-N-acetyl-D-galactosaminyltransferase	 beta3GalNAc-T1	 UDP-N-acetyl-D-galactosamine:alpha-D-galactosyl-(1->4)-beta-D-galactosyl-(1->4)-beta-D-glucosylceramide 3III-beta-N-acetyl-D-galactosaminyltransferase	 UDP-N-acetyl-D-galactosamine:alpha-D-galactosyl-(1->4)-beta-D-galactosyl-(1->4)-beta-D-glucosyl-(1<->1)-ceramide 3III-beta-N-acetyl-D-galactosaminyltransferase	 UDP-N-acetyl-D-galactosamine:alpha-D-galactosyl-(1->4)-beta-D-galactosyl-(1->4)-beta-D-glucosyl-(1<->1)-ceramide III3-beta-N-acetyl-D-galactosaminyltransferase U00001;;2.4.1.79;;;;irreversible;;0;50;;;globotriaosylceramide 3-beta-N-acetylgalactosaminyltransferase;;true
2;galactosylxylosylprotein 3-beta-galactosyltransferase	 galactosyltransferase II	 uridine diphosphogalactose-galactosylxylose galactosyltransferase	 UDP-galactose:4-beta-D-galactosyl-O-beta-D-xylosylprotein 3-beta-D-galactosyltransferase	 UDP-alpha-D-galactose:4-beta-D-galactosyl-O-beta-D-xylosylprotein 3-beta-D-galactosyltransferase U00002;;2.4.1.134;;;;irreversible;;0;100;;;galactosylxylosylprotein 3-beta-galactosyltransferase;;true
3;O-fucosylpeptide 3-beta-N-acetylglucosaminyltransferase	 O-fucosylpeptide beta-1,3-N-acetylglucosaminyltransferase	 fringe (ambiguous) U00003;;2.4.1.222;;;;irreversible;;0;150;;;O-fucosylpeptide 3-beta-N-acetylglucosaminyltransferase;;true
4;glucuronosyl-N-acetylgalactosaminyl-proteoglycan 4-beta-N-acetylgalactosaminyltransferase	 N-acetylgalactosaminyltransferase II	 UDP-N-acetyl-D-galactosamine:D-glucuronyl-N-acetyl-1,3-beta-D-galactosaminylproteoglycan beta-1,4-N-acetylgalactosaminyltransferase	 chondroitin synthase	 glucuronyl-N-acetylgalactosaminylproteoglycan beta-1,4-N-acetylgalactosaminyltransferase	 uridine diphosphoacetylgalactosamine-chondroitin acetylgalactosaminyltransferase II	 UDP-N-acetyl-D-galactosamine:beta-D-glucuronosyl-(1->3)-N-acetyl-beta-D-galactosaminyl-proteoglycan 4-beta-N-acetylgalactosaminyltransferase	 UDP-N-acetyl-alpha-D-galactosamine:beta-D-glucuronosyl-(1->3)-N-acetyl-beta-D-galactosaminyl-proteoglycan 4-beta-N-acetylgalactosaminyltransferase U00004;;2.4.1.175;;;;irreversible;;0;200;;;glucuronosyl-N-acetylgalactosaminyl-proteoglycan 4-beta-N-acetylgalactosaminyltransferase;;true
5;N-acetyllactosaminide beta-1,3-N-acetylglucosaminyltransferase	 uridine diphosphoacetylglucosamine-acetyllactosaminide beta1->3-acetylglucosaminyltransferase	 poly-N-acetyllactosamine extension enzyme	 Galbeta1->4GlcNAc-R beta1->3 N-acetylglucosaminyltransferase	 UDP-GlcNAc:GalR beta-D-3-N-acetylglucosaminyltransferase	 N-acetyllactosamine beta(1-3)N-acetylglucosaminyltransferase	 UDP-GlcNAc:Galbeta1->4GlcNAcbeta-Rbeta1->3-N-acetylglucosaminyltransferase	 GnTE	 UDP-N-acetyl-D-glucosamine:beta-D-galactosyl-1,4-N-acetyl-D-glucosamine beta-1,3-acetyl-D-glucosaminyltransferase	 beta-galactosyl-N-acetylglucosaminylgalactosylglucosyl-ceramide beta-1,3-acetylglucosaminyltransferase	 UDP-N-acetyl-D-glucosamine:beta-D-galactosyl-(1->4)-N-acetyl-D-glucosamine 3-beta-N-acetyl-D-glucosaminyltransferase U00005;;2.4.1.149;;;;irreversible;;0;250;;;N-acetyllactosaminide beta-1,3-N-acetylglucosaminyltransferase;;true
6;N-acetylgalactosaminyl-proteoglycan 3-beta-glucuronosyltransferase	 chondroitin glucuronyltransferase II	 alpha-D-glucuronate:N-acetyl-beta-D-galactosaminyl-(1->4)-beta-D-glucuronosyl-proteoglycan 3-beta-glucuronosyltransferase	 UDP-alpha-D-glucuronate:N-acetyl-beta-D-galactosaminyl-(1->4)-beta-D-glucuronosyl-proteoglycan 3-beta-glucuronosyltransferase U00006;;2.4.1.226;;;;irreversible;;0;300;;;N-acetylgalactosaminyl-proteoglycan 3-beta-glucuronosyltransferase;;true
7;2.4.1.- U00007;;2.4.1.-;;;;irreversible;;0;350;;;2.4.1.-;;true
