stepId;ReactionNumberId;koNumberIds;ecNumberIds;stochCoeff;compoundId;typeOfCompound;reversibility;taxonomy;reactionX;reactionY;CompoundX;CompoundY;reactionAbbr;compoundAbbr;keyComp
0;sterol esterase	 cholesterol esterase	 cholesteryl ester synthase	 triterpenol esterase	 cholesteryl esterase	 cholesteryl ester hydrolase	 sterol ester hydrolase	 cholesterol ester hydrolase	 cholesterase	 acylcholesterol lipase U00000;;3.1.1.13;;;;irreversible;;0;0;;;sterol esterase;;true
1;3.1.1.- U00001;;3.1.1.-;;;;irreversible;;0;50;;;3.1.1.-;;true
2;acetylcholinesterase	 true cholinesterase	 choline esterase I	 cholinesterase	 acetylthiocholinesterase	 acetylcholine hydrolase	 acetyl.beta-methylcholinesterase	 AcCholE U00002;;3.1.1.7;;;;irreversible;;0;100;;;acetylcholinesterase;;true
3;cholinesterase	 pseudocholinesterase	 butyrylcholine esterase	 non-specific cholinesterase	 choline esterase II (unspecific)	 benzoylcholinesterase	 choline esterase	 butyrylcholinesterase	 propionylcholinesterase	 BtChoEase U00003;;3.1.1.8;;;;irreversible;;0;150;;;cholinesterase;;true
4;triacylglycerol lipase	 lipase (ambiguous)	 butyrinase	 tributyrinase	 Tween hydrolase	 steapsin	 triacetinase	 tributyrin esterase	 Tweenase	 amno N-AP	 Takedo 1969-4-9	 Meito MY 30	 Tweenesterase	 GA 56	 capalase L	 triglyceride hydrolase	 triolein hydrolase	 tween-hydrolyzing esterase	 amano CE	 cacordase	 triglyceridase	 triacylglycerol ester hydrolase	 amano P	 amano AP	 PPL	 glycerol-ester hydrolase	 GEH	 meito Sangyo OF lipase	 hepatic lipase	 lipazin	 post-heparin plasma protamine-resistant lipase	 salt-resistant post-heparin lipase	 heparin releasable hepatic lipase	 amano CES	 amano B	 tributyrase	 triglyceride lipase	 liver lipase	 hepatic monoacylglycerol acyltransferase	 PNLIP (gene name)	 LIPF (gene name) U00004;;3.1.1.3;;;;irreversible;;0;200;;;triacylglycerol lipase;;true
