CONNECTION_FROM	CONNECTION_TO	CONNECTION_TYPE
1.1.1.1	R07105
1.1.1.1	R00623
1.1.1.1	R00754
1.1.1.1	R02124
1.1.1.1	R02878
1.1.1.1	R04805
1.1.1.1	R04880
1.1.1.1	R05233
1.1.1.1	R05234
1.1.1.1	R06917
1.1.1.1	R06927
1.1.1.1	R08281
1.1.1.1	R08306
1.1.1.1	R08557
1.1.1.1	R08558
1.1.1.1	R10783
1.1.1.1	R00624
1.1.1.1	R08310
1.1.1.10	R01904
1.1.1.100	R10116
1.1.1.100	R10120
1.1.1.100	R02767
1.1.1.100	R04533
1.1.1.100	R04534
1.1.1.100	R04536
1.1.1.100	R04543
1.1.1.100	R04566
1.1.1.100	R04953
1.1.1.100	R04964
1.1.1.100	R07763
1.1.1.101	R02756
1.1.1.101	R04360
1.1.1.101	R03357
1.1.1.102	R02978
1.1.1.103	R01465
1.1.1.104	R03292
1.1.1.104	R03290
1.1.1.105	R02124
1.1.1.106	R02471
1.1.1.107	R01707
1.1.1.108	R02395
1.1.1.11	R00868
1.1.1.11	R05604
1.1.1.110	R01370
1.1.1.110	R03337
1.1.1.110	R12256
1.1.1.111	R04185
1.1.1.111	R04186
1.1.1.112	R03582
1.1.1.112	R03583
1.1.1.113	R03586
1.1.1.114	R03577
1.1.1.115	R01079
1.1.1.116	R01574
1.1.1.117	R01574
1.1.1.117	R01575
1.1.1.118	R00300
1.1.1.119	R00301
1.1.1.119	R07147
1.1.1.12	R01903
1.1.1.120	R01097
1.1.1.120	R01096
1.1.1.121	R00300
1.1.1.121	R01429
1.1.1.121	R02847
1.1.1.121	R08544
1.1.1.122	R07675
1.1.1.122	R07148
1.1.1.122	R08926
1.1.1.123	R01694
1.1.1.124	R00871
1.1.1.124	R08651
1.1.1.125	R01542
1.1.1.125	R04049
1.1.1.126	R01543
1.1.1.127	R01542
1.1.1.129	R03733
1.1.1.13	R02441
1.1.1.130	R02637
1.1.1.130	R02639
1.1.1.131	R02455
1.1.1.131	R02456
1.1.1.132	R00880
1.1.1.133	R02777
1.1.1.134	R02776
1.1.1.135	R03396
1.1.1.135	R03398
1.1.1.136	R00421
1.1.1.137	R01524
1.1.1.137	R01525
1.1.1.138	R00870
1.1.1.14	R00875
1.1.1.14	R01896
1.1.1.14	R07145
1.1.1.140	R05607
1.1.1.140	R07133
1.1.1.141	R02683
1.1.1.141	R02580
1.1.1.142	R03498
1.1.1.143	R03497
1.1.1.144	R03945
1.1.1.145	R01837
1.1.1.145	R02216
1.1.1.145	R02499
1.1.1.145	R02840
1.1.1.145	R03327
1.1.1.145	R04163
1.1.1.145	R04678
1.1.1.145	R04849
1.1.1.145	R09920
1.1.1.145	R03176
1.1.1.146	R09420
1.1.1.146	R02836
1.1.1.146	R03203
1.1.1.146	R03848
1.1.1.146	R04758
1.1.1.146	R04840
1.1.1.147	R03226
1.1.1.147	R03227
1.1.1.148	R02347
1.1.1.148	R02349
1.1.1.149	R02207
1.1.1.149	R02209
1.1.1.149	R08958
1.1.1.149	R08959
1.1.1.149	R03325
1.1.1.15	R00875
1.1.1.15	R05831
1.1.1.15	R08536
1.1.1.15	R02896
1.1.1.150	R03043
1.1.1.151	R03044
1.1.1.152	R04309
1.1.1.153	R01813
1.1.1.153	R11762
1.1.1.153	R11763
1.1.1.153	R02975
1.1.1.153	R08208
1.1.1.154	R02935
1.1.1.154	R02936
1.1.1.156	R01039
1.1.1.157	R05576
1.1.1.157	R06941
1.1.1.157	R01976
1.1.1.159	R02792
1.1.1.16	R02928
1.1.1.160	R04623
1.1.1.162	R08573
1.1.1.163	R02229
1.1.1.163	R02553
1.1.1.164	R02462
1.1.1.165	R03963
1.1.1.166	R05315
1.1.1.167	R02969
1.1.1.168	R03155
1.1.1.169	R02472
1.1.1.17	R00758
1.1.1.17	R02703
1.1.1.170	R04328
1.1.1.170	R04483
1.1.1.170	R07149
1.1.1.170	R07494
1.1.1.170	R12366
1.1.1.170	R12404
1.1.1.170	R12406
1.1.1.172	R01932
1.1.1.173	R03942
1.1.1.174	R03278
1.1.1.174	R06621
1.1.1.174	R03279
1.1.1.175	R01429
1.1.1.176	R02793
1.1.1.177	R00845
1.1.1.178	R04203
1.1.1.179	R01430
1.1.1.18	R01183
1.1.1.181	R04264
1.1.1.181	R04263
1.1.1.181	R08721
1.1.1.181	R08723
1.1.1.181	R08724
1.1.1.181	R08728
1.1.1.183	R08083
1.1.1.183	R08084
1.1.1.183	R08085
1.1.1.183	R03581
1.1.1.184	R02581
1.1.1.184	R02975
1.1.1.184	R03557
1.1.1.184	R04285
1.1.1.184	R09420
1.1.1.185	R03584
1.1.1.185	R03585
1.1.1.186	R03826
1.1.1.186	R07150
1.1.1.187	R03397
1.1.1.187	R03399
1.1.1.187	R03396
1.1.1.187	R03398
1.1.1.188	R02799
1.1.1.188	R02684
1.1.1.189	R02581
1.1.1.19	R01481
1.1.1.190	R02679
1.1.1.191	R02680
1.1.1.192	R02462
1.1.1.192	R01998
1.1.1.193	R03458
1.1.1.194	R02593
1.1.1.195	R02593
1.1.1.195	R03918
1.1.1.195	R06570
1.1.1.195	R06571
1.1.1.195	R07437
1.1.1.195	R03054
1.1.1.196	R02683
1.1.1.196	R02800
1.1.1.197	R04552
1.1.1.198	R02944
1.1.1.199	R07345
1.1.1.2	R01481
1.1.1.2	R00625
1.1.1.2	R00746
1.1.1.2	R01041
1.1.1.2	R05231
1.1.1.2	R07328
1.1.1.20	R03183
1.1.1.200	R00834
1.1.1.201	R03753
1.1.1.202	R02377
1.1.1.202	R03119
1.1.1.203	R10841
1.1.1.203	R10842
1.1.1.205	R08240
1.1.1.205	R01130
1.1.1.206	R02832
1.1.1.207	R02177
1.1.1.208	R02548
1.1.1.209	R02476
1.1.1.209	R02477
1.1.1.21	R02531
1.1.1.21	R02577
1.1.1.21	R04285
1.1.1.21	R11764
1.1.1.21	R01036
1.1.1.21	R01041
1.1.1.21	R01093
1.1.1.21	R01095
1.1.1.21	R01431
1.1.1.21	R01758
1.1.1.21	R01759
1.1.1.21	R01787
1.1.1.21	R02819
1.1.1.21	R02820
