ReactionID	StochCoeff	Product	other site
R03375	1	C03486	
R06890	1	C00001	
R06890	1	C13638	
R06890	1	C00006	
R08135	1	C00477	
R10996	1	C00011	
R10996	1	C21017	
R11723	1	C00013	
R11723	1	C00010	
R11723	1	C00020	
R11723	1	C08511	
R02766	1	C00080	
R02766	1	C00004	
R02766	1	C00685	
R01414	1	C00178	
R01414	1	C00080	
R01414	1	C00004	
R03944	1	C03715	
R03944	1	C00008	
R07497	1	C15777	
R05966	1	G00094	
R05966	1	C01132	
R09400	1	C00035	
R09400	1	C00009	
R09400	1	C00876	
R07234	1	C00021	
R07234	1	C04153	
R08359	1	C00170	
R08359	1	C16565	
R11971	1	C21815	
R11971	6	C00080	
R11971	6	C00126	
R00682	1	C00078	
R00682	1	C00014	
R01205	1	C00611	
R01205	1	C00015	
R00762	1	C00085	
R00762	1	C00009	
R02529	1	C00546	
R02529	1	C00027	
R02529	1	C00014	
R03266	1	C01127	
R03266	1	C00025	
R09670	1	C00055	
R09670	1	C19799	
R04954	1	C05748	
R04954	1	C00001	
R03963	1	C02648	
R03963	1	C00080	
R03963	1	C00004	
R06593	1	C00001	
R06593	1	C12108	
R00649	1	C00021	
R00649	1	C03172	
R12014	1	C21849	
R12014	n	C00015	
R05644	1	C00013	
R05644	1	C06397	
R05884	1	C00001	
R05884	1	C00129	
R05884	2	C00139	
R06927	1	C14099	
R06927	1	C00080	
R06927	1	C00004	
R04588	1	C04334	
R04588	1	C01134	
R10033	1	C00001	
R10033	1	C00011	
R10033	1	C03219	
R11772	1	C00558	
R12444	1	C00001	
R12444	1	C03161	
R12444	1	C22169	
R09906	1	C17966	
R11473	1	C00001	
R11473	1	C21352	
R01450	1	C00256	
R04211	1	C00010	
R04211	1	C04209	
R12347	1	C00033	
R12347	1	C20297	
R06651	1	C12398	
R10595	1	C00363	
R10595	1	C20721	
R04538	1	C04622	
R10705	1	C00033	
R10705	1	C00132	
R10732	1	C00013	
R10732	1	C20811	
R01530	1	C00199	
R10549	1	C03371	
R10549	1	C00080	
R10549	1	C00005	
R07297	1	C00911	
R07297	1	C00009	
R11932	1	C00011	
R11932	1	C21762	
R01299	1	C00530	
R01299	1	C00001	
R01299	1	C00011	
R01299	1	C00006	
R09228	1	C00080	
R09228	1	C03223	
R09228	1	C00004	
R02099	1	C00365	
R02099	1	C00008	
R06386	1	C00001	
R06386	1	C00006	
R06386	1	C11402	
R09919	1	C00280	
R03719	1	C00010	
R03719	1	C05467	
R09733	1	C00035	
R09733	1	C19855	
R05084	1	C06052	
R05084	1	C00080	
R05084	1	C00004	
R04470	1	C03692	
R04470	1	C00124	
R04770	1	C05703	
R04770	1	C00109	
R04770	1	C00014	
R06832	1	C00080	
R06832	1	C12831	
R06832	1	C00004	
R07175	1	C00080	
R07175	1	C00005	
R07175	1	C02015	
R10479	2	C00001	
R10479	1	C20583	
R10479	1	C00006	
R08041	1	C01468	
R03714	1	C00030	
R03714	1	C01780	
R11835	1	C00013	
R11835	1	C21690	
R06051	1	G10619	
R06051	1	G10495	(n+1)
R10119	1	C00011	
R10119	1	C00229	
R10119	1	C20376	
R01883	1	C00021	
R01883	1	C00300	
R11464	1	C11461	
R12512	1	C00067	
R12512	1	C00001	
R12512	1	C22223	
R12512	1	C00006	
R00519	1	C00011	
R00519	1	C00080	
R00519	1	C00004	
R03585	1	C03667	
R03585	1	C00080	
R03585	1	C00005	
R11183	1	C20959	
R11183	1	C00008	
R01320	1	C00021	
R01320	1	C00157	
R05245	1	C06587	
R03780	1	C00008	
R03780	1	C03796	
R09858	1	C20140	
R09858	1	C00009	
R06055	1	G10619	
R06055	1	G00246	
R09065	1	C00013	
R09065	1	C18162	
R02624	1	C00132	
R02624	1	C00614	
R06471	1	C08615	
R01242	1	C00054	
R01242	1	C00850	
R08973	1	C00021	
R08973	1	C04831	
R07783	1	C16247	
R00149	1	C00009	
R00149	2	C00008	
R00149	1	C00169	
R03444	1	C00001	
R03444	1	C04002	
R05756	1	C00021	
R05756	1	C07308	
R00623	1	C00071	
R00623	1	C00080	
R00623	1	C00004	
R11637	1	C21523	
R11637	1	C00080	
R11637	1	C00004	
R08226	1	C16630	
R08226	1	C00006	
R11226	1	C21217	
R11226	3	C00080	
R11226	3	C00005	
R07092	1	C01327	
R07092	1	C14865	
R08161	2	C00001	
R08161	1	C16520	
R08161	2	C00139	
R09184	1	C18272	
R10959	1	C00021	
R10959	1	C12381	
R09126	1	C01596	
R09126	1	C00058	
R08022	1	C09806	
R08022	1	C00015	
R04649	1	C00055	
R04649	1	C06141	
R10848	1	C00905	
R10848	1	C00080	
R10848	1	C00004	
R09553	1	C00067	
R09553	1	C19681	
R11442	1	C04353	
R11938	2	C00035	
R11938	1	C21781	
R05926	1	G10619	
R05926	1	G00155	
R08466	1	C16719	
R03688	1	C00001	
R03688	1	C03827	
R06846	1	C00944	
R06846	1	C00080	
R06846	1	C00005	
R03353	1	C03845	
R09840	1	C00010	
R09840	1	C07086	
R10283	1	C00022	
R10283	1	C00048	
R10284	1	C00013	
R10284	1	C20486	
R00953	1	C00031	
R00953	1	C00103	
R02697	1	C00080	
R02697	1	C00005	
R02697	1	C00642	
R00736	1	C00011	
R00736	1	C00483	
R08780	1	C17549	
R08780	1	C01635	
R07350	1	C00080	
R07350	1	C15597	
R07350	1	C00005	
R11538	1	C00013	
R11538	1	C21447	
R09813	2	C00001	
R09813	1	C19939	
R09813	2	C00139	
R11582	1	C00013	
R11582	1	C21485	
R03857	1	C03221	
R03857	1	C01352	
R02395	1	C02636	
R02395	1	C00080	
R02395	1	C00004	
R01415	1	C00178	
R01415	1	C00080	
R01415	1	C00005	
R07554	1	C15937	
R03017	1	C00010	
R03017	1	C03707	
R11490	1	C21410	
R11490	1	C00027	
R10392	1	C00001	
R10392	1	C20581	
R11955	1	C00143	
R11955	1	C21801	
R09602	1	C19727	
R09602	2	C00001	
R09602	1	C03161	
R08812	1	C10443	
R02180	1	C00054	
R02180	1	C00634	
R09475	1	C00013	
R09475	1	C00020	
R09475	1	C03939	
R00039	1	C00089	
R00039	1	C08242	
R11899	1	C21753	
R02147	1	C00242	
