Substrate;Product
C00311;C00026
C01054;C01724
C01724;C11455
C11455;C05108
C05108;C15808
C15808;C15816
C15816;C05103
C05103;C22112
C22112;C22136
C22136;C05437
C05437;C03845
C03845;C01189
C01189;C01164
C01164;C00187
C00078;C20563
C00148;C20563
C20563;C20512
C20512;C20513
C20513;C20607
C20607;C20604
C20604;C20605
C20605;C20630
C20630;C20045
C20045;C20564
C00044;C01304
C01304;C05925
C05925;C04874
C04874;C01300
C01300;C04807
C01300;C00921
C04807;C00921
C00921;C00415
C00415;C00101
C00218;C03920
C00543;C03920
C00565;C03920
C03920;C01438
C03920;C04832
C04628;C01438
C04628;C04832
C04832;C04628
C00078;C22145
C00108;C22145
C00041;C22145
C22145;C22146
C22146;C22147
C22147;C22148
C22148;C22149
C00251;C00254
C00254;C00166
C00166;C00079
C00119;C02739
C02739;C02741
C02741;C04896
C04896;C04916
C04916;C04666
C04666;C01267
C01267;C01100
C01100;C00860
C00860;C01929
C01929;C00135
C16168;C16374
C16374;C16375
C16375;C16376
C16376;C16169
C16172;C16387
C16387;C16388
C16388;C16389
C16389;C16173
C00251;C18054
C18054;C19686
C19686;C21306
C21306;C21307
C21307;C11468
C11468;C11448
C00047;C01028
C01028;C03955
C03955;C20333
C20333;C05554
C00083;C12348
C12348;C18327
C18327;C18328
C18328;C18329
C18329;C18353
C21430;C12441
C00083;C12441
C12441;C12442
C12442;C18293
C18293;C18294
C00083;C12354
C12354;C18330
C18330;C18331
C18331;C18332
C18332;C18629
C12354;C18336
C18336;C18709
C12354;C18337
C01033;C11977
C11977;C11978
C11978;C11979
C11979;C11980
C11980;C11982
C11982;C11984
C11979;C11981
C11981;C11983
C00630;C11961
C11961;C11962
C11962;C11963
C11963;C11964
C11964;C11966
C11966;C11968
C11963;C11965
C11965;C11967
C01161;C04642
C04642;C04186
C04186;C04052
C04052;C05600
C05600;C03063
C00188;C00109
C00109;C06006
C06006;C14463
C14463;C06007
C06007;C00671
C00671;C00407
C01172;C01236
C01236;C00345
C00345;C00199
C00199;C00231
C00199;C00117
C00117;C05382
C00117;C00118
C00231;C05382
C00231;C00118
C05382;C00279
C05382;C05345
C00118;C00279
C00118;C05345
C00279;C05345
C00279;C00118
C00231;C05345
C00231;C00118
C05345;C00668
C00668;C01172
C00189;C00346
C00346;C00570
C00570;C00350
C00251;C00108
C00108;C04302
C04302;C01302
C01302;C03506
C03506;C00078
C00180;C06321
C06321;C00090
C01454;C06729
C06729;C06730
C07215;C06731
C06731;C02923
C07211;C06720
C06720;C02923
C00024;C00332
C00332;C00356
C00024;C00356
C00356;C00418
C00418;C01107
C01107;C20345
C00418;C20847
C20847;C20848
C20848;C20345
C20345;C00129
C00129;C00235
C00078;C02700
C02700;C00328
C00328;C03227
C03227;C00632
C00632;C04409
C04409;C03824
C03824;C02220
C00077;C00515
C00515;C22101
C22101;C22102
C00199;C06019
C00067;C06019
C06019;C00085
C00085;C00354
C00354;C00118
C00199;C06019
C00067;C06019
C06019;C05345
C05345;C05378
C05378;C00118
C00065;C01005
C01005;C21559
C21559;C03401
C03401;C22072
C22072;C22073
C22073;C22074
C22074;C22075
C00100;C00894
C00894;C05668
C05668;C01013
C01013;C00222
C00222;C00024
C01182;C00988
C01182;C00197
C00988;C00160
C00160;C00048
C00160;C00027
C00007;C00048
C00007;C00027
C00027;C00007
C00048;C00026
C00048;C00037
C00025;C00026
C00025;C00037
C00037;C00065
C00065;C00168
C00065;C00037
C00048;C00168
C00048;C00037
C00168;C00258
C00258;C00197
C00037;C00014
C20956;C17691
C17691;C17692
C17692;C17693
C17693;C21204
C21204;C21205
C21205;C21206
C21206;C21207
C04268;C21208
C21207;C21208
C21208;C21156
C21156;C06802
C00199;C01182
C01182;C00197
C00011;C00197
C00197;C00236
C00236;C00118
C00024;C00158
C00036;C00158
C00158;C00417
C00417;C00311
C00311;C00048
C00024;C00149
C00048;C00149
C00149;C00036
C07481;C13747
C13747;C16353
C07481;C07480
C07480;C16353
C16353;C00385
C00111;C00118
C00118;C00236
C00236;C00197
C00118;C00197
C00197;C00631
C00631;C00074
C00074;C00022
C00108;C00090
C11907;C04268
C04268;C11909
C11909;C11910
C11910;C11911
C00074;C00036
C00036;C00049
C00049;C00036
C00036;C00074
C00036;C00011
C00134;C02714
C02714;C05936
C05936;C02946
C02946;C00334
C00118;C00354
C00354;C00085
C00085;C00279
C00279;C00447
C00447;C05382
C05382;C00117
C00117;C00199
C00257;C00204
C00204;C04442
C04442;C00118
C04442;C00022
C00880;C01216
C01216;C01286
C01286;C00118
C00118;C00197
C00062;C00179
C00179;C00134
C00019;C01137
C01137;C00315
C00134;C00315
C06578;C06579
C06579;C06580
C06580;C06581
C06581;C06582
C06582;C00596
C06582;C02632
C11907;C11908
C11908;C11925
C11925;C11933
C00956;C05556
C00183;C05556
C00097;C05556
C05556;C05557
C05557;C06564
C06564;C06565
C06565;C03112
C03112;C06568
C06568;C06569
C06569;C06566
C00385;C00366
C00366;C11821
C11821;C12248
C12248;C02350
C02350;C00499
C00499;C00086
C01164;C05443
C05443;C01561
C01561;C01673
C00251;C00254
C00254;C00826
C00826;C00079
C00195;C01190
C01190;C01290
C00024;C00227
C00227;C00033
C00254;C20953
C20953;C21085
C21085;C21086
C21086;C21087
C21087;C20940
C20940;C20941
C20941;C20942
C01209;C19673
C19673;C20372
C20372;C20373
C20373;C20374
C20374;C20375
C20375;C20376
C20376;C20377
C20377;C20378
C20378;C19846
C19846;C19845
C00078;C21124
C21124;C21131
C21131;C21134
C21134;C21135
C21135;C21136
C00257;C00204
C00204;C00577
C00204;C00022
C00880;C01216
C01216;C00577
C01216;C00022
C00577;C00258
C00101;C00143
C00143;C00445
C00445;C00234
C00234;C00101
C01054;C01724
C01724;C11455
C11455;C05108
C05108;C15808
C15808;C15816
C15816;C05103
C05103;C22112
C22112;C22136
C22136;C05437
C05437;C04525
C04525;C15777
C15777;C15778
C15778;C05440
C05440;C01694
C01694;C05441
C12382;C12383
C12383;C12384
C12384;C12385
C12385;C12386
C12386;C12387
C12387;C18710
C18710;C12388
C12388;C18711
C18711;C12389
C20956;C17691
C17691;C17694
C17694;C17696
C17696;C17697
C17697;C21218
C21218;C21216
C21368;C21219
C21216;C21219
C21219;C17700
C17700;C12112
C00025;C02987
C02987;C03741
C03741;C00430
C00430;C00931
C00931;C01024
C01024;C01051
C01051;C03263
C03263;C01079
C01079;C02191
C02191;C00032
C00011;C01001
C01001;C01274
C01274;C04330
C04330;C04377
C04377;C04488
C04488;C03920
C03576;C03920
C03920;C01438
C03920;C04832
C04628;C01438
C04628;C04832
C04832;C04628
C04832;C03576
C00049;C05840
C05840;C03722
C03722;C01185
C01185;C00857
C00857;C00003
C00353;C20525
C03506;C20525
C20525;C20526
C20526;C20527
C20527;C20529
C20529;C20530
C00049;C03082
C03082;C00441
C00441;C20258
C20258;C03972
C03972;C04462
C04462;C04421
C04421;C00666
C00666;C00680
C00680;C00047
C00078;C19687
C19687;C19688
C19688;C19698
C19698;C19699
C19699;C19700
C19700;C19701
C00199;C01112
C01112;C04478
C04478;C01187
C01187;C04121
C00112;C00705
C00705;C00458
C00063;C00458
C00458;C00460
C00460;C00365
C00365;C00364
C00364;C00363
C00363;C00459
C03021;C00621
C01455;C09816
C09816;C09817
C09817;C09818
C09818;C09819
C09819;C09820
C09820;C00512
C00124;C00984
C00984;C00446
C00446;C00052
C00446;C00103
C00029;C00052
C00029;C00103
C00052;C00029
C00149;C00022
C00149;C00011
C00022;C00074
C00106;C00429
C00429;C02642
C02642;C00099
C00178;C21028
C21028;C21029
C21029;C01205
