Substrate;Product
C00083;C11993
C11993;C11994
C11994;C11996
C05345;C00279
C05345;C00231
C00118;C00279
C00118;C00231
C00279;C05382
C00279;C00118
C05345;C05382
C05345;C00118
C05382;C00117
C05382;C00231
C00118;C00117
C00118;C00231
C00231;C00199
C00199;C00117
C00135;C00785
C00785;C03680
C03680;C00439
C00439;C00025
C00439;C01045
C01045;C00025
C02656;C01063
C01063;C01092
C01092;C01037
C01092;C01037
C01037;C01909
C01909;C00120
C00065;C00979
C00979;C00097
C00283;C00097
C00187;C05500
C05500;C05501
C00187;C05502
C05502;C05501
C05501;C01953
C01953;C00410
C00123;C00233
C00233;C15975
C15972;C15975
C15975;C02939
C15975;C15973
C15973;C15972
C02939;C03069
C03069;C03231
C03231;C00356
C00356;C00164
C00197;C03232
C03232;C01005
C01005;C00065
C00199;C01182
C01182;C00197
C00011;C00197
C00197;C00236
C00236;C00118
C00118;C00354
C00354;C00085
C00085;C00279
C00279;C00447
C00447;C05382
C05382;C00117
C00117;C00199
C06231;C19929
C19929;C03283
C03283;C00441
C00441;C00049
C00025;C03287
C03287;C01165
C01165;C03912
C03912;C00148
C00129;C00235
C00235;C00341
C00129;C00341
C00341;C00448
C00129;C00448
C00448;C00353
C00129;C00353
C00074;C04691
C00279;C04691
C04691;C00944
C00944;C02637
C02637;C00493
C00493;C03175
C03175;C01269
C01269;C00251
C00333;C00558
C00558;C00817
C00817;C00204
C00204;C04442
C04442;C00022
C04442;C00118
C00249;C00154
C00423;C12622
C12622;C12623
C00423;C12621
C12621;C12623
C12623;C12624
C12624;C00596
C00596;C03589
C03589;C00084
C00084;C00024
C00333;C15930
C15930;C20680
C20680;C02426
C02426;C00116
C00078;C02937
C02937;C16518
C16518;C16516
C16516;C16517
C16517;C05837
C00043;C19823
C19823;C20769
C20769;C20768
C20768;C20774
C20774;C22270
C00026;C01251
C00024;C01251
C01251;C04002
C04002;C05662
C05662;C00322
C00322;C00956
C00956;C05560
C05560;C05535
C05535;C04076
C04076;C00449
C00449;C00047
C01455;C00556
C00556;C00261
C00261;C00180
C11907;C06620
C06620;C18029
C18029;C18030
C18030;C18031
C00059;C00224
C00224;C00053
C00053;C00094
C00094;C00283
C00267;C00668
C00668;C05345
C05345;C00352
C00352;C06156
C06156;C04501
C04501;C00043
C00037;C00065
C00065;C00168
C00168;C00258
C00258;C00631
C00631;C00074
C00074;C00036
C00036;C00149
C00149;C04348
C04348;C00048
C00048;C00037
C00065;C02291
C00155;C02291
C02291;C00097
C06427;C04785
C04785;C04672
C04672;C01226
C01226;C04780
C04780;C16327
C16327;C16328
C16328;C16330
C16330;C16331
C16331;C16332
C16332;C16334
C16334;C16335
C16335;C16336
C16336;C16338
C16338;C16339
C16339;C16317
C00244;C00088
C00088;C00014
C00100;C00683
C00683;C01213
C01213;C00091
C00956;C19886
C19886;C19887
C19887;C19888
C19888;C19889
C19889;C00047
C00074;C00036
C00036;C00049
C00049;C00036
C00036;C00149
C00149;C00022
C00149;C00011
C00022;C00041
C00041;C00022
C00022;C00074
C00024;C00158
C00036;C00158
C00158;C00311
C00311;C00026
C00026;C16254
C15972;C16254
C16254;C00091
C16254;C15973
C15973;C15972
C00026;C00091
C00091;C00042
C00042;C00122
C00122;C00149
C00149;C00036
C00026;C16254
C15972;C16254
C16254;C00091
C16254;C15973
C15973;C15972
C00026;C00091
C00091;C00042
C00042;C00122
C00122;C00149
C00149;C00036
C00026;C01251
C00024;C01251
C01251;C04002
C04002;C05662
C01251;C05662
C05662;C00322
C00244;C00088
C00244;C00088
C00088;C00533
C00533;C00887
C00887;C00697
C00044;C21310
C21310;C18239
C18239;C05924
C05924;C19848
C19848;C18237
C08588;C19867
C19867;C19869
C19869;C17513
C19867;C19868
C19868;C17513
C17513;C08589
C00117;C00119
C00251;C18054
C18054;C19830
C19830;C19831
C19831;C21473
C21473;C21408
C21408;C21411
C21411;C21412
C21412;C20981
C20981;C21442
C21442;C21295
C21295;C01748
C05345;C06019
C06019;C00199
C00199;C00117
C00103;C00498
C00498;C00718
C00718;C00369
C00369;C01935
C01935;C06400
C06400;C01083
C00073;C00019
C00019;C00021
C00021;C03539
C03539;C00155
C00155;C02291
C02291;C00097
C00103;C00842
C00842;C11907
C11907;C00688
C00688;C03319
C00062;C06655
C00118;C06655
C06655;C06656
C06656;C06657
C06657;C06658
C06658;C06659
C06659;C06660
C01789;C15795
C15795;C15796
C15796;C15797
C15797;C15800
C15800;C15801
C15801;C15802
C15802;C15803
C15803;C15794
C00350;C01241
C01241;C04308
C04308;C00157
C05819;C00828
C05819;C00001
C00007;C00828
C00007;C00001
C00014;C00192
C00192;C00088
C00024;C00083
C00083;C00222
C00222;C01013
C01013;C05668
C05668;C00894
C00894;C00100
C00100;C00683
C00683;C01213
C01213;C00091
C00091;C00042
C00042;C00122
C00122;C00149
C00149;C04348
C04348;C00024
C04348;C00048
C00100;C06027
C06027;C06028
C06028;C18323
C18323;C01011
C01011;C00024
C01011;C00022
C00036;C00074
C00074;C00631
C00631;C00197
C00197;C00236
C00236;C00118
C00118;C00111
C00111;C05378
C00118;C05378
C05378;C05345
C00399;C00390
C00399;C00003
C00004;C00390
C00004;C00003
C00251;C00885
C00885;C16519
C16519;C05817
C05817;C02730
C02730;C03160
C03160;C15547
C15547;C03657
C03657;C19847
C05847;C19847
C19847;C05819
C00022;C00024
C00022;C05125
C00068;C05125
C05125;C16255
C05125;C00068
C15972;C16255
C15972;C00068
C16255;C00024
C16255;C15973
C15973;C15972
C00024;C00022
C00022;C00074
C00074;C00036
C00022;C00036
C00036;C00149
C00149;C00122
C00122;C00042
C00042;C00091
C00091;C00026
C00026;C00311
C00311;C00417
C00417;C00158
C00158;C00024
C00158;C00566
C00566;C00036
C00566;C00024
C08060;C08061
C08061;C08062
C08062;C00596
C08062;C00108
C05778;C21510
C21510;C21511
C21511;C21512
C21512;C05777
C00154;C02934
C02934;C00836
C00836;C12126
C12126;C00195
C00195;C00319
C00043;C04738
C04738;C06022
C06022;C04652
C04652;C04824
C04652;C04932
C04824;C04932
C04932;C04919
C04919;C06024
C06024;C06025
C06025;C06251
C06251;C06026
C02094;C08591
C08591;C06098
C06098;C08579
C08579;C08614
C08614;C13433
C13433;C13453
C08614;C08606
C08606;C13431
C13431;C13453
C13453;C13455
C13455;C06082
C11907;C06620
C06620;C11922
C11922;C11927
C11927;C11920
C00036;C00158
C00024;C00158
C00158;C00417
C00417;C00311
C00311;C05379
C05379;C00026
C00026;C00025
