step;reactionNumber;koNumber;ecNumber;compNumber;glycanNumber
1;[R00945];[K00600];[2.1.2.1];[C00001, C00037, C00065, C00101, C00143];[]
2;[R00588];[K00830];[2.6.1.45];[C00037, C00048, C00065, C00168];[]
3;[R01388];[K00015, K00018, K00049, K00050, K00090, K12972, K15893, K15919, K22982];[1.1.1.26, 1.1.1.29, 1.1.1.81];[C00003, C00004, C00080, C00168, C00258];[]
4;[R08572];[K00865, K11529];[2.7.1.165];[C00002, C00008, C00258, C00631];[]
5;[R00658];[K01689];[4.2.1.11];[C00001, C00074, C00631];[]
6;[R00345];[K01595];[4.1.1.31];[C00001, C00009, C00011, C00036, C00074];[]
7;[R00342];[K00024, K00025, K00026];[1.1.1.299, 1.1.1.37];[C00003, C00004, C00036, C00080, C00149];[]
8;[R01256];[K08692, K14067];[6.2.1.9];[C00002, C00008, C00009, C00010, C00149, C04348];[]
9;[R00473];[K08691, K19282];[4.1.3.24];[C00024, C00048, C04348];[]
10;[R00588];[K00830];[2.6.1.45];[C00037, C00048, C00065, C00168];[]
