step;reactionNumber;koNumber;ecNumber;compNumber;glycanNumber
1;[R01168];[K01745];[4.3.1.3];[C00014, C00135, C00785];[]
2;[R02914];[K01712];[4.2.1.49];[C00001, C00785, C03680];[]
3;[R02288];[K01468];[3.5.2.7];[C00001, C00439, C03680];[]
4;[R02285];[K01479];[3.5.3.8];[C00001, C00025, C00439, C00488];[]
5;[R02287];[K00603, K13990];[2.1.2.5];[C00025, C00101, C00439, C00664];[]
6;[R02286];[K05603];[3.5.3.13];[C00001, C00014, C00439, C01045];[]
7;[R00525];[K01458];[3.5.1.68];[C00001, C00025, C00058, C01045];[]
