step;reactionNumber;koNumber;ecNumber;compNumber;glycanNumber
1;[R02451];[K04112, K04113, K04114, K04115];[1.3.7.8];[C00001, C00002, C00008, C00009, C00138, C00139, C00512, C06322];[]
2;[R10961];[K19515, K19516];[];[C00028, C00030, C00512, C06322];[]
3;[R05597];[K07537];[4.2.1.100];[C00001, C06322, C06749];[]
4;[R05581];[K07538];[1.1.1.368];[C00003, C00004, C00080, C06749, C09821];[]
5;[R05594];[K07539];[3.7.1.21];[C00001, C06714, C09821];[]
