step;reactionNumber;koNumber;ecNumber;compNumber;glycanNumber
1;[R04355];[K00647, K00665, K00667, K09458, K11533];[2.3.1.179, 2.3.1.41, 2.3.1.85, 2.3.1.86];[C00011, C00229, C01209, C03939, C05744];[]
2;[R04533];[K00059, K00665, K00667, K11533, K11539];[1.1.1.100, 2.3.1.85, 2.3.1.86];[C00005, C00006, C00080, C04618, C05744];[]
3;[R04428];[K00665, K00668, K01716, K02372, K11533, K16363, K22540, K22541];[2.3.1.85, 2.3.1.86, 4.2.1.59];[C00001, C04246, C04618];[]
4;[R04429];[K00208, K00209, K02371, K11533];[1.3.1.9];[C00003, C00004, C00080, C04246, C05745];[]
5;[R04430];[K00208, K00665, K00668, K07512, K10780];[1.3.1.10, 1.3.1.104, 1.3.1.39, 2.3.1.85, 2.3.1.86];[C00005, C00006, C00080, C04246, C05745];[]
6;[R04952];[K00647, K00665, K00667, K09458, K11533];[2.3.1.179, 2.3.1.41, 2.3.1.85, 2.3.1.86];[C00011, C00229, C01209, C05745, C05746];[]
7;[R04953];[K00059, K00665, K00667, K11533, K11539];[1.1.1.100, 2.3.1.85, 2.3.1.86];[C00005, C00006, C00080, C05746, C05747];[]
8;[R04954];[K00665, K00668, K01716, K02372, K11533, K16363, K22540, K22541];[2.3.1.85, 2.3.1.86, 4.2.1.59];[C00001, C05747, C05748];[]
9;[R04955];[K00208, K00209, K02371, K11533];[1.3.1.9];[C00003, C00004, C00080, C05748, C05749];[]
10;[R04956];[K00208, K00665, K00668, K07512, K10780];[1.3.1.10, 1.3.1.104, 1.3.1.39, 2.3.1.85, 2.3.1.86];[C00005, C00006, C00080, C05748, C05749];[]
11;[R04957];[K00647, K00665, K00667, K09458, K11533];[2.3.1.179, 2.3.1.41, 2.3.1.85, 2.3.1.86];[C00011, C00229, C01209, C05749, C05750];[]
12;[R04536];[K00059, K00665, K00667, K11533, K11539];[1.1.1.100, 2.3.1.85, 2.3.1.86];[C00005, C00006, C00080, C04620, C05750];[]
13;[R04537];[K00665, K00668, K01716, K02372, K11533, K16363, K22540, K22541];[2.3.1.85, 2.3.1.86, 4.2.1.59];[C00001, C04620, C05751];[]
14;[R04958];[K00208, K00209, K02371, K11533];[1.3.1.9];[C00003, C00004, C00080, C05751, C05752];[]
15;[R04959];[K00208, K00665, K00668, K07512, K10780];[1.3.1.10, 1.3.1.104, 1.3.1.39, 2.3.1.85, 2.3.1.86];[C00005, C00006, C00080, C05751, C05752];[]
16;[R04960];[K00647, K00665, K00667, K09458, K11533];[2.3.1.179, 2.3.1.41, 2.3.1.85, 2.3.1.86];[C00011, C00229, C01209, C05752, C05753];[]
17;[R04534];[K00059, K00665, K00667, K11533, K11539];[1.1.1.100, 2.3.1.85, 2.3.1.86];[C00005, C00006, C04619, C05753];[]
18;[R04535];[K00665, K00668, K01716, K02372, K11533, K16363, K22540, K22541];[2.3.1.85, 2.3.1.86, 4.2.1.59];[C00001, C04619, C05754];[]
19;[R04961];[K00208, K00209, K02371, K11533];[1.3.1.9];[C00003, C00004, C00080, C05754, C05755];[]
20;[R04962];[K00208, K00665, K00668, K07512, K10780];[1.3.1.10, 1.3.1.104, 1.3.1.39, 2.3.1.85, 2.3.1.86];[C00005, C00006, C00080, C05754, C05755];[]
21;[R04963];[K00647, K00665, K00667, K09458, K11533];[2.3.1.179, 2.3.1.41, 2.3.1.85, 2.3.1.86];[C00011, C00229, C01209, C05755, C05756];[]
22;[R04964];[K00059, K00665, K00667, K11533, K11539];[1.1.1.100, 2.3.1.85, 2.3.1.86];[C00005, C00006, C00080, C05756, C05757];[]
23;[R04965];[K00665, K00668, K01716, K02372, K11533, K16363, K22540, K22541];[2.3.1.85, 2.3.1.86, 4.2.1.59];[C00001, C05757, C05758];[]
24;[R04724];[K00208, K00209, K02371, K11533];[1.3.1.9];[C00003, C00004, C00080, C05223, C05758];[]
25;[R04725];[K00208, K00665, K00668, K07512, K10780];[1.3.1.10, 1.3.1.104, 1.3.1.39, 2.3.1.85, 2.3.1.86];[C00005, C00006, C00080, C05223, C05758];[]
26;[R04726];[K00647, K00665, K00667, K09458, K11533];[2.3.1.179, 2.3.1.41, 2.3.1.85, 2.3.1.86];[C00011, C00229, C01209, C05223, C05759];[]
27;[R04566];[K00059, K00665, K00667, K11533, K11539];[1.1.1.100, 2.3.1.85, 2.3.1.86];[C00005, C00006, C00080, C04688, C05759];[]
28;[R04568];[K00665, K00668, K01716, K02372, K11533, K16363, K22540, K22541];[2.3.1.85, 2.3.1.86, 4.2.1.59];[C00001, C04688, C05760];[]
29;[R04966];[K00208, K00209, K02371, K11533];[1.3.1.9];[C00003, C00004, C00080, C05760, C05761];[]
30;[R04967];[K00208, K00665, K00668, K07512, K10780];[1.3.1.10, 1.3.1.104, 1.3.1.39, 2.3.1.85, 2.3.1.86];[C00005, C00006, C00080, C05760, C05761];[]
31;[R04968];[K00647, K00665, K00667, K09458, K11533];[2.3.1.179, 2.3.1.41, 2.3.1.85, 2.3.1.86];[C00011, C00229, C01209, C05761, C05762];[]
