step;reactionNumber;koNumber;ecNumber;compNumber;glycanNumber
1;[R10619];[K01785];[5.1.3.3];[C00124, C00984];[]
2;[R01092];[K00849];[2.7.1.6];[C00002, C00008, C00446, C00984];[]
3;[R00955];[K00965];[2.7.7.12];[C00029, C00052, C00103, C00446];[]
4;[R00291];[K01784, K17716];[5.1.3.2];[C00029, C00052];[]
