step;reactionNumber;koNumber;ecNumber;compNumber;glycanNumber
1;[R00238];[K00626, K00632, K07508, K07509, K07513];[2.3.1.16, 2.3.1.9];[C00010, C00024, C00332];[]
2;[R01978];[K01641];[2.3.3.10];[C00001, C00010, C00024, C00332, C00356];[]
3;[R01360];[K01640];[4.1.3.4];[C00024, C00164, C00356];[]
4;[R01361];[K00019];[1.1.1.30];[C00003, C00004, C00080, C00164, C01089];[]
5;[R01366];[K01574];[4.1.1.4];[C00011, C00164, C00207];[]
