step;reactionNumber;koNumber;ecNumber;compNumber;glycanNumber
1;[R11387];[K21222];[];[C00001, C00007, C00028, C00030, C21320, C21321];[]
2;[R11388];[K21223];[];[C21321, C21322];[]
3;[R11389];[K21224];[];[C21322, C21323];[]
4;[R11390];[K21225];[];[C00010, C21323, C21324];[]
