step;reactionNumber;koNumber;ecNumber;compNumber;glycanNumber
1;[R11412];[K21254];[];[C00001, C00010, C00011, C00024, C00083, C00229, C21343];[]
2;[R11413];[K21255];[];[C00019, C00021, C21343, C21344];[]
3;[R11414];[K21256];[];[C00708, C21344, C21345];[]
4;[R11415];[K21257];[];[C21345, C21346];[]
5;[R11416];[K21258];[];[C00019, C00021, C21346, C21347];[]
6;[R11417];[K21259];[];[C00363, C21337, C21338, C21348];[]
7;[R11418];[K21260];[];[C00363, C21338, C21339, C21349];[]
8;[R11419];[K21261];[];[C00229, C21339, C21340, C21347];[]
9;[R11420];[K21262];[];[C00363, C21340, C21341, C21356];[]
10;[R11422];[K21263];[];[C00363, C11469, C21341, C21350];[]
11;[R11423];[K21263];[];[C00363, C21340, C21342, C21350];[]
12;[R11421];[K21262];[];[C00363, C11469, C21342, C21356];[]
