step;reactionNumber;koNumber;ecNumber;compNumber;glycanNumber
1;[R07671];[K02821, K02822, K03475];[2.7.1.194];[C00072, C00615, C04261, C16186];[]
2;[R07677];[K03476];[];[C00001, C14899, C16186];[]
3;[R07125];[K03078];[4.1.1.85];[C00011, C00080, C03291, C14899];[]
4;[R03244];[K03079];[5.1.3.22];[C01101, C03291];[]
5;[R05850];[K03077];[5.1.3.4];[C00231, C01101];[]
