step;reactionNumber;koNumber;ecNumber;compNumber;glycanNumber
1;[R01130];[K00088];[1.1.1.205];[C00001, C00003, C00004, C00080, C00130, C00655];[]
2;[R01230];[K01951];[6.3.5.2];[C00002, C00013, C00014, C00020, C00144, C00655];[]
3;[R01231];[K01951];[6.3.5.2];[C00001, C00002, C00013, C00020, C00025, C00064, C00144, C00655];[]
4;[R00332];[K00942];[2.7.4.8];[C00002, C00008, C00035, C00144];[]
5;[R00330];[K00940, K18533];[2.7.4.6];[C00002, C00008, C00035, C00044];[]
6;[R00430];[K00873, K12406];[2.7.1.40];[C00022, C00035, C00044, C00074];[]
