step;reactionNumber;koNumber;ecNumber;compNumber;glycanNumber
1;[R01463];[K00489];[1.14.14.23];[C00001, C00007, C00187, C03024, C03161, C03594];[]
2;[R04263];[K12408];[1.1.1.181];[C00003, C00004, C00080, C03594, C05455];[]
3;[R04826];[K07431];[1.14.18.8];[C00001, C00007, C00080, C00996, C00999, C05455, C17339];[]
4;[R04823];[K00251];[1.3.1.3];[C00005, C00006, C00080, C05453, C17339];[]
5;[R04824];[K00037];[1.1.1.50];[C00003, C00004, C00080, C05453, C05454];[]
6;[R04825];[K00037];[1.1.1.50];[C00005, C00006, C00080, C05453, C05454];[]
7;[R04807];[K00488];[1.14.15.15];[C00001, C00007, C00080, C00662, C00667, C05446, C05454];[]
8;[R08759];[K00488];[1.14.15.15];[C01301, C05446];[]
9;[R08761];[K00488];[1.14.15.15];[C00001, C00007, C00080, C00662, C00667, C01301, C04722];[]
10;[R08733];[K08748];[6.2.1.7];[C00002, C00010, C00013, C00020, C04722, C15613];[]
11;[R08734];[K01796];[5.1.99.4];[C15613, C17343];[]
12;[R08735];[K10214];[1.17.99.3];[C00028, C00030, C05460, C17343];[]
13;[R04813];[K12405];[4.2.1.107];[C00001, C05460, C15614];[]
14;[R04812];[K12405];[];[C00003, C00004, C00080, C05467, C15614];[]
15;[R03719];[K08764];[2.3.1.176];[C00010, C00100, C01794, C05467];[]
16;[R07296];[K11992];[3.1.2.27];[C00001, C00010, C00695, C01794];[]
17;[R04817];[K00251];[1.3.1.3];[C00005, C00006, C00080, C05451, C05455];[]
18;[R04818];[K00037];[1.1.1.50];[C00003, C00004, C00080, C05451, C05452];[]
19;[R04819];[K00037];[1.1.1.50];[C00005, C00006, C00080, C05451, C05452];[]
20;[R04806];[K00488];[1.14.15.15];[C00001, C00007, C00080, C00662, C00667, C05444, C05452];[]
21;[R08758];[K00488];[1.14.15.15];[C05444, C05445];[]
22;[R08760];[K00488];[1.14.15.15];[C00001, C00007, C00080, C00662, C00667, C04554, C05445];[]
23;[R08738];[K08748];[6.2.1.7];[C00002, C00010, C00013, C00020, C04554, C17345];[]
24;[R08739];[K01796];[5.1.99.4];[C17345, C17346];[]
25;[R08740];[K10214];[1.17.99.3];[C00028, C00030, C05447, C17346];[]
26;[R04809];[K12405];[4.2.1.107];[C00001, C05447, C05448];[]
27;[R04810];[K12405];[];[C00003, C00004, C00080, C05448, C05449];[]
28;[R04811];[K08764];[2.3.1.176];[C00010, C00100, C05337, C05449];[]
29;[R03974];[K11992];[3.1.2.27];[C00001, C00010, C02528, C05337];[]
