step;reactionNumber;koNumber;ecNumber;compNumber;glycanNumber
1;[R04870];[K12743];[6.3.2.26];[C00001, C00002, C00013, C00020, C00097, C00183, C00956, C05556];[]
2;[R04872];[K04126];[1.21.3.1];[C00001, C00007, C05556, C05557];[]
3;[R06361];[K10852];[2.3.1.164];[C00001, C00010, C00040, C00395, C00956, C05557];[]
