step;reactionNumber;koNumber;ecNumber;compNumber;glycanNumber
1;[R03209];[K01906];[6.2.1.14];[C00002, C00010, C00013, C00020, C01063, C02656];[]
2;[R03210];[K00652];[2.3.1.47];[C00010, C00011, C00041, C01063, C01092];[]
3;[R03231];[K00833, K19562];[2.6.1.62];[C00019, C01037, C01092, C04425];[]
4;[R10699];[K19563];[2.6.1.105];[C00047, C01037, C01092, C04076];[]
5;[R03182];[K01935, K19562];[6.3.3.3];[C00002, C00008, C00009, C00011, C01037, C01909];[]
6;[R01078];[K01012];[2.8.1.6];[C00019, C00073, C00080, C00120, C01909, C05198, C05359, C17023];[]
