step;reactionNumber;koNumber;ecNumber;compNumber;glycanNumber
1;[R09570];[K14266];[1.14.19.9];[C00001, C00007, C00016, C00078, C00080, C00698, C01352, C19687];[]
2;[R11105];[K19981];[];[C00001, C00007, C00011, C19687, C21110];[]
3;[R11106];[K14257];[];[C00001, C00007, C00016, C00080, C00698, C01352, C21109, C21110];[]
4;[R11107];[K19982];[];[C00001, C00005, C00006, C00007, C00080, C12491, C21109];[]
