step;reactionNumber;koNumber;ecNumber;compNumber;glycanNumber
1;[R01123];[K01823];[5.3.3.2];[C00129, C00235];[]
2;[R01658];[K00787, K00795, K00804, K13787, K13789, K14066];[2.5.1.1];[C00013, C00129, C00235, C00341];[]
3;[R02003];[K00787, K00795, K00804, K13787, K13789];[2.5.1.10];[C00013, C00129, C00341, C00448];[]
4;[R02061];[K00804, K13787, K13789];[2.5.1.29];[C00013, C00129, C00353, C00448];[]
