step;reactionNumber;koNumber;ecNumber;compNumber;glycanNumber
1;[R03311];[];[];[C00205, C01164, C05443];[]
2;[R03611];[K07419];[1.14.14.24];[C00001, C00007, C01561, C03024, C03161, C05443];[]
3;[R03610];[K07438];[1.14.15.18];[C00001, C00007, C00080, C00662, C00667, C01561, C01673];[]
