step;reactionNumber;koNumber;ecNumber;compNumber;glycanNumber
1;[R05907];[K00710];[2.4.1.41];[C02189];[G00023, G10611, G10619]
2;[R05908];[K00731, K09653];[2.4.1.122];[];[G00023, G00024, G10609, G10619]
3;[R05912];[K00727, K09662, K09663];[2.4.1.102];[];[G00024, G00025, G10610, G10619]
4;[R05909];[K00739];[2.4.1.147];[];[G00023, G00028, G10610, G10619]
5;[R05915];[K09662];[2.4.1.148];[];[G00028, G00029, G10610, G10619]
6;[R05910];[K00727];[2.4.1.102, 2.4.1.148];[];[G00023, G00031, G10610, G10619]
