step;reactionNumber;koNumber;ecNumber;compNumber;glycanNumber
1;[R00697];[K10775, K13064];[4.3.1.24, 4.3.1.25];[C00014, C00079, C00423];[]
2;[R02253];[K00487];[1.14.14.91];[C00001, C00007, C00423, C00811, C03024, C03161];[]
3;[R01616];[K01904];[6.2.1.12];[C00002, C00010, C00013, C00020, C00223, C00811];[]
4;[R01613];[K00660];[2.3.1.74];[C00010, C00011, C00083, C00223, C06561];[]
5;[R02446];[K01859];[5.5.1.6];[C00509, C06561];[]
