step;reactionNumber;koNumber;ecNumber;compNumber;glycanNumber
1;[R05937];[K03370];[2.4.99.9];[];[G00092, G00108, G10616, G10621]
2;[R05940];[K03371];[2.4.99.8];[];[G00108, G00113, G10616, G10621]
3;[R05947];[K03369, K03371];[2.4.99.8];[];[G00113, G00118, G10616, G10621]
