step;reactionNumber;koNumber;ecNumber;compNumber;glycanNumber
1;[R00697];[K10775, K13064];[4.3.1.24, 4.3.1.25];[C00014, C00079, C00423];[]
2;[R02253];[K00487];[1.14.14.91];[C00001, C00007, C00423, C00811, C03024, C03161];[]
3;[R00737];[K10774, K13064];[4.3.1.23, 4.3.1.25];[C00014, C00082, C00811];[]
4;[R01616];[K01904];[6.2.1.12];[C00002, C00010, C00013, C00020, C00223, C00811];[]
5;[R01615];[K09753];[1.2.1.44];[C00005, C00006, C00010, C00080, C00223, C05608];[]
6;[R07437];[K00083, K22395];[1.1.1.195];[C00005, C00006, C00080, C02646, C05608];[]
7;[R02416];[K13065];[2.3.1.133];[C00010, C00223, C00493, C02947];[]
8;[R06582];[K09754];[1.14.14.96];[C00001, C00007, C02947, C03024, C03161, C10434];[]
9;[R07433];[K13065];[2.3.1.133];[C00010, C00323, C00493, C10434];[]
10;[R01942];[K00588];[2.1.1.104];[C00019, C00021, C00323, C00406];[]
11;[R02193];[K09753];[1.2.1.44];[C00005, C00006, C00010, C00080, C00406, C02666];[]
12;[R02593];[K00083, K22395];[1.1.1.194, 1.1.1.195];[C00005, C00006, C00080, C00590, C02666];[]
13;[R06572];[K09755];[];[C00001, C00005, C00006, C00007, C00080, C02666, C12204];[]
14;[R06576];[K13066];[2.1.1.68];[C00019, C00021, C05610, C12204];[]
15;[R03918];[K00083, K22395];[1.1.1.195];[C00005, C00006, C00080, C02325, C05610];[]
