step;reactionNumber;koNumber;ecNumber;compNumber;glycanNumber
1;[R00817];[K03381];[1.13.11.1];[C00007, C00090, C02480];[]
2;[R06989];[K01856];[5.5.1.1];[C02480, C14610];[]
3;[R06990];[K03464];[5.3.3.4];[C03586, C14610];[]
4;[R02991];[K01055, K14727];[3.1.1.24];[C00001, C00846, C03586];[]
