step;reactionNumber;koNumber;ecNumber;compNumber;glycanNumber
1;[R00391];[K07508, K07509];[2.3.1.16];[C00010, C00024, C00040, C00264];[]
2;[R01778];[K00022, K07515];[1.1.1.211, 1.1.1.35];[C00003, C00004, C00080, C00264, C00640];[]
3;[R02685];[K07511, K07515];[4.2.1.17, 4.2.1.74];[C00001, C00640, C00658];[]
4;[R07162];[K07512];[1.3.1.38];[C00005, C00006, C00040, C00080, C00658];[]
5;[R01177];[K00626, K00632, K07508, K07509, K07513];[2.3.1.16, 2.3.1.9];[C00010, C00024, C00136, C05269];[]
6;[R04748];[K00022, K01782, K01825, K07514, K07515, K07516, K10527];[1.1.1.211, 1.1.1.35];[C00003, C00004, C00080, C05268, C05269];[]
7;[R04749];[K01692, K01782, K01825, K07511, K07514, K07515, K10527];[4.2.1.17, 4.2.1.74];[C00001, C05268, C05271];[]
8;[R06985];[K07512];[1.3.1.38, 1.3.1.8];[C00005, C00006, C00080, C05270, C05271];[]
9;[R04747];[K00632, K07508, K07509, K07513];[2.3.1.16];[C00010, C00024, C05267, C05270];[]
10;[R04745];[K00022, K01782, K01825, K07514, K07515, K07516, K10527];[1.1.1.211, 1.1.1.35];[C00003, C00004, C00080, C05266, C05267];[]
11;[R04746];[K01692, K01782, K01825, K07511, K07514, K07515, K10527, K13767];[4.2.1.17, 4.2.1.74];[C00001, C05266, C05276];[]
12;[R03776];[K07512];[1.3.1.38, 1.3.1.8];[C00005, C00006, C00080, C01944, C05276];[]
13;[R03778];[K00632, K07508, K07509, K07513];[2.3.1.16];[C00010, C00024, C01944, C05265];[]
14;[R04743];[K00022, K07514, K07515, K07516, K10527];[1.1.1.211, 1.1.1.35];[C00003, C00004, C00080, C05264, C05265];[]
15;[R04744];[K01692, K01782, K01825, K07511, K07514, K07515, K10527, K13767];[4.2.1.17, 4.2.1.74];[C00001, C05264, C05275];[]
16;[R04753];[K07512];[1.3.1.38, 1.3.1.8];[C00005, C00006, C00080, C05274, C05275];[]
17;[R04742];[K00632, K07508, K07509, K07513];[2.3.1.16];[C00010, C00024, C05263, C05274];[]
18;[R04741];[K00022, K01782, K01825, K07514, K07515, K07516, K10527];[1.1.1.211, 1.1.1.35];[C00003, C00004, C00080, C05262, C05263];[]
19;[R04170];[K01692, K01782, K01825, K07511, K07514, K07515, K10527, K13767];[4.2.1.17, 4.2.1.74];[C00001, C03221, C05262];[]
20;[R03856];[K07512];[1.3.1.38, 1.3.1.8];[C00005, C00006, C00080, C01832, C03221];[]
21;[R03858];[K00632, K07508, K07509, K07513];[2.3.1.16];[C00010, C00024, C01832, C05261];[]
22;[R04739];[K00022, K01782, K01825, K07514, K07515, K07516, K10527];[1.1.1.211, 1.1.1.35];[C00003, C00004, C05260, C05261];[]
23;[R04740];[K01692, K01782, K01825, K07511, K07514, K07515, K10527, K13767];[4.2.1.17, 4.2.1.74];[C00001, C05260, C05273];[]
24;[R03989];[K07512];[1.3.1.38, 1.3.1.8];[C00005, C00006, C00080, C02593, C05273];[]
25;[R03991];[K00632, K07508, K07509, K07513];[2.3.1.155, 2.3.1.16];[C00010, C00024, C02593, C05259];[]
26;[R04737];[K00022, K01782, K01825, K07514, K07515, K07516, K10527];[1.1.1.211, 1.1.1.35];[C00003, C00004, C00080, C05258, C05259];[]
27;[R04738];[K01692, K01782, K01825, K07511, K07514, K07515, K10527, K13767];[4.2.1.17, 4.2.1.74];[C00001, C05258, C05272];[]
28;[R01278];[K07512];[1.3.1.38, 1.3.1.8];[C00005, C00006, C00080, C00154, C05272];[]
