step;reactionNumber;koNumber;ecNumber;compNumber;glycanNumber
1;[R05980];[K05546];[3.2.1.207];[C00001, C00031];[G00010, G00171]
2;[R05981];[K05546];[3.2.1.207];[C00001, C00031];[G00010, G00011]
3;[R06722];[K23741];[];[C00001, C00159];[G00011, G10694]
4;[R12479];[K01230];[3.2.1.113];[C00001, C00159];[G00012, G10694]
5;[R08599];[K05528];[2.4.1.232];[];[G01813, G10614, G10620, G10694]
