step;reactionNumber;koNumber;ecNumber;compNumber;glycanNumber
1;[R11175];[K20169, K20170];[];[C00007, C00027, C16150, C21154];[]
2;[R11176];[];[];[C00001, C20361, C21154];[]
3;[R11178];[K20170];[];[C00001, C00218, C19569, C20361];[]
4;[R10103];[K20158];[1.4.3.24];[C00001, C00007, C00027, C00218, C19567, C20361];[]
5;[R10105];[K19700];[1.2.1.83];[C00001, C00005, C00006, C00080, C19567, C19569];[]
6;[R11179];[K20171, K20172];[];[C00001, C00028, C00030, C19569, C19631];[]
7;[R09472];[K15359, K18276];[1.14.13.163];[C00001, C00003, C00004, C00007, C00080, C00232, C01059, C19631];[]
