step;reactionNumber;koNumber;ecNumber;compNumber;glycanNumber
1;[R06481];[K14371];[];[C00001, C00005, C00006, C00010, C00011, C00080, C00083, C01033, C02557, C11977];[]
2;[R06467];[K14372];[];[C00001, C00005, C00006, C00007, C11977, C11978];[]
3;[R06473];[K14373];[];[C00005, C00006, C00080, C11978, C11979];[]
4;[R06477];[K14374];[];[C00019, C00021, C11979, C11980];[]
5;[R06490];[K14375];[];[C00363, C11921, C11980, C11982];[]
6;[R06491];[K14375];[];[C00363, C11921, C11982, C11984];[]
7;[R06488];[K14375];[];[C00363, C11921, C11979, C11981];[]
8;[R06489];[K14375];[];[C00363, C11921, C11981, C11983];[]
9;[R06483];[K14371];[];[C00001, C00005, C00006, C00010, C00011, C00080, C00083, C00630, C02557, C11961];[]
10;[R06470];[K14372];[];[C00001, C00005, C00006, C00007, C11961, C11962];[]
11;[R06475];[K14373];[];[C00005, C00006, C00080, C11962, C11963];[]
12;[R06479];[K14374];[];[C00019, C00021, C11963, C11964];[]
13;[R06498];[K14375];[];[C00363, C11921, C11964, C11966];[]
14;[R06499];[K14375];[];[C00363, C11921, C11966, C11968];[]
15;[R06496];[K14375];[];[C00363, C11921, C11963, C11965];[]
16;[R06497];[K14375];[];[C00363, C11921, C11965, C11967];[]
