step;reactionNumber;koNumber;ecNumber;compNumber;glycanNumber
1;[R01281];[K00654];[2.3.1.50];[C00010, C00011, C00065, C00154, C02934];[]
2;[R02978];[K04708];[1.1.1.102];[C00005, C00006, C00080, C00836, C02934];[]
3;[R06517];[K04709, K04710, K23727];[2.3.1.24, 2.3.1.291];[C00010, C00040, C00836, C12126];[]
4;[R06519];[K04712];[1.14.19.17];[C00001, C00007, C00080, C00195, C00996, C00999, C12126];[]
5;[R01494];[K01441, K12348, K12349];[3.5.1.23];[C00001, C00162, C00195, C00319];[]
