step;reactionNumber;koNumber;ecNumber;compNumber;glycanNumber
1;[R07558];[K02294, K15746, K15747, K22492, K23037];[1.14.15.24];[C00001, C00007, C00080, C00138, C00139, C02094, C08591];[]
2;[R07559];[K02294, K15746, K15747, K22492, K23037];[1.14.15.24];[C00001, C00007, C00080, C00138, C00139, C06098, C08591];[]
3;[R06946];[K09838];[1.14.15.21];[C00001, C00007, C00080, C00138, C00139, C06098, C08579];[]
4;[R06947];[K09838];[1.14.15.21];[C00001, C00007, C00080, C00138, C00139, C08579, C08614];[]
5;[R06950];[];[];[C08614, C13433];[]
6;[R06953];[K09840];[1.13.11.51];[C00007, C13433, C13453, C14045];[]
7;[R06948];[K14594];[5.3.99.9];[C08606, C08614];[]
8;[R06949];[];[];[C08606, C13431];[]
9;[R06952];[K09840];[1.13.11.51];[C00007, C13431, C13453, C14044];[]
10;[R06954];[K09841];[1.1.1.288];[C00003, C00004, C00080, C13453, C13455];[]
11;[R06957];[K09842];[1.2.3.14];[C00001, C00007, C00027, C06082, C13455];[]
