step;reactionNumber;koNumber;ecNumber;compNumber;glycanNumber
1;[R02024];[K00524, K00525, K00526, K10807, K10808];[1.17.4.1];[C00001, C00112, C00342, C00343, C00705];[]
2;[R02326];[K00940, K18533];[2.7.4.6];[C00002, C00008, C00458, C00705];[]
3;[R02022];[K00527];[1.17.4.2];[C00001, C00063, C00342, C00343, C00458];[]
4;[R11636];[K21636];[1.1.98.6];[C00001, C00011, C00058, C00063, C00458];[]
5;[R02325];[K01494];[3.5.4.13];[C00001, C00014, C00458, C00460];[]
6;[R02100];[K01519, K01520, K02428];[3.6.1.23];[C00001, C00013, C00365, C00460];[]
7;[R02101];[K00560, K13998];[2.1.1.45];[C00143, C00364, C00365, C00415];[]
8;[R02094];[K00943];[2.7.4.12, 2.7.4.9];[C00002, C00008, C00363, C00364];[]
9;[R02093];[K00940, K18533];[2.7.4.6];[C00002, C00008, C00363, C00459];[]
