step;reactionNumber;koNumber;ecNumber;compNumber;glycanNumber
1;[R07500];[K09833];[2.5.1.115];[C00011, C00013, C00544, C05427, C15882];[]
2;[R07501];[K12502, K18534];[2.1.1.295];[C00019, C00021, C15882, C15883];[]
3;[R07502];[K09834];[5.5.1.24];[C02483, C15883];[]
4;[R07236];[K05928];[2.1.1.95];[C00019, C00021, C02477, C02483];[]
5;[R07503];[K09834];[5.5.1.24];[C14151, C15882];[]
6;[R07504];[K05928];[2.1.1.95];[C00019, C00021, C14151, C14152];[]
7;[R10708];[K09833];[2.5.1.116];[C00011, C00013, C00353, C00544, C20737];[]
8;[R10710];[K12502, K18534];[2.1.1.295];[C00019, C00021, C20737, C20738];[]
9;[R10624];[K09834];[5.5.1.24];[C14155, C20738];[]
10;[R10491];[K05928];[2.1.1.95];[C00019, C00021, C14153, C14155];[]
11;[R10623];[K09834];[5.5.1.24];[C14156, C20737];[]
12;[R10492];[K05928];[2.1.1.95];[C00019, C00021, C14154, C14156];[]
