step;reactionNumber;koNumber;ecNumber;compNumber;glycanNumber
1;[R01814];[K00502];[1.14.16.4];[C00001, C00007, C00078, C00268, C00272, C00643];[]
2;[R02701];[K01593];[4.1.1.28];[C00011, C00643, C00780];[]
3;[R02911];[K00669, K22450];[2.3.1.87];[C00010, C00024, C00780, C00978];[]
4;[R03130];[K00543, K22588];[2.1.1.4];[C00019, C00021, C00978, C01598];[]
