step;reactionNumber;koNumber;ecNumber;compNumber;glycanNumber
1;[R01025];[K00108];[1.1.99.1];[C00028, C00030, C00114, C00576];[]
2;[R08557];[K11440];[1.1.1.1];[C00003, C00004, C00080, C00114, C00576];[]
3;[R08558];[K11440];[1.1.1.1];[C00005, C00006, C00080, C00114, C00576];[]
4;[R07409];[K00499];[1.14.15.7];[C00001, C00007, C00080, C00114, C00138, C00139, C00576];[]
5;[R01022];[K17755];[1.1.3.17];[C00007, C00027, C00114, C00576];[]
6;[R02565];[K00130, K14085];[1.2.1.8];[C00001, C00003, C00004, C00080, C00576, C00719];[]
7;[R02566];[K00130, K14085];[1.2.1.8];[C00001, C00005, C00006, C00080, C00576, C00719];[]
8;[R08211];[K17755];[1.1.3.17];[C00001, C00007, C00027, C00576, C00719];[]
