step;reactionNumber;koNumber;ecNumber;compNumber;glycanNumber
1;[R01214];[K00826];[2.6.1.42, 2.6.1.6];[C00025, C00026, C00141, C00183];[]
2;[R01226];[K00606];[2.1.2.11];[C00001, C00101, C00141, C00143, C00966];[]
3;[R02472];[K00077];[1.1.1.169];[C00005, C00006, C00080, C00522, C00966];[]
4;[R00489];[K01579, K01580, K18933, K18966];[4.1.1.11, 4.1.1.15];[C00011, C00049, C00099];[]
5;[R02473];[K01918, K13799];[6.3.2.1];[C00002, C00013, C00020, C00099, C00522, C00864];[]
