step;reactionNumber;koNumber;ecNumber;compNumber;glycanNumber
1;[R02736];[K00036, K13937];[1.1.1.363, 1.1.1.49];[C00005, C00006, C00080, C01172, C01236];[]
2;[R02035];[K01057, K07404, K13937];[3.1.1.31];[C00001, C00345, C01236];[]
3;[R02036];[K01690];[4.2.1.12];[C00001, C00345, C04442];[]
4;[R05605];[K01625, K11395, K17463];[4.1.2.14, 4.1.2.55];[C00022, C00118, C04442];[]
