step;reactionNumber;koNumber;ecNumber;compNumber;glycanNumber
1;[R02444];[K00475];[1.14.11.9];[C00007, C00011, C00026, C00042, C00509, C00974];[]
2;[R03123];[K13082];[1.1.1.219];[C00005, C00006, C00080, C00974, C03648];[]
3;[R04276];[K05277];[1.14.20.4];[C00001, C00007, C00011, C00026, C00042, C03648, C05904];[]
