step;reactionNumber;koNumber;ecNumber;compNumber;glycanNumber
1;[R00177];[K00789];[2.5.1.6];[C00001, C00002, C00009, C00013, C00019, C00073];[]
2;[R00179];[K01762, K20772];[4.4.1.14];[C00019, C00170, C01234];[]
3;[R07214];[K05933];[1.14.17.4];[C00001, C00007, C00011, C00072, C00177, C01234, C05422, C06547];[]
