step;reactionNumber;koNumber;ecNumber;compNumber;glycanNumber
1;[R07253];[K15320];[2.3.1.165];[C00001, C00005, C00006, C00010, C00011, C00024, C00080, C00083, C02657];[]
2;[R11370];[K21191];[];[C00002, C00010, C00013, C00020, C02657, C21312];[]
3;[R11371];[K21192];[];[C00019, C00021, C21312, C21313];[]
