step;reactionNumber;koNumber;ecNumber;compNumber;glycanNumber
1;[R01142];[K16157, K16158, K16159, K16160, K16161, K16162];[1.14.13.25];[C00001, C00003, C00004, C00007, C00080, C00132, C01438];[]
2;[R09518];[K10944, K10945, K10946];[1.14.18.3];[C00001, C00007, C00132, C01438, C15602, C15603];[]
3;[R01146];[K14028, K14029, K23995];[1.1.2.10, 1.1.2.7];[C00067, C00080, C00132, C18233, C18234];[]
