step;reactionNumber;koNumber;ecNumber;compNumber;glycanNumber
1;[R05518];[K16435];[4.2.1.159];[C00001, C06620, C11907];[]
2;[R06631];[K16436];[];[C00025, C00026, C06620, C12318];[]
3;[R11045];[K13326];[];[C00019, C00021, C12318, C21073];[]
4;[R11046];[K16438];[];[C21073, C21074];[]
5;[R11047];[K13322];[];[C11919, C21074];[]
