step;reactionNumber;koNumber;ecNumber;compNumber;glycanNumber
1;[R10937];[K19969];[4.2.3.152];[C00009, C17691, C20956];[]
2;[R11185];[K19979];[2.7.1.188];[C00002, C00008, C17691, C17692];[]
3;[R11081];[K19974];[5.1.3.35];[C17692, C17693];[]
4;[R11243];[K20424];[];[C00003, C00004, C00080, C17693, C21204];[]
5;[R11244];[K20425];[];[C21204, C21205];[]
6;[R11245];[K20426];[];[C21205, C21206];[]
7;[R11246];[K20427];[2.7.7.91];[C00013, C00201, C21206, C21207];[]
8;[R11247];[K20430];[];[C04268, C21207, C21208];[]
9;[R11248];[];[];[C21156, C21208];[]
10;[R11305];[];[];[C06802, C21156];[]
