step;reactionNumber;koNumber;ecNumber;compNumber;glycanNumber
1;[R01279];[K00232, K00249, K00255, K06445, K09479];[1.3.3.6, 1.3.8.7, 1.3.8.8, 1.3.8.9];[C00016, C00154, C01352, C05272];[]
2;[R04738];[K01692, K01782, K01825, K07511, K07514, K07515, K10527, K13767];[4.2.1.17, 4.2.1.74];[C00001, C05258, C05272];[]
3;[R04737];[K00022, K01782, K01825, K07514, K07515, K07516, K10527];[1.1.1.211, 1.1.1.35];[C00003, C00004, C00080, C05258, C05259];[]
4;[R03991];[K00632, K07508, K07509, K07513];[2.3.1.155, 2.3.1.16];[C00010, C00024, C02593, C05259];[]
5;[R03990];[K00232, K00249, K00255, K06445, K09479];[1.3.3.6, 1.3.8.7, 1.3.8.8, 1.3.8.9];[C00016, C01352, C02593, C05273];[]
6;[R04740];[K01692, K01782, K01825, K07511, K07514, K07515, K10527, K13767];[4.2.1.17, 4.2.1.74];[C00001, C05260, C05273];[]
7;[R04739];[K00022, K01782, K01825, K07514, K07515, K07516, K10527];[1.1.1.211, 1.1.1.35];[C00003, C00004, C05260, C05261];[]
8;[R03858];[K00632, K07508, K07509, K07513];[2.3.1.16];[C00010, C00024, C01832, C05261];[]
9;[R03857];[K00232, K00249, K00255, K06445];[1.3.3.6, 1.3.8.7, 1.3.8.8];[C00016, C01352, C01832, C03221];[]
10;[R04170];[K01692, K01782, K01825, K07511, K07514, K07515, K10527, K13767];[4.2.1.17, 4.2.1.74];[C00001, C03221, C05262];[]
11;[R04741];[K00022, K01782, K01825, K07514, K07515, K07516, K10527];[1.1.1.211, 1.1.1.35];[C00003, C00004, C00080, C05262, C05263];[]
12;[R04742];[K00632, K07508, K07509, K07513];[2.3.1.16];[C00010, C00024, C05263, C05274];[]
13;[R04754];[K00232, K00249, K00255, K06445];[1.3.3.6, 1.3.8.7, 1.3.8.8];[C00016, C01352, C05274, C05275];[]
14;[R04744];[K01692, K01782, K01825, K07511, K07514, K07515, K10527, K13767];[4.2.1.17, 4.2.1.74];[C00001, C05264, C05275];[]
15;[R04743];[K00022, K07514, K07515, K07516, K10527];[1.1.1.211, 1.1.1.35];[C00003, C00004, C00080, C05264, C05265];[]
16;[R03778];[K00632, K07508, K07509, K07513];[2.3.1.16];[C00010, C00024, C01944, C05265];[]
17;[R03777];[K00232, K00249, K00255, K06445];[1.3.3.6, 1.3.8.7, 1.3.8.8];[C00016, C01352, C01944, C05276];[]
18;[R04746];[K01692, K01782, K01825, K07511, K07514, K07515, K10527, K13767];[4.2.1.17, 4.2.1.74];[C00001, C05266, C05276];[]
19;[R04745];[K00022, K01782, K01825, K07514, K07515, K07516, K10527];[1.1.1.211, 1.1.1.35];[C00003, C00004, C00080, C05266, C05267];[]
20;[R04747];[K00632, K07508, K07509, K07513];[2.3.1.16];[C00010, C00024, C05267, C05270];[]
21;[R04751];[K00232, K00248, K00249, K00255, K06445, K09478];[1.3.3.6, 1.3.8.1, 1.3.8.7, 1.3.8.8];[C00016, C01352, C05270, C05271];[]
22;[R04749];[K01692, K01782, K01825, K07511, K07514, K07515, K10527];[4.2.1.17, 4.2.1.74];[C00001, C05268, C05271];[]
23;[R04748];[K00022, K01782, K01825, K07514, K07515, K07516, K10527];[1.1.1.211, 1.1.1.35];[C00003, C00004, C00080, C05268, C05269];[]
24;[R01177];[K00626, K00632, K07508, K07509, K07513];[2.3.1.16, 2.3.1.9];[C00010, C00024, C00136, C05269];[]
25;[R01175];[K00232, K00248, K00249, K06445, K09478];[1.3.3.6, 1.3.8.1, 1.3.8.7];[C00016, C00136, C00877, C01352];[]
26;[R03026];[K01692, K01715, K01782, K01825, K07511, K07514, K07515, K10527, K13767, K15016];[4.2.1.17];[C00001, C00877, C01144];[]
27;[R01975];[K00022, K01782, K01825, K07514, K07516, K10527, K15016];[1.1.1.35];[C00003, C00004, C00080, C00332, C01144];[]
28;[R00238];[K00626, K00632, K07508, K07509, K07513];[2.3.1.16, 2.3.1.9];[C00010, C00024, C00332];[]
