step;reactionNumber;koNumber;ecNumber;compNumber;glycanNumber
1;[R05414];[K15751, K15752, K15753];[1.14.12.22];[C00003, C00004, C00007, C00080, C08060, C08061];[]
2;[R09512];[K15751, K15752, K15753];[1.14.12.22];[C00005, C00006, C00007, C00080, C08060, C08061];[]
3;[R05415];[K15754, K15755];[];[C00007, C08061, C08062];[]
4;[R05365];[K15756];[3.7.1.13];[C00001, C00108, C00596, C08062];[]
