step;reactionNumber;koNumber;ecNumber;compNumber;glycanNumber
1;[R01021];[K00866, K14156];[2.7.1.32];[C00002, C00008, C00114, C00588];[]
2;[R01890];[K00968];[2.7.7.15];[C00013, C00063, C00307, C00588];[]
3;[R01321];[K00994, K13644];[2.7.8.2];[C00055, C00157, C00307, C00641];[]
