step;reactionNumber;koNumber;ecNumber;compNumber;glycanNumber
1;[R02056];[K00551, K00570, K16369];[2.1.1.17];[C00019, C00021, C00350, C01241];[]
2;[R03424];[K00550, K00551, K00570];[2.1.1.16, 2.1.1.71];[C00019, C00021, C01241, C04308];[]
3;[R01320];[K00550, K00551, K00570];[2.1.1.16, 2.1.1.71];[C00019, C00021, C00157, C04308];[]
