kegg_compound	bigg_id	universal_bigg_id
C00621	doldp_c	doldp
C14151	dtocophe_h	dtocophe
C11437	dxyl5p_h	dxyl5p
C08592	echin_u	echin
C03267	f2p_h	f2p
C00138	fdxrd_u	fdxrd
C00999	focytb5_c	focytb5
C00924	focytc_h	focytc
C00124	gal_n	gal
C00984	gal_n	gal
C00880	galctn__D_n	galctn__D
C05435	gcarote_h	gcarote
C00353	ggdp_u	ggdp
C00669	glucys_h	glucys
C00037	gly_h	gly
C00093	glyc3p_h	glyc3p
C00127	gthox_u	gthox
C00051	gthrd_h	gthrd
C00544	hgentis_h	hgentis
C01100	hisp_h	hisp
C00094	so3_h	so3
C11481	so3_h	so3
C00137	inost_h	inost
C19891	inost_h	inost
C00129	ipdp_h	ipdp
C00123	leu__L_h	leu__L
C16439	leu__L_h	leu__L
C05915	lumirhodopsin_s	lumirhodopsin
C01209	malACP_h	malACP
C00083	malcoa_h	malcoa
C00159	man_h	man
C15776	mfecostrl_c	mfecostrl
C00305	mg2_u	mg2
C04006	mi3p__D_n	mi3p__D
C06002	mmtsa_m	mmtsa
C05404	mnt_h	mnt
C03516	mppp9_h	mppp9
C00004	nadh_s	nadh
C00006	nadp_f	nadp
C00006	nadp_h	nadp
C00014	nh4_h	nh4
C01342	nh4_h	nh4
C00533	no_h	no
C00007	o2_h	o2
C01530	ocdca_h	ocdca
C00077	orn_h	orn
C01602	orn_h	orn
C00054	pap_h	pap
C11436	2p4c2me_h	2p4c2me
C00032	pheme_h	pheme
C00166	phpyr_h	phpyr
C01389	phytol_h	phytol
C00154	pmtcoa_s	pmtcoa
C00100	ppcoa_h	ppcoa
C03090	pram_h	pram
C04302	pran_h	pran
C02741	prbamp_h	prbamp
C02739	prbatp_h	prbatp
C02582	protds_h	protds
C02315	protdt_h	protdt
C00894	prpncoa_c	prpncoa
C18064	pyphphbda_h	pyphphbda
C00492	raffin_h	raffin
C01182	rb15bp_h	rb15bp
C00376	retinal_h	retinal
C02588	retpalm_s	retpalm
C00778	rhodopsin_s	rhodopsin
C00199	ru5p__D_h	ru5p__D
C05778	scl_h	scl
C06482	sectrna_m	sectrna
C05688	selcys_h	selcys
C05688	selcys_m	selcys
C05684	slnt_m	slnt
C00493	skm_h	skm
C03179	tfenfe3_h	tfenfe3
C07648	tgua_e	tgua
C01962	thcys_h	thcys
C00101	thf_h	thf
C00068	thmpp_h	thmpp
C05760	tmrs2eACP_h	tmrs2eACP
C05763	tpalm2eACP_h	tpalm2eACP
C00689	tre6p_n	tre6p
C01635	trnaala_m	trnaala
C00320	tsul_h	tsul
C05529	tsul_h	tsul
C00935	udparab_g	udparab
C11521	udpsq_h	udpsq
C05767	upp1_h	upp1
C02323	2hxmp_c	2hxmp
C01367	3amp_c	3amp
C00532	abt__L_e	abt__L
C01674	chitob_c	chitob
C04114	ctbt_e	ctbt
C02278	ddcal_c	ddcal
C00198	g15lac_c	g15lac
C00879	galctr__D_c	galctr__D
C02670	glcurn_c	glcurn
C00182	glycogen_e	glycogen
C06000	hibcoa_c	hibcoa
C00530	hqn_e	hqn
C00636	man1p_e	man1p
C01838	ocdcal_c	ocdcal
C00077	orn__L_e	orn__L
C01602	orn__L_e	orn__L
C01742	pala_c	pala
C10172	prolb_e	prolb
C01610	pur_c	pur
C00389	quc_c	quc
C01007	ribflvRD_c	ribflvRD
C00369	starch_e	starch
C00721	starch_e	starch
C03018	starch_e	starch
C02086	thiog_c	thiog
C02588	retpalm_e	retpalm
C00233	4mop_e	4mop
C01241	C01241_c	C01241
C01241	C01241_r	C01241
C01836	C01836_c	C01836
C02470	C02470_c	C02470
C02712	C02712_m	C02712
C03413	C03413_c	C03413
C03413	C03413_x	C03413
C04295	C04295_m	C04295
C04849	C04849_n	C04849
C14808	C04849_n	C04849
C05284	C05284_c	C05284
C05284	C05284_r	C05284
C05298	C05298_l	C05298
C05300	C05300_c	C05300
C05300	C05300_r	C05300
C05957	C05957_m	C05957
C06199	C06199_c	C06199
C09642	C09642_c	C09642
C11304	C11304_m	C11304
C13856	C13856_c	C13856
C13856	C13856_r	C13856
C14849	C14849_c	C14849
C14849	C14849_r	C14849
C14849	C14849_x	C14849
C14851	C14851_c	C14851
C14851	C14851_r	C14851
C14851	C14851_x	C14851
C20388	CE1243_c	CE1243
C14732	CE2084_c	CE2084
C14732	CE2084_x	CE2084
C16217	CE2248_n	CE2248
C19697	CE4633_c	CE4633
C05949	CE4990_c	CE4990
C05949	CE4990_r	CE4990
C05949	CE4990_x	CE4990
C17755	CE5276_l	CE5276
C16238	CE5656_c	CE5656
C17756	CE5665_c	CE5665
C15868	CE5797_e	CE5797
C16200	CE6448_c	CE6448
C18175	CE7110_c	CE7110
C19488	CN0020_c	CN0020
C19488	CN0020_r	CN0020
C01169	HC00695_m	HC00695
C02170	HC00900_c	HC00900
C03360	HC01104_e	HC01104
C04244	HC01254_c	HC01254
C04874	HC01361_e	HC01361
C05118	HC01376_m	HC01376
C05119	HC01377_m	HC01377
C05403	HC01446_e	HC01446
C05711	HC01577_e	HC01577
C06157	HC01712_m	HC01712
C13482	HC01842_c	HC01842
C00038	HC02172_c	HC02172
C16868	HC02195_c	HC02195
C11301	HC02197_c	HC02197
C05953	HC02203_m	HC02203
C05954	HC02205_e	HC02205
C04686	HC02206_c	HC02206
C06439	HC02213_e	HC02213
C06475	HC02214_e	HC02214
C05956	HC02217_e	HC02217
C04845	acglcgalgluside_cho_g	acglcgalgluside_cho
C00212	adn_n	adn
C06425	arach_m	arach
C00269	cdpdag_cho_m	cdpdag_cho
C00011	co2_l	co2
C05768	cpppg1_e	cpppg1
C00195	crm_cho_e	crm_cho
C02960	crmp_cho_c	crmp_cho
C00063	ctp_e	ctp
C00559	dad_2_n	dad_2
C00360	damp_n	damp
C04483	dchac_e	dchac
C05337	dcholcoa_m	dcholcoa
C06205	dhnpthld_c	dhnpthld
C06127	digalsgalside_cho_c	digalsgalside_cho
C08316	doco13ac_c	doco13ac
C16528	docoscoa_n	docoscoa
C00621	doldp_r	doldp
C00859	ga1_cho_g	ga1_cho
C03272	gbside_cho_e	gbside_cho
C06133	gd3_cho_g	gd3_cho
C01190	gluside_cho_g	gluside_cho
C02155	glyleu_e	glyleu
C06138	gt1a_cho_g	gt1a_cho
C05272	hdd2coa_r	hdd2coa
C16741	hlys_c	hlys
C00909	leuktrA4_n	leuktrA4
C11332	leuleu_c	leuleu
C01595	lnlc_r	lnlc
C02050	lnlccoa_r	lnlccoa
C02050	lnlccoa_x	lnlccoa
C06427	lnlnca_r	lnlnca
C00083	malcoa_l	malcoa
C00006	nadp_l	nadp
C04500	naglc2p_c	naglc2p
C00547	nrpphr_r	nrpphr
C00007	o2_l	o2
C01530	ocdca_m	ocdca
C00712	ocdcea_r	ocdcea
C11554	pail34p_cho_c	pail34p_cho
C11556	pail35p_cho_c	pail35p_cho
C11556	pail35p_cho_r	pail35p_cho
C04549	pail3p_cho_g	pail3p_cho
C04549	pail3p_cho_n	pail3p_cho
C04637	pail45p_cho_c	pail45p_cho
C04637	pail45p_cho_r	pail45p_cho
C01277	pail4p_cho_c	pail4p_cho
C11557	pail5p_cho_g	pail5p_cho
C11557	pail5p_cho_n	pail5p_cho
C00157	pchol_cho_e	pchol_cho
C00582	phaccoa_m	phaccoa
C03366	pholys_c	pholys
C02737	ps_cho_m	ps_cho
C11378	q10_e	q10
C03736	r5p_r	r5p
C05698	selhcys_r	selhcys
C03640	spc_cho_c	spc_cho
C01755	tcynt_n	tcynt
C05463	tdechola_e	tdechola
C04737	thcrm_cho_g	thcrm_cho
C00178	thym_m	thym
C00052	udpgal_n	udpgal
C00366	urate_n	urate
C02530	xolest_cho_e	xolest_cho
C00255	ribflv_p	ribflv
C00016	fad_p	fad
C06229	fe3dcit_c	fe3dcit
C00586	2dglc_p	2dglc
C00288	hco3_cx	hco3
C01353	hco3_cx	hco3
C05125	2ahethmpp_c	2ahethmpp
C04618	3hbutACP_c	3hbutACP
C03771	5g2oxpt_p	5g2oxpt
C00238	k_u	k
C00092	g6p_h	g6p
C03972	thdp_h	thdp
C01250	acg5sa_h	acg5sa
C03232	3php_m	3php
C00047	lys__L_h	lys__L
C16440	lys__L_h	lys__L
C00189	etha_m	etha
C00137	inost_m	inost
C19891	inost_m	inost
C00996	ficytb5_m	ficytb5
C00588	cholp_m	cholp
C06250	btnCCP_m	btnCCP
C05744	actACP_m	actACP
C04246	but2eACP_m	but2eACP
C05747	3hhexACP_m	3hhexACP
C05750	3ooctACP_m	3ooctACP
C05753	3odecACP_m	3odecACP
C05759	3omrsACP_m	3omrsACP
C04688	3hmrsACP_m	3hmrsACP
C05760	tmrs2eACP_m	tmrs2eACP
C05763	tpalm2eACP_m	tpalm2eACP
C11821	5hiu_c	5hiu
C12248	5houdic_c	5houdic
C01081	thmmp_h	thmmp
C03028	thmtp_h	thmtp
C19845	pimACP_m	pimACP
C01092	8aonn_m	8aonn
C01304	25drapp_h	25drapp
C01635	trnaala_h	trnaala
C01637	trnaasn_h	trnaasn
C02553	sertrna_h	sertrna
C01648	trnaphe_h	trnaphe
C03512	trptrna_h	trptrna
C05840	iasp_m	iasp
C06098	zeax_h	zeax
C08606	neoxan_h	neoxan
C01077	achms_m	achms
C00309	rbl__D_h	rbl__D
C02059	phllqne_h	phllqne
C00252	isomal_e	isomal
C00081	itp_e	itp
C16162	lnlncacoa_r	lnlncacoa
C02642	cala_e	cala
C00632	3hanthrn_e	3hanthrn
C03227	hLkynr_e	hLkynr
C01026	dmgly_e	dmgly
C01103	orot5p_e	orot5p
C03406	argsuc_e	argsuc
C08276	3mtp_e	3mtp
C03672	34hpl_c	34hpl
C01188	3hmp_e	3hmp
C05100	3uib_e	3uib
C00429	56dura_e	56dura
C04805	C04805_e	C04805
C06315	C06315_e	C06315
C14769	C14769_e	C14769
C14770	C14770_e	C14770
C14825	C14825_e	C14825
C00418	mev__R_e	mev__R
C01177	mi1p__D_e	mi1p__D
C01042	Nacasp_e	Nacasp
C03793	tmlys_e	tmlys
C00785	urcan_e	urcan
C00180	bz_m	bz
C00539	bz_m	bz
C05301	C05301_e	C05301
C05299	C05299_e	C05299
C13712	CE2211_e	CE2211
C15484	CE2211_e	CE2211
C03681	C03681_e	C03681
C00398	trypta_e	trypta
C05335	selmeth_e	selmeth
C05964	CE1447_e	CE1447
C06809	CE1310_c	CE1310
C00751	sql_e	sql
C00515	orn__D_c	orn__D
C15493	CE1617_e	CE1617
C16845	CE5643_e	CE5643
C19440	CE0737_e	CE0737
C02835	im4ac_e	im4ac
C00165	dag_hs_g	dag_hs
C00641	dag_hs_g	dag_hs
C05450	HC01459_m	HC01459
C08316	doco13ac_r	doco13ac
C00004	nadh_e	nadh
C01345	ditp_e	ditp
C01279	4ahmmp_e	4ahmmp
C00348	udcpp_w	udcpp
C00644	mnl1p_e	mnl1p
C06187	arbt6p_e	arbt6p
C00346	ethamp_g	ethamp
C00882	dpcoa_h	dpcoa
C00725	lipoate_m	lipoate
C16241	lipoate_m	lipoate
C00244	no3_m	no3
C04146	octdp_m	octdp
C01172	g6p_B_x	g6p_B
C00345	6pgc_x	6pgc
C03736	r5p_x	r5p
C00121	rib__D_x	rib__D
C21057	rib__D_x	rib__D
C05382	s7p_x	s7p
C00086	urea_x	urea
C00412	strcoa_m	strcoa
C00014	nh3_x	nh3
C01342	nh3_x	nh3
C00130	imp_x	imp
C00119	prpp_x	prpp
C00361	dgdp_r	dgdp
C06505	co1dam_e	co1dam
C00118	g3p_e	g3p
C00661	g3p_e	g3p
C16699	man6pglyc_e	man6pglyc
C05662	hicit_c	hicit
C04631	uaccg_e	uaccg
C02780	25dkglcn_e	25dkglcn
C01157	4hpro_LT_p	4hpro_LT
C03651	4hpro_LT_p	4hpro_LT
C00431	5aptn_p	5aptn
C02376	5mcsn_p	5mcsn
C00436	Ncbmpts_p	Ncbmpts
C06710	ag_p	ag
C00500	biliverd_p	biliverd
C00155	hcys__L_p	hcys__L
C05330	hcys__L_p	hcys__L
C11332	leuleu_p	leuleu
C01595	lnlc_p	lnlc
C01601	nona_e	nona
C00515	orn__D_p	orn__D
C00748	sheme_e	sheme
C02912	12ppd__R_c	12ppd__R
C04272	23dhmb_c	23dhmb
C01304	25drapp_c	25drapp
C11822	2amsa_c	2amsa
C01216	2dh3dgal_c	2dh3dgal
C00673	2dr5p_c	2dr5p
C02225	2mcit_c	2mcit
C11436	2p4c2me_c	2p4c2me
C16519	2sephchc_c	2sephchc
C19771	2tpr3dpcoa_c	2tpr3dpcoa
C01179	34hpp_c	34hpp
C20253	3amac_c	3amac
C14899	3dhgulnp_c	3dhgulnp
C05747	3hhexACP_c	3hhexACP
C04688	3hmrsACP_c	3hmrsACP
C05263	3oddcoa_c	3oddcoa
C05753	3odecACP_c	3odecACP
C05759	3omrsACP_c	3omrsACP
C05267	3oocoa_c	3oocoa
C05750	3ooctACP_c	3ooctACP
C03232	3php_c	3php
C01269	3psme_c	3psme
C00606	3sala_c	3sala
C00334	4abut_c	4abut
C00568	4abz_c	4abz
C11435	4c2me_c	4c2me
C06056	4hthr_c	4hthr
C04294	4mhetz_c	4mhetz
C04732	4r5au_c	4r5au
C01062	5dglcn_c	5dglcn
C03479	5fthf_c	5fthf
C00440	5mthf_c	5mthf
C01092	8aonn_c	8aonn
C00229	ACP_c	ACP
C01031	Sfglutth_c	Sfglutth
C06735	aacald_c	aacald
C01888	aact_c	aact
C03939	acACP_c	acACP
C00164	acac_c	acac
C06332	acanth_c	acanth
C01250	acg5sa_c	acg5sa
C00645	acmana_c	acmana
C16698	acmum6p_c	acmum6p
C05744	actACP_c	actACP
C00147	ade_c	ade
C06397	adphep_DD_c	adphep_DD
C06398	adphep_LD_c	adphep_LD
C04677	aicar_c	aicar
C01551	alltn_c	alltn
C18096	allul6p_c	allul6p
C00817	altrn_c	altrn
C00108	anth_c	anth
C00224	aps_c	aps
C01112	ara5p_c	ara5p
C05554	arbtn_fe3_c	arbtn_fe3
C00062	arg__L_c	arg__L
C02385	arg__L_c	arg__L
C04246	but2eACP_c	but2eACP
C00853	cbl1_c	cbl1
C01419	cgly_c	cgly
C00114	chol_c	chol
C00423	cinnm_c	cinnm
C10438	cinnm_c	cinnm
C00158	cit_c	cit
C00327	citr__L_c	citr__L
C00011	co2_c	co2
C03263	cpppg3_c	cpppg3
C00177	cyan_c	cyan
C01326	cyan_c	cyan
C00458	dctp_c	dctp
C03221	dd2coa_c	dd2coa
C00330	dgsn_c	dgsn
C00921	dhpt_c	dhpt
C00580	dms_c	dms
C11143	dmso_c	dmso
C00857	dnad_c	dnad
C00882	dpcoa_c	dpcoa
C00363	dtdp_c	dtdp
C20415	dtdp4aaddg_c	dtdp4aaddg
C11907	dtdp4d6dg_c	dtdp4d6dg
C06257	dxyl_c	dxyl
C11437	dxyl5p_c	dxyl5p
C00189	etha_c	etha
C01721	fcl__L_c	fcl__L
C06230	feenter_c	feenter
C00092	g6p_c	g6p
C06311	galt1p_c	galt1p
C15767	gg4abut_c	gg4abut
C01165	glu5sa_c	glu5sa
C00669	glucys_c	glucys
C00037	gly_c	gly
C00093	glyc3p_c	glyc3p
C00144	gmp_c	gmp
C00051	gthrd_c	gthrd
C15672	hemeO_c	hemeO
C01100	hisp_c	hisp
C20377	hpmeACP_c	hpmeACP
C05840	iasp_c	iasp
C00137	inost_c	inost
C19891	inost_c	inost
C00129	ipdp_c	ipdp
C00123	leu__L_c	leu__L
C16439	leu__L_c	leu__L
C04919	lipidA_c	lipidA
C00725	lipoate_c	lipoate
C16241	lipoate_c	lipoate
C00047	lys__L_c	lys__L
C16440	lys__L_c	lys__L
C01209	malACP_c	malACP
C00083	malcoa_c	malcoa
C00159	man_c	man
C02430	mettrna_c	mettrna
C06232	mobd_c	mobd
C21382	mththf_c	mththf
C16565	na15dap_c	na15dap
C00253	nac_c	nac
C00006	nadp_c	nadp
C00153	ncam_c	ncam
C00014	nh4_c	nh4
C01342	nh4_c	nh4
C00533	no_c	no
C00244	no3_c	no3
C00007	o2_c	o2
C01530	ocdca_c	ocdca
C04146	octdp_c	octdp
C16218	od2coa_c	od2coa
C00077	orn_c	orn
C01602	orn_c	orn
C02232	oxadpcoa_c	oxadpcoa
C00313	oxalcoa_c	oxalcoa
C00802	oxur_c	oxur
C00601	pacald_c	pacald
C00054	pap_c	pap
C00582	phaccoa_c	phaccoa
C00032	pheme_c	pheme
C00166	phpyr_c	phpyr
C19845	pimACP_c	pimACP
C19846	pmeACP_c	pmeACP
C00479	ppal_c	ppal
C00100	ppcoa_c	ppcoa
C03090	pram_c	pram
C04302	pran_c	pran
C02741	prbamp_c	prbamp
C02739	prbatp_c	prbatp
C00647	pyam5p_c	pyam5p
C00534	pydam_c	pydam
C00314	pydxn_c	pydxn
C03539	rhcys_c	rhcys
C00199	ru5p__D_c	ru5p__D
C01101	ru5p__L_c	ru5p__L
C05778	scl_c	scl
C06482	sectrna_c	sectrna
C02553	sertrna_c	sertrna
C00493	skm_c	skm
C04421	sl26da_c	sl26da
C05684	slnt_c	slnt
C00094	so3_c	so3
C11481	so3_c	so3
C05931	sucglu_c	sucglu
C05932	sucgsa_c	sucgsa
C00558	tagur_c	tagur
C03972	thdp_c	thdp
C00101	thf_c	thf
C01081	thmmp_c	thmmp
C21007	thmnp_c	thmnp
C00068	thmpp_c	thmpp
C00178	thym_c	thym
C05760	tmrs2eACP_c	tmrs2eACP
C05763	tpalm2eACP_c	tpalm2eACP
C01635	trnaala_c	trnaala
C01637	trnaasn_c	trnaasn
C01638	trnaasp_c	trnaasp
C01644	trnaile_c	trnaile
C01647	trnamet_c	trnamet
C01648	trnaphe_c	trnaphe
C03512	trptrna_c	trptrna
C00320	tsul_c	tsul
C05529	tsul_c	tsul
C20679	tungs_c	tungs
C05898	uaagmda_c	uaagmda
C00043	uacgam_c	uacgam
C01170	uacmam_c	uacmam
C00348	udcpp_c	udcpp
C03733	udpgalfur_c	udpgalfur
C00167	udpglcur_c	udpglcur
C01337	xdp_c	xdp
C00181	xyl__D_c	xyl__D
C00310	xylu__D_c	xylu__D
C02353	23camp_e	23camp
C02354	23ccmp_e	23ccmp
C06194	23cgmp_e	23cgmp
C03401	23dappa_e	23dappa
C06393	23dappa_e	23dappa
C00204	2ddglcn_e	2ddglcn
C06193	3gmp_e	3gmp
C12621	3hcinnm_e	3hcinnm
C20958	LalaLglu_e	LalaLglu
C00033	ac_e	ac
C00212	adn_e	adn
C00194	adocbl_e	adocbl
C00133	ala__D_e	ala__D
C00993	alaala_e	alaala
C06186	arbt_e	arbt
C00072	ascb__L_e	ascb__L
C20364	ascb__L_e	ascb__L
C00152	asn__L_e	asn__L
C16438	asn__L_e	asn__L
C00076	ca2_e	ca2
C00175	cobalt2_e	cobalt2
C01417	cynt_e	cynt
C00559	dad_2_e	dad_2
C00360	damp_e	damp
C00239	dcmp_e	dcmp
C03758	dopa_e	dopa
C05345	f6p_e	f6p
C00058	for_e	for
C00122	fum_e	fum
C06694	fusa_e	fusa
C03274	g3pg_e	g3pg
C00124	gal_e	gal
C00984	gal_e	gal
C00446	gal1p_e	gal1p
C03384	gal1p_e	gal1p
C00879	galct__D_e	galct__D
C00880	galctn__D_e	galctn__D
C15930	galctn__L_e	galctn__L
C00352	gam6p_e	gam6p
C00719	glyb_e	glyb
C00044	gtp_e	gtp
C00027	h2o2_e	h2o2
C00283	h2s_e	h2s
C01585	hxa_e	hxa
C00294	ins_e	ins
C06025	kdo2lipid4_e	kdo2lipid4
C00256	lac__D_e	lac__D
C00186	lac__L_e	lac__L
C01508	lyx__L_e	lyx__L
C00497	mal__D_e	mal__D
C00149	mal__L_e	mal__L
C01835	malttr_e	malttr
C00275	man6p_e	man6p
C11544	manglyc_e	manglyc
C00132	meoh_e	meoh
C15998	metsox_R__L_e	metsox_R__L
C03172	mmet_e	mmet
C19610	mn2_e	mn2
C01330	na1_e	na1
C00455	nmn_e	nmn
C06423	octa_e	octa
C00295	orot_e	orot
C00009	pi_e	pi
C00864	pnto__R_e	pnto__R
C06701	ppt_e	ppt
C09306	so2_e	so2
C14179	sulfac_e	sulfac
C00898	tartr__L_e	tartr__L
C01755	tcynt_e	tcynt
C00078	trp__L_e	trp__L
C00806	trp__L_e	trp__L
C06570	ttrcyc_e	ttrcyc
C00483	tym_e	tym
C00082	tyr__L_e	tyr__L
C01536	tyr__L_e	tyr__L
C00052	udpgal_e	udpgal
C00183	val__L_e	val__L
C16436	val__L_e	val__L
C01762	xtsn_e	xtsn
C02912	12ppd__R_p	12ppd__R
C02355	23cump_p	23cump
C04043	34dhpac_p	34dhpac
C05822	3cmp_p	3cmp
C01368	3ump_p	3ump
C00334	4abut_p	4abut
C01062	5dglcn_p	5dglcn
C00164	acac_p	acac
C18060	acgal1p_p	acgal1p
C00645	acmana_p	acmana
C00147	ade_p	ade
C01551	alltn_p	alltn
C05554	arbtn_fe3_p	arbtn_fe3
C00062	arg__L_p	arg__L
C02385	arg__L_p	arg__L
C00853	cbl1_p	cbl1
C01419	cgly_p	cgly
C00114	chol_p	chol
C00158	cit_p	cit
C00011	co2_p	co2
C00177	cyan_p	cyan
C01326	cyan_p	cyan
C00330	dgsn_p	dgsn
C00580	dms_p	dms
C11143	dmso_p	dmso
C00189	etha_p	etha
C06230	feenter_p	feenter
C00092	g6p_p	g6p
C00962	gal_bD_p	gal_bD
C00037	gly_p	gly
C00093	glyc3p_p	glyc3p
C00144	gmp_p	gmp
C00051	gthrd_p	gthrd
C00137	inost_p	inost
C19891	inost_p	inost
C00123	leu__L_p	leu__L
C16439	leu__L_p	leu__L
C00725	lipoate_p	lipoate
C16241	lipoate_p	lipoate
C00047	lys__L_p	lys__L
C16440	lys__L_p	lys__L
C00159	man_p	man
C06232	mobd_p	mobd
C00253	nac_p	nac
C00014	nh4_p	nh4
C01342	nh4_p	nh4
C00533	no_p	no
C00244	no3_p	no3
C00007	o2_p	o2
C01530	ocdca_p	ocdca
C00077	orn_p	orn
C01602	orn_p	orn
C00601	pacald_p	pacald
C00032	pheme_p	pheme
C00479	ppal_p	ppal
C00534	pydam_p	pydam
C00314	pydxn_p	pydxn
C00493	skm_p	skm
C05684	slnt_p	slnt
C00094	so3_p	so3
C11481	so3_p	so3
C00178	thym_p	thym
C00320	tsul_p	tsul
C05529	tsul_p	tsul
C20679	tungs_p	tungs
C00043	uacgam_p	uacgam
C00348	udcpp_p	udcpp
C00167	udpglcur_p	udpglcur
C00181	xyl__D_p	xyl__D
C04188	5mdr1p_c	5mdr1p
C04582	5mdru1p_c	5mdru1p
C01235	1Dgali_c	1Dgali
C04281	1p3h5c_c	1p3h5c
C00966	2dhp_m	2dhp
C05984	2hb_c	2hb
C05802	2hp6mp_m	2hp6mp
C02223	2mbald_m	2mbald
C00322	2oxoadp_c	2oxoadp
C03672	34hpl_m	34hpl
C01179	34hpp_x	34hpp
C02504	3c3hmp_m	3c3hmp
C04236	3c4mop_m	3c4mop
C05200	3dh5hpb_c	3dh5hpb
C02934	3dsphgn_c	3dsphgn
C07329	3mbald_c	3mbald
C00671	3mop_m	3mop
C05263	3oddcoa_x	3oddcoa
C01061	4fumacac_c	4fumacac
C03078	4gudbd_c	4gudbd
C01127	4h2oglt_c	4h2oglt
C01127	4h2oglt_x	4h2oglt
C05938	4hglusa_m	4hglusa
C01157	4hpro_LT_m	4hpro_LT
C03651	4hpro_LT_m	4hpro_LT
C00430	5aop_m	5aop
C01107	5pmev_c	5pmev
C00652	Dara14lac_c	Dara14lac
C00956	L2aadp_c	L2aadp
C02567	N1sprm_c	N1sprm
C00532	abt_e	abt
C00084	acald_m	acald
C00024	accoa_n	accoa
C00624	acglu_m	acglu
C01077	achms_c	achms
C00437	acorn_m	acorn
C02571	acrn_c	acrn
C02571	acrn_x	acrn
C00810	actn__R_c	actn__R
C00008	adp_m	adp
C00008	adp_v	adp
C00301	adprib_m	adprib
C01882	adprib_m	adprib
C00026	akg_m	akg
C00041	ala__L_m	ala__L
C01401	ala__L_m	ala__L
C01010	allphn_c	allphn
C00019	amet_m	amet
C00020	amp_n	amp
C02163	argtrna_m	argtrna
C00049	asp__L_n	asp__L
C16433	asp__L_n	asp__L
C00169	cbp_n	cbp
C00588	cholp_c	cholp
C00158	cit_x	cit
C00011	co2_x	co2
C00010	coa_n	coa
C00318	crn_m	crn
C00487	crn_m	crn
C03221	dd2coa_x	dd2coa
C02972	dhlpro_m	dhlpro
C04874	dhnpt_m	dhnpt
C01346	dudp_n	dudp
C15777	epist_c	epist
C01694	ergst_e	ergst
C00016	fad_m	fad
C14818	fe2_m	fe2
C00448	frdp_m	frdp
C00092	g6p_r	g6p
C00266	gcald_e	gcald
C00035	gdp_g	gdp
C00035	gdp_n	gdp
C00096	gdpmann_g	gdpmann
C00064	gln__L_n	gln__L
C00303	gln__L_n	gln__L
C00025	glu__L_n	glu__L
C00302	glu__L_n	glu__L
C00048	glx_e	glx
C00001	h2o_m	h2o
C01328	h2o_m	h2o
C00001	h2o_v	h2o
C01328	h2o_v	h2o
C00080	h_m	h
C00080	h_v	h
C01230	hexdp_c	hexdp
C00544	hgentis_c	hgentis
C05662	hicit_m	hicit
C00135	his__L_m	his__L
C00768	his__L_m	his__L
C00135	his__L_v	his__L
C00768	his__L_v	his__L
C00517	hxdcal_c	hxdcal
C02693	iad_c	iad
C12296	iamac_c	iamac
C07328	iamoh_m	iamoh
C00637	id3acald_m	id3acald
C00954	ind3ac_c	ind3ac
C01724	lanost_c	lanost
C00073	met__L_m	met__L
C01733	met__L_m	met__L
C04593	micit_m	micit
C01204	minohp_n	minohp
C05936	n4abutn_c	n4abutn
C00003	nad_m	nad
C00006	nadp_r	nadp
C00006	nadp_x	nadp
C00014	nh4_x	nh4
C01342	nh4_x	nh4
C01185	nicrnt_m	nicrnt
C00007	o2_r	o2
C00007	o2_x	o2
C00036	oaa_m	oaa
C01530	ocdca_x	ocdca
C16218	od2coa_x	od2coa
C05533	oxag_c	oxag
C00522	pant__R_m	pant__R
C00054	pap_x	pap
C00012	pepd_e	pepd
C00079	phe__L_m	phe__L
C02057	phe__L_m	phe__L
C12303	pheac_c	pheac
C02191	ppp9_m	ppp9
C01079	pppg9_m	pppg9
C00119	prpp_m	prpp
C04308	ptd2meeta_SC_c	ptd2meeta_SC
C03722	quln_m	quln
C00620	r1p_m	r1p
C00492	raffin_c	raffin
C00255	ribflv_m	ribflv
C00836	sphgn_c	sphgn
C00836	sphgn_r	sphgn
C00750	sprm_e	sprm
C00247	srb__L_e	srb__L
C08356	srb__L_e	srb__L
C00042	succ_m	succ
C03881	tglp_c	tglp
C03028	thmtp_c	thmtp
C00188	thr__L_m	thr__L
C02992	thrtrna_m	thrtrna
C00343	trdox_n	trdox
C00342	trdrd_n	trdrd
C01636	trnaarg_m	trnaarg
C01641	trnaglu_m	trnaglu
C01643	trnahis_m	trnahis
C01652	trnatrp_m	trnatrp
C00015	udp_n	udp
C00105	ump_m	ump
C05437	zymst_c	zymst
C05118	2mbdhl_c	2mbdhl
C05814	2ommb_c	2ommb
C00180	bz_c	bz
C00539	bz_c	bz
C04509	decdp_c	decdp
C17432	decdp_c	decdp
C18321	decdp_c	decdp
C00579	dhlam_c	dhlam
C15670	hemeA_c	hemeA
C00630	ibcoa_c	ibcoa
C04390	n6all26d_c	n6all26d
C05539	nal2a6o_c	nal2a6o
C01358	nh4oh_c	nh4oh
C01801	drib_e	drib
C13636	4hphac_e	4hphac
C00417	acon_C_e	acon_C
C19806	tcb_e	tcb
C01861	tton_e	tton
C06257	dxyl_p	dxyl
C00491	cysi__L_e	cysi__L
C06056	4hthr_p	4hthr
C00488	frmd_e	frmd
C02084	tet_p	tet
C03557	2ameph_p	2ameph
C00489	glutar_c	glutar
C01904	abt__D_e	abt__D
