kegg_compound	bigg_id	universal_bigg_id
C00312	xylu__L_c	xylu__L
C00038	zn2_c	zn2
C02917	12ppd__S_e	12ppd__S
C00680	26dap__M_e	26dap__M
C01013	3hpp_e	3hpp
C20957	LalaDglu_e	LalaDglu
C00140	acgam_e	acgam
C04256	acgam1p_e	acgam1p
C00270	acnam_e	acnam
C19910	acnam_e	acnam
C00179	agm_e	agm
C01487	all__D_e	all__D
C00020	amp_e	amp
C00049	asp__L_e	asp__L
C16433	asp__L_e	asp__L
C01413	cd2_e	cd2
C00698	cl_e	cl
C01327	cl_e	cl
C00918	cm_e	cm
C00055	cmp_e	cmp
C15025	crn__D_e	crn__D
C00380	csn_e	csn
C00070	cu2_e	cu2
C00793	cys__D_e	cys__D
C00881	dcyt_e	dcyt
C00362	dgmp_e	dgmp
C00364	dtmp_e	dtmp
C00526	duri_e	duri
C05821	enter_e	enter
C00469	etoh_e	etoh
C00067	fald_e	fald
C14819	fe3_e	fe3
C06227	fe3hox_e	fe3hox
C00095	fru_e	fru
C01496	fru_e	fru
C05003	fru_e	fru
C10906	fru_e	fru
C16488	frulys_e	frulys
C00103	g1p_e	g1p
C01697	galt_e	galt
C00333	galur_e	galur
C00329	gam_e	gam
C01181	gbbtn_e	gbbtn
C00035	gdp_e	gdp
C00031	glc__D_e	glc__D
C00818	glcr_e	glcr
C00191	glcur_e	glcur
C00064	gln__L_e	gln__L
C00303	gln__L_e	gln__L
C00025	glu__L_e	glu__L
C00302	glu__L_e	glu__L
C00577	glyald_e	glyald
C00116	glyc_e	glyc
C00387	gsn_e	gsn
C00127	gthox_e	gthox
C00242	gua_e	gua
C00770	idon__L_e	idon__L
C00407	ile__L_e	ile__L
C05123	isetac_e	isetac
C00238	k_e	k
C02013	maltttr_e	maltttr
C02052	maltttr_e	maltttr
C00855	met__D_e	met__D
C00305	mg2_e	mg2
C07225	mincyc_e	mincyc
C01204	minohp_e	minohp
C00392	mnl_e	mnl
C11145	mso3_e	mso3
C00887	n2o_e	n2o
C00088	no2_e	no2
C05080	novbcn_e	novbcn
C00704	o2s_e	o2s
C05629	pppn_e	pppn
C00148	pro__L_e	pro__L
C16435	pro__L_e	pro__L
C00134	ptrc_e	ptrc
C00022	pyr_e	pyr
C00296	quin_e	quin
C06688	rfamp_e	rfamp
C00507	rmn_e	rmn
C00794	sbt__D_e	sbt__D
C00065	ser__L_e	ser__L
C00716	ser__L_e	ser__L
C00059	so4_e	so4
C00315	spmd_e	spmd
C00245	taur_e	taur
C12147	thrp_e	thrp
C01083	tre_e	tre
C06501	tyrp_e	tyrp
C00203	udpacgal_e	udpacgal
C00029	udpg_e	udpg
C00299	uri_e	uri
C00655	xmp_e	xmp
C01672	15dap_p	15dap
C01367	3amp_p	3amp
C11457	3hpppn_p	3hpppn
C03765	4hoxpacd_p	4hoxpacd
C03089	5mtr_p	5mtr
C00084	acald_p	acald
C01132	acgal_p	acgal
C02713	acmum_p	acmum
C00979	acser_p	acser
C00026	akg_p	akg
C00099	ala_B_p	ala_B
C00041	ala__L_p	ala__L
C01401	ala__L_p	ala__L
C11476	arab__L_p	arab__L
C06697	aso3_p	aso3
C00120	btn_p	btn
C00318	crn_p	crn
C00487	crn_p	crn
C00097	cys__L_p	cys__L
C00736	cys__L_p	cys__L
C00475	cytd_p	cytd
C00184	dha_p	dha
C06196	dimp_p	dimp
C05512	din_p	din
C01661	doxrbcn_p	doxrbcn
C00365	dump_p	dump
C21173	enlipa_p	enlipa
C14818	fe2_p	fe2
C06229	fe3dcit_p	fe3dcit
C06228	fecrm_p	fecrm
C07597	feoxam_p	feoxam
C00905	fruur_p	fruur
C00670	g3pc_p	g3pc
C01233	g3pe_p	g3pe
C01225	g3pi_p	g3pi
C00257	glcn_p	glcn
C05385	glcur1p_p	glcur1p
C00258	glyc__R_p	glyc__R
C02979	glyc2p_p	glyc2p
C00160	glyclt_p	glyclt
C00080	h_p	h
C00282	h2_p	h2
C00001	h2o_p	h2o
C01328	h2o_p	h2o
C00249	hdca_p	hdca
C00703	hg2_p	hg2
C00135	his__L_p	his__L
C00768	his__L_p	his__L
C00263	hom__L_p	hom__L
C00262	hxan_p	hxan
C00130	imp_p	imp
C00463	indole_p	indole
C00243	lcts_p	lcts
C01970	lcts_p	lcts
C06026	lipa_p	lipa
C00208	malt_p	malt
C00897	malt_p	malt
C01936	malthx_p	malthx
C00073	met__L_p	met__L
C01733	met__L_p	met__L
C02989	metsox_S__L_p	metsox_S__L
C19609	ni2_p	ni2
C00712	ocdcea_p	ocdcea
C05332	peamn_p	peamn
C00079	phe__L_p	phe__L
C02057	phe__L_p	phe__L
C01005	pser__L_p	pser__L
C00250	pydx_p	pydx
C03736	r5p_p	r5p
C00121	rib__D_p	rib__D
C21057	rib__D_p	rib__D
C05697	sel_p	sel
C00740	ser__D_p	ser__D
C00042	succ_p	succ
C00089	sucr_p	sucr
C02107	tartr__D_p	tartr__D
C00188	thr__L_p	thr__L
C00214	thymd_p	thymd
C00565	tma_p	tma
C01104	tmao_p	tmao
C00105	ump_p	ump
C00106	ura_p	ura
C00086	urea_p	urea
C00385	xan_p	xan
C00312	xylu__L_p	xylu__L
C00038	zn2_p	zn2
C01180	2kmb_c	2kmb
C02745	fldrd_c	fldrd
C01213	mmcoa__R_c	mmcoa__R
C00681	1ag3p_SC_c	1ag3p_SC
C03849	1ag3p_SC_c	1ag3p_SC
C02918	1mncam_c	1mncam
C04281	1p3h5c_m	1p3h5c
C04272	23dhmb_m	23dhmb
C01159	23dpg_c	23dpg
C03339	23dpg_c	23dpg
C00586	2dglc_c	2dglc
C02223	2mbald_c	2mbald
C02225	2mcit_m	2mcit
C00322	2oxoadp_m	2oxoadp
C05853	2phetoh_e	2phetoh
C01179	34hpp_m	34hpp
C05200	3dh5hpb_m	3dh5hpb
C05264	3hdcoa_x	3hdcoa
C05258	3hhdcoa_x	3hhdcoa
C07329	3mbald_m	3mbald
C05265	3odcoa_x	3odcoa
C02946	4aabutn_c	4aabutn
C00334	4abut_m	4abut
C00568	4abz_m	4abz
C01035	4gudbutn_c	4gudbutn
C01127	4h2oglt_m	4h2oglt
C02949	4hbzcoa_m	4hbzcoa
C01157	4hpro_LT_c	4hpro_LT
C03651	4hpro_LT_c	4hpro_LT
C01143	5dpmev_c	5dpmev
C03479	5fthf_m	5fthf
C00229	ACP_m	ACP
C04076	L2aadp6sa_c	L2aadp6sa
C02700	Lfmkynr_c	Lfmkynr
C15605	Lfmkynr_c	Lfmkynr
C01152	NPmehis_c	NPmehis
C01054	Ssq23epx_c	Ssq23epx
C01054	Ssq23epx_r	Ssq23epx
C00811	T4hcinnm_m	T4hcinnm
C03939	acACP_m	acACP
C01883	aces_e	aces
C01250	acg5sa_m	acg5sa
C02571	acrn_m	acrn
C00147	ade_m	ade
