ec_number	bigg_reaction_id
3.6.1.26	CDAPPA141
3.6.1.26	CDAPPA180
1.7.1.13	CDGR
2.7.1.148	CDPMEK
2.1.1.79	CFAS160E
2.1.1.79	CFAS180E
5.4.99.5	CHORM
4.1.3.40	CHRPL
1.14.12.19	CINNDO
4.1.3.6	CITL
3.2.2.10	CMPN
4.1.99.18	CPMPS
2.8.3.21	CRNBTCT
2.3.3.1	CS
2.3.3.16	CS
2.3.3.3	CS
3.5.4.1	CSND
5.3.3.8	CTECOAI6
5.3.3.8	CTECOAI7
5.3.3.8	CTECOAI8
1.16.3	CU1Opp
2.8.1.1	CYANST
4.2.1.104	CYNTAH
4.4.1.8	CYSTL
6.1.1.15	CYSTRS
6.1.1.16	CYSTRS
3.6.3.21	CYSabc2pp
3.5.4.5	CYTD
2.7.1.107	DAGK160
4.1.1.20	DAPDC
2.7.7.41	DASYN140
2.7.7.41	DASYN161
3.5.4.13	DCTPD
3.5.4.5	DCYTD
2.7.1.178	DDGLK
2.7.1.45	DDGLK
2.7.4.12	DGK1
2.7.4.13	DGK1
2.7.4.8	DGK1
4.2.1.17	DHACOAH
4.2.1.9	DHAD1
1.3.1.28	DHBD
1.3.1.87	DHCIND
1.13.11.16	DHCINDO
1.5.1.3	DHFR
6.3.2.12	DHFS
6.3.2.17	DHFS
2.5.1.74	DHNAOT4
3.5.4.26	DHPPDA2
1.5.1.34	DHPTDNR
5.1.99.d	DHPTPE
4.2.3.4	DHQS
1.1.1	DKGLCNR2y
1.1.1.215	DKGLCNR2y
2.5.1.1	DMATT
1.1.1.169	DPR
2.7.4.12	DTMPK
2.7.4.13	DTMPK
2.7.4.9	DTMPK
2.7.1.145	DURIK1
2.7.1.21	DURIK1
3.6.1.-	DUTPDP
3.6.1.23	DUTPDP
3.6.1.9	DUTPDP
1.1.1.267	DXPRIi
1.2.1.72	E4PD
2.3.1.-	EAR100x
2.3.1.86	EAR100y
2.3.1.86	EAR120y
2.3.1.86	EAR140y
1.3.1.9	EAR141x
1.3.1.9	EAR161x
1.3.1.10	EAR161y
1.3.1.9	EAR180x
1.3.1.10	EAR180y
1.3.1.9	EAR181x
1.3.1.10	EAR181y
2.3.1.86	EAR40y
2.3.1.86	EAR60y
2.3.1.86	EAR80y
4.2.1.150	ECOAH1
4.2.1.17	ECOAH1
4.2.1.55	ECOAH1
4.2.1.17	ECOAH2
4.2.1.74	ECOAH2
4.2.1.17	ECOAH4
4.2.1.74	ECOAH4
4.2.1.17	ECOAH6
4.2.1.74	ECOAH6
4.2.1.134	ECOAH8
4.2.1.17	ECOAH8
2.3.1.241	EDTXS1
3.1.1	ENTERES
1.3.1.10	EPMEACPR
4.3.1.7	ETHAAL
4.1.2	F6PA
3.1.2.21	FA100ACPHi
3.1.2.14	FA140ACPHi
3.1.2.14	FA141ACPHi
3.1.2.14	FA160ACPHi
3.1.2.14	FA161ACPHi
3.1.2.2	FACOAE100
3.1.2.2	FACOAE140
3.1.2.2	FACOAE160
3.1.2.22	FACOAE160
3.1.2.2	FACOAE180
1.5.1.30	FADRx2
1.5.1.45	FADRx2
1.1.1	FALDH2
1.1.1.284	FALDH2
4.1.2.13	FBA
3.1.3.11	FBP
5.3.1.3	FCI
2.7.1.51	FCLK
4.99.1.1	FCLT
1.14.14.34	FDMO2
1.14.14.5	FDMO2
1.14.14.ah	FDMO2
3.6.3.34	FECRMabcpp
2.8.3.16	FORCT
1.3.99.1	FRD3
6.3.4.3	FTHFLi
4.2.1.2	FUM
2.3.1.157	G1PACT
2.3.1.4	G1PACT
3.1.3.10	G1PPpp
2.7.7.24	G1PTT
5.4.3.8	G1SAT
2.3.1.15	G3PAT141
2.3.1.15	G3PAT160
2.3.1.15	G3PAT180
3.1.3.2	G3PT
3.1.3.21	G3PT
3.5.99.6	G6PDA
1.1.1.363	G6PDH2r
1.1.1.49	G6PDH2r
3.1.3.58	G6PP
3.1.3.9	G6PP
4.2.1.42	GALCTD
5.1.3.3	GALM2pp
3.6.3.17	GALabcpp
2.1.2	GART
2.1.2.-	GART
5	GDMANE
3.6.1.-	GDPMNP
3.6.1.21	GDPMNP
3.5.1.94	GGGABAH
2.1.2.1	GHMT2r
2.4.1.1	GLCP2
4.1.2.20	GLCRAL
4.2.1.40	GLCRD
2.4.1.21	GLCS1
2.4.1.18	GLDBRAN2
2.7.7.27	GLGC
6.3.1.2	GLNS
6.3.2.2	GLUCYS
4.1.1.15	GLUDC
1.4.1.13	GLUNpp
1.4.7.1	GLUNpp
3.5.1.2	GLUNpp
3.5.1.38	GLUNpp
4.3.3.6	GLUNpp
6.3.4.2	GLUNpp
6.3.5.2	GLUNpp
6.3.5.4	GLUNpp
6.3.5.5	GLUNpp
2.4.2.14	GLUPRT
5.1.1.3	GLUR
1.4.1.13	GLUSy
6.1.1	GLUTRS
6.1.1.17	GLUTRS
6.1.1.24	GLUTRS
3.6.3.21	GLUabcpp
4.1.1.47	GLXCL
1.1.1.6	GLYCDx
2.7.1.31	GLYCK
2.7.1.165	GLYCK2
2.7.1.31	GLYCK2
1.4.4.2	GLYCL
1.8.1.4	GLYCL
2.1.2.10	GLYCL
1.1.1.26	GLYCLTDx
1.1.1.29	GLYCLTDx
1.1.1.79	GLYCLTDx
2.7.1.30	GLYK
3.1.2.6	GLYOX
4.2.1.130	GLYOX3
4.2.1.47	GMAND
2.7.7.70	GMHEPAT
1.7.1.7	GMPR
6.3.5.2	GMPS2
1.1.1.351	GND
1.1.1.44	GND
3.1.4.2	GPDDA1pp
3.1.4.46	GPDDA1pp
3.1.4.2	GPDDA2
3.1.4.46	GPDDA2
3.1.4.46	GPDDA3
3.1.4.46	GPDDA3pp
3.1.4.46	GPDDA4
3.1.4.46	GPDDA4pp
3.1.4.44	GPDDA5
3.1.4.44	GPDDA5pp
2.5.1.10	GRTT
1.8.4.2	GRXR
2.7.1.73	GSNK
3.5.1.-	GSPMDA
3.5.1.78	GSPMDA
1.8.1.7	GTHOr
6.3.2.3	GTHS
3.5.4.16	GTPCI
3.5.4.25	GTPCII2
2.7.6.5	GTPDPK
2.4.2.22	GUAPRT
2.4.2.7	GUAPRT
2.4.2.8	GUAPRT
5.3.1.12	GUI1
5.3.1.12	GUI2
1.1.1.211	HACD4
1.1.1.35	HACD4
1.1.1.211	HACD5
1.1.1.35	HACD5
1.1.1.211	HACD7
1.1.1.35	HACD7
2.5.1.39	HBZOPT
2.1.1	HCYSMT
2.1.1.10	HCYSMT
2.1.1.10	HCYSMT2
2.5.1.-	HEMEOS
2	HEPT2
2.7.1.1	HEX4
2.7.1.7	HEX4
1.1.1.23	HISTD
3.6.3.21	HISabcpp
2.5.1.61	HMBS
4.3.1.8	HMBS
4.1.2	HOPNTAL
4.1.2.n4	HOPNTAL
4.1.3.39	HOPNTAL
1.13.11.16	HPPPNDO
1.1.1.26	HPYRRx
1.1.1.29	HPYRRx
1.1.1.81	HPYRRx
2.7.1.39	HSK
2.3.1.46	HSST
2.6.1.9	HSTPT
1.18.99.1	HYD3pp
3.1.3.74	HYPOE
5.4.4.2	ICHORS
1.1.1.264	IDOND
1.1.1.366	IDOND
1.1.1.264	IDOND2
2.4.2.-	IG3PS
4.1.3.-	IG3PS
4.3.2.M2	IG3PS
4.2.1.19	IGPDH
4.1.1.48	IGPS
2.6.1.42	ILETA
1.1.1.205	IMPD
2.7.1.73	INSK
1.17.1.2	IPDPS
1.1.1.85	IPMD
4.2.1.33	IPPMIa
4.2.1.33	IPPMIb
2.3.3.13	IPPS
1.1.1.86	KARA2
3.1.3.45	KDOPP
3.6.3.10	Kabcpp
3.6.3.12	Kabcpp
1.1.2.3	L_LACD3
3.2.1.108	LACZ
3.2.1.23	LACZ
1.1.1.283	LALDO3
1.2.1.49	LALDO3
3.4.13.18	LALGP
1.2.1.22	LCADi
2.6.1.42	LEUTAi
2.6.1.6	LEUTAi
2.6.1.67	LEUTAi
6.1.1.4	LEUTRS
4.4.1.5	LGTHL
2.7.7.63	LIPATPT
6.3.1.20	LIPATPT
3.1.1.5	LPLIPAL1A140pp
3.1.1.5	LPLIPAL1A141pp
3.1.1.5	LPLIPAL2A120
3.1.1.5	LPLIPAL2E160
3.1.1.5	LPLIPAL2E180
6.1.1.6	LYSTRS
3.6.3.21	LYSabcpp
2.3.1	MACPD
4.1.1.87	MACPD
2.3.3.9	MALS
3.6.3	MALTTTRabcpp
3.6.3.19	MALTabcpp
2.7.7.22	MAN1PT2
3.2.1.170	MANPGH
3.4.16.4	MDDCP1pp
3.4.16.4	MDDCP2pp
3.4.16.4	MDDCP4pp
3.4.16.4	MDDCP5pp
1.1.1.38	ME1
1.1.1.39	ME1
