kegg_reaction_id	bigg_reaction_id
R05795	PI4P3Kn_cho
R03469	PI4P5K_cho
R05803	PI5P4Kn_cho
R03362	PIK3_cho
R03362	PIK3n_cho
R03361	PIK4n_cho
R10951	PIK5n_cho
R07377	PSSA1_cho
R03035	PTPATe
R03424	RE0066C
R08174	RE0344M
R07758	RE0580R
R07759	RE0581R
R07761	RE0583N
R07408	RE0691C
R10951	RE1441G
R10951	RE1441R
R08981	RE1447M
R08981	RE1447N
R09074	RE1537C
R09074	RE1537X
R03899	RE1539C
R03899	RE1539X
R04762	RE1630R
R03974	RE1835C
R03974	RE1835M
R08745	RE1845C
R03538	RE1860E
R10991	RE2034C
R02384	RE2124C
R10452	RE2133C
R02356	RE2235C
R02356	RE2235R
R04764	RE2386C
R05803	RE2972R
R05802	RE2974G
R05802	RE2974R
R03090	RE3013R
R01320	RE3511C
R01320	RE3511R
R05056	RE3566C
R00529	SADTn
R03595	SELNPS_cho
R00589	SERR
R05116	ST3GAL23g_cho
R05949	ST3GAL23g_cho
R04656	ST3GAL61g_cho
R06026	ST3GAL61g_cho
R06032	ST8SIA56g_cho
R00677	TRPOX
R01497	UGCG_cho
R06275	UGCG_cho
R01769	XAO2
R01430	XYLOR
R00022	r0013
R06141	r0013
R00078	r0016
R00236	r0068
R00245	r0074
R00268	r0082
R00268	r0083
R00269	r0085
R00269	r0086
R00514	r0139
R00621	r0163
R00662	r0166
R00703	r0173
R01414	r0331
R00725	r0354
R01752	r0393
R01813	r0402
R01899	r0423
R01899	r0424
R01939	r0450
R01992	r0466
R02313	r0525
R02537	r0548
R02655	r0558
R02657	r0559
R02764	r0571
R02972	r0580
R03158	r0596
R03269	r0614
R03970	r0648
R08743	r0650
R08743	r0651
R04391	r0679
R04391	r0680
R04445	r0686
R04620	r0707
R05046	r0775
R05048	r0777
R05831	r0784
R06868	r0788
R00362	r1109
R07498	r1380
R02145	r1384
R07412	HEMEAS_1
R03929	23PDE4pp
R03537	23PDE7pp
R09983	3AMACHYD
R04535	3HAD100
R04965	3HAD120
R04568	3HAD140
R04954	3HAD60
R06787	3HCINNMH
R06786	3HPPPNH
R02370	3NTD4pp
R01562	3NTD7pp
R04534	3OAR100
R04566	3OAR140
R04953	3OAR60
R04536	3OAR80
R00829	3OXCOAT
R04300	42A12BOOXpp
R01740	5DGLCNR
R02529	AACTOOR
R02549	ABUTD
R01359	ACACCT
R00238	ACACT1r
R03858	ACACT6r
R03991	ACACT7r
R00228	ACALD
R00742	ACCOAC
R01201	ACGAMK
R02649	ACGK
R08648	ACHBS
R00315	ACKr
R08555	ACM6PH
R03777	ACOAD3f
R03990	ACOAD6f
R01325	ACONTa
R01900	ACONTb
R00235	ACS
R01560	ADA
R00127	ADK1
R00178	ADMDC
R05221	ADOCBIK
R01083	ADSL1r
R04559	ADSL2r
R02059	AGDC
R05176	AGMHE
R03443	AGPR
R00194	AHCYSNS
R04560	AICART
R07405	AIRC3
R08549	AKGDH
R07651	ALAALAD
R10938	ALAGLUE
R00401	ALAR
R01036	ALCD19
R02536	ALDD19xr
R00710	ALDD2x
R00711	ALDD2y
R09030	ALLPI
R09031	ALLULPE
R02528	ALR2
R00899	AMPTASECG
R00986	ANS
R03758	AOBUTDs
R10124	AOXSr2
R00125	AP4AH
R08359	APCS
R03759	APPLDHr
R03458	APRAUR
R01086	ARGSL
R00485	ASNNpp
R00578	ASNS1
R03648	ASNTRS
R00489	ASP1DC
R01397	ASPCT
R00480	ASPK
R00481	ASPO6
R01071	ATPPRT
R02566	BETALDHy
R00188	BPNT
R10127	BSORy
R00009	CAT
R01492	CBLAT
R07316	CBMD
R10002	CDGS
R08557	CHOLD
R01714	CHORS
R09959	CPH4S
R03220	CPPPGO
R06895	CPPPGO2
R10643	CRNCBCT
R10675	CRNCDH
R00573	CTPS2
R01931	CYANSTpp
R01874	CYSDDS
R00782	CYSDS
R00897	CYSS
R00863	CYSSADS
R02137	CYTDH
R00517	CYTDK2
R00512	CYTK1
R01665	CYTK2
R02556	DADA
R01547	DADK
R00195	DAPAL
R02735	DAPE
R07281	DB4PS
R03182	DBTS
R03387	DDGALK
R01826	DDPA
R01064	DDPGALA
R05070	DHAD2
R01012	DHAPT
R01504	DHBS
R03504	DHNPA2r
R01867	DHORDfum
R01993	DHORTS
R03067	DHPS2
R07354	DHPTDNRN
R03084	DHQTi
R04621	DNMPPA
R04638	DNTPPA
R02637	DOGULNR
R00130	DPCOAK
R01066	DRPA
R00340	DTARTD
R00977	DURADx
R02484	DURIPP
R05636	DXPS
R04746	ECOAH3
R04170	ECOAH5
R04738	ECOAH7
R05605	EDA
R02036	EDD
R10118	EGMEACPR
R00658	ENO
R09748	FADRx
R06982	FALGTHLs
R01829	FBA3
R02262	FCLPA
R00078	FEROpp
R03921	FFSD
R05707	FLVR
R09750	FLVRx
R03940	FMETTRS
R00161	FMNAT
R05705	FMNRx
R05706	FMNRx2
R02300	FOMETRi
R00944	FTHFD
R01043	G2PP
R01043	G2PPpp
R00844	G3PD2
R03314	G5SADs
R03313	G5SD
R10622	GAL1PPpp
R03033	GALCTND
R01092	GALKr
R00289	GALUi
R01061	GAPD
R04325	GARFT
R01333	GCALDD
R07418	GGGABADr
R01644	GHBDHx
R00332	GK1
R03652	GLNTRS
R05571	GLTPD
R00239	GLU5K
R00248	GLUDy
R00256	GLUN
R04109	GLUTRR
R00371	GLYAT
R00465	GLYCLTDy
R03654	GLYTRS
R01737	GNK
R01030	GPDDA1
R01470	GPDDA2pp
R01917	GSPMDS
R00274	GTHPi
R00494	GTHRDHpp
R03409	GTPDPDP
R00434	GUACYC
R01676	GUAD
R01975	HACD1
R04748	HACD2
R04745	HACD3
R04739	HACD6
R06941	HADPCOADH3
R00132	HCO3E
R10092	HCO3E
R04448	HETZK
R00299	HEX1
R00867	HEX7
R03013	HISTP
R03655	HISTRS
R03503	HPPK2
R01394	HPYRI
R01392	HPYRRy
R01775	HSDy
R01768	HXAND
R01132	HXPRT
R00267	ICDHyr
R03037	ICHORT
R00479	ICL
R03656	ILETRS
R01127	IMPC
R01770	INSH
R01123	IPDDI
R04439	KARA1
R04355	KAS14
R10707	KAS15
R03254	KDOPS
R07125	KG6PDC
R01100	LACZpp
R06114	LACZpp
R02527	LALDO2x
R03080	LCARR
R02258	LCARS
R00704	LDH_D
R04606	LPADSS
R06126	LSERDHr
R00462	LYSDC
R01906	LYXI
R02703	M1PD
R00215	MALDDH
R01556	MALTATr
R06251	MALTATr
R01819	MAN6PI
R02454	MANAO
R04424	MCITD
R00409	MCITL2
R00931	MCITS
R01626	MCOATA
R03106	MCPST
R00342	MDH
R00216	ME2
R00946	METS
R02025	METSOXR1
R07608	METSOXR2
R01185	MI1PP
R04425	MICITDr
R05606	MNNH
R05074	MOAT2
R06285	MOAT2
R09726	MPTAT
R01655	MTHFC
R01220	MTHFD
R00103	NADDP
R00102	NADN
R00118	NADPPPS
R00189	NADS1
R01724	NAMNPP
R02093	NDPK4
R02326	NDPK7
R01137	NDPK8
R02492	NHFRBO
R00137	NMNAT
R04148	NNDMBRT
R03348	NNDPR
R05724	NODOx
R05725	NODOy
R02102	NTD1
R01126	NTD11
R02102	NTD1pp
R00963	NTD2pp
R01664	NTD3
R01664	NTD3pp
R01569	NTD5pp
R00335	NTP3
R03531	NTPP10
R02720	NTPP11
R00426	NTPP2
R00515	NTPP4
R00720	NTPP9
R00217	OAADC
R01398	OCBT
R10117	OGMEACPD
R05085	OHPBAT
R00965	OMPDC
R10121	OPMEACPD
R01870	ORPT
R02937	OXAMTC
R01908	OXCDC
R02539	PACCOAL
R00209	PDH
R00278	PDX5POi
R01911	PDXPP
R02613	PEAMNOpp
R04210	PERD
R03236	PFK_2
R01843	PFK_3
R00212	PFL
R01512	PGK
R01518	PGM
R08639	PGMT
R03660	PHETRS
R01818	PMANM
R00004	PPA
R00138	PPA2
R00336	PPGPPDP
R02749	PPM2
R04231	PPNCL2
R01728	PPND
R04037	PRAMPC
R04591	PRASCSi
R04640	PRMICI
R10507	PROD2
R03661	PROTRS
R00582	PSP_Lpp
R03035	PTPATi
R01155	PTRCTA
R02557	PUNP2
R02748	PUNP6
R02297	PUNP7
R00277	PYAM5PO
R02493	PYDAMK
R00174	PYDXK
R01909	PYDXNK
R00173	PYDXPP
R01872	QUINDH
R04292	QULNS
R04457	RBFSa
R00066	RBFSb
R02437	RMI
R02263	RMPA
R02017	RNDR1
R02018	RNDR4
R01529	RPE
R04594	RZ5PP
R05645	S7PI
R09768	S7PI
R00610	SARCOX
R02734	SDPDS
R08219	SELCYSS
R08165	SEPHCHCS
R00221	SERD_D
R03662	SERTRS
R00411	SGDS
R05049	SGSAD
R08166	SHCHCS3
R03947	SHCHD2
R02412	SHKK
R00275	SPODM
R00713	SSALx
R00714	SSALy
R04030	SUCBZL
R00858	SULR
R00339	TARTD
R05320	TAUDO
R00615	TDP
R10142	TDPADGAT
R04438	TDPAGTA
R02777	TDPDRR
R06513	TDPGDH
R01069	TGBPA
R04365	THDPS
R01466	THRS
R01567	TMDK1
R02101	TMDS
R00617	TMPK
R03223	TMPPP
R09675	TPRDCOAS
R00837	TRE6PH
R06113	TRE6PH
R02778	TRE6PP
R06228	TRE6PP
R00836	TRE6PS
R06043	TRE6PS
R00673	TRPAS2
R02722	TRPS1
R01745	TRSARr
R00734	TYRTA
R02918	TYRTRS
R04550	U23GAAT
R00660	UAGCVT
R05032	UAGPT3
R06174	UAGPT3
R00286	UDPGD
R04587	UHGADA
R07660	ULA4NFT
R00158	UMPK
R03165	UPP3S
R00966	UPPRT
R02935	URDGLYCD
R01080	URIH
R00968	URIK2
R03244	X5PL3E
R02103	XAND
R02142	XPPT
R02143	XTSNH
R01432	XYLI1
R01639	XYLK
R01901	XYLK2
R03210	AOXSr
R11485	FLDR
R04745	HACD3i
R04741	HACD5i
R00238	KAT1
R02765	MME
R00833	MMM2
R07396	UNK3
R03336	34HPLFM
R02521	34HPPOR
R04711	3DH5HPBMTm
R02665	3HAO
R06866	3HPH5MBDCm
R03894	3MOPDC
R01301	4HBZFm
R05051	4HGLSDm
R02549	ABUTDm
R00238	ACACT1m
R02649	ACGKm
R00259	ACGSm
R00227	ACOAHim
R01624	ACOATAm
R01324	ACONTm
R02283	ACOTAim
R00548	ACP1e
R10747	ACPSm
R00235	ACSm
R00235	ACSp
R00369	AGTi
R04620	AKP1
R00830	ALASm
R00258	ALATA_Lm
R05685	ALCD24xi
R05685	ALCD24xim
R02611	ALCD25xi
R02611	ALCD25xim
R02679	ALCD26xi
R00754	ALCD2ir
R00754	ALCD2irm
R00904	ALDD22x
R00710	ALDD2xm
R00711	ALDD2ym
R03180	AMID
R03096	AMID3
R04025	APRTO2
R03646	ARGTRSm
R00485	ASNNe
R03648	ASNTRSm
R00355	ASPTAp
R05577	ASPTRSm
R00126	ATPATF1
R00085	ATPH1
R00086	ATPS
R07497	C8STI
R00009	CATp
R01021	CHOLK
R02396	CSNATp
R00571	CTPS1
R01001	CYSTGL
R01663	DCMPDA
R01826	DDPAm
R01011	DHAK
R00130	DPCOAKm
R01662	DPGM
R01121	DPMVD
R04170	ECOAH5p
R01329	EPMGH
R06142	EPMGH
R01280	FACOAL160
R02731	FBP26
R00519	FDH
R03940	FMETTRSm
R00161	FMNATm
R00408	FRDm
R02061	FRTT
R02301	FTHFCL
R02301	FTHFCLm
R01082	FUMm
R03425	GCCam
R04125	GCCbim
R03815	GCCcm
R01104	GGLGH
R01221	GLYCLm
R01736	GLYOXm
R00274	GTHPm
R04741	HACD5p
R04371	HACNHm
R05616	HBZOPT6m
R00132	HCO3Em
R10092	HCO3Em
R04862	HICITDm
R03655	HISTRSm
R02668	HKYNH
R03291	HPROxm
R03293	HPROym
R00709	ICDHxm
R01974	INDPYRD
R04439	KARA1im
R01090	LEUTA
R01090	LEUTAm
R03657	LEUTRSm
R03199	LNSTLS
R03181	MACACI
R00472	MALSp
R00028	MALT
R01626	MCOATAm
R00214	ME1m
R00216	ME2m
R03217	METB1
R02245	MEVK1
R01402	MTAP
R01655	MTHFCm
R01218	MTHFD2i
R01220	MTHFDm
R01224	MTHFR3
R05050	NABTNO
R00102	NADNm
R00122	NDP1
R00155	NDP7
R00137	NMNATm
R01268	NNAMrm
R03093	NTRLASE
R03542	NTRLASE2
R01652	OMCDCm
R02282	ORNTACim
R00707	P5CDm
R00209	PDHm
R02038	PETHCT
R02732	PFK26
R03660	PHETRSm
R02294	PNP
R01377	PPYRDC
R01274	PTE2x
R01561	PUNP1m
R01711	PYDXNO
R00224	PYRDC
R04293	QUILSYN
R01103	RAFGH
R06070	RAFGH
R00549	RBFKm
R02017	RNDR1n
R02024	RNDR3n
R02018	RNDR4n
R02324	RNMK
R02023	RNTR4
R00529	SADT
R04427	SAM24MT
R06520	SBPP1er
R00875	SBTD_D2
R02869	SPRMS
R00408	SUCD1m
R08766	T4HCINNMFM
R00996	THRD_Lm
R02016	TRDRm
R00010	TREHv
R06103	TREHv
R00678	TRPO2
R00684	TRPTA
R03664	TRPTRSm
R00734	TYRTAi
R00734	TYRTAim
R00734	TYRTAip
R00158	UMPKn
R00964	URIK1
R01431	XYLR
R00396	ALAD_L
R01148	ALATA_D
R01010	ALKP
R00552	ARGDr
R02285	FGLU
R03815	GCCc
R07412	HEMEAS
R02288	IZPN
R00703	LDH_L
R00563	NOPD
R00671	ORNCD
R01698	PDHcr
R02296	PYNP1
R03540	PYRZAM
R00801	SUCR
R06087	SUCR
R04972	UPPDC2
R00131	UREA
R03132	SLCYSS
R10866	PFOR
R02402	GLCOAS
R06602	SALSYN
R00306	CLBH
R06104	CLBH
R01804	ACNPLYS
R09097	MMSAD2
R02323	NMNHYD
R01257	DMALRED
R01397	ASPCTn
R00575	CBPSn
R03321	G6PI2
R00424	GTPCI_1
R01778	HACDp
R01446	LCADm
R01655	MTHFCm_1
R01220	MTHFD_1
R01218	MTHFD2
R01220	MTHFDm_1
R04323	PCLAD
R00257	NADS2
R07393	23DK5MPPISO
R07364	ARD
R00956	G1PCTYT
R03634	STACHGALACT
R06152	STACHGALACT
R01875	TSULR3e
R01647	DHEDAA
R04132	OHEDH
R03299	3HPAOX
R02203	1PPDCRc
R02658	2DHGLCK
R05347	3MBZALDH
R03470	4CMLCL_kt
R05282	4MBZALDH
R03966	4OT
R05389	4OT2
R08764	6HNACMO
R03102	AASAD3
R04175	AOXHEXCYCL
R02274	APTNAT
R08197	ARUH
R02821	BHMT
R06977	DABAAT
R00568	DCTPD2
R01627	DHSKDH
R00380	DNAMTn2r
R00978	DURAD
R04224	ECOAH12
R04204	ECOAH9ir
R00848	G3PD
R02736	G6PBDH
R03905	GLNTRAT
R02487	GLUTCOADHc
R01752	GLYALDDr
R05865	HMSH2
R05298	HOPNTAL2
R00449	LYSMO
R00460	LYSRC
R04138	MCCC
R00654	METGL
R00935	MMTSAO
R05665	MTOLDOX
R03959	MUCCYCI
R04260	MUCLI
R05443	MXMO
R09126	NFMLDF
R03178	OARGDC
R02991	OXOAEL
R05552	PABB
R03948	PC20M
R05177	PC8XM
R02034	PGLCNDH
R05288	PXMO
R00220	SER_AL
R00223	SER_AL
R01288	SHSL2r
R05699	VNDH
R10747	ACPS
R00746	ALCD2y
R00321	AMID4
R00985	ANS2
R07410	ASPO2
R00470	DDPGA
R10520	G6PDH1
R05692	GFUCS
R03291	HPROx
R01450	LacR
R04444	PHCD
R00245	PUTA3
R06603	SALCS
R00602	PRDX
R04230	PPNCL3
R00206	PPDK
R02972	PNCDC
R00699	PHYCBOXL
R02613	PEAMNO
R01248	P5CRx
R00922	MMSAD1
R00233	MCD
R05662	UAGPT2
R06173	UAGPT2
R10971	TRESULT
R00319	LO
R05030	GLNSP2
R01557	MTI
R06218	MTI
R05861	DALAOX
R05809	CPC3MT
R03470	CMLDC
R00604	ALDD1
R00408	FRD
R02236	FOLR2
R09840	PHACTE
R03300	34DHALDD
R01047	GLYCDH
R00159	NTP7
R05661	D5KGK
R04103	PENAM
R04065	IMACTD
R00481	ASPO6_1
R01504	DHBSr
R06788	DHCINDO_1
R04376	HPPPNDO_1
R00010	TREHe
R06103	TREHe
R02855	ACTD
R07363	ARD1
R00891	CYS
R05378	D5KGPA
R08944	MACPT
R04152	AEPPYRTA
R02698	4HOXPACMON
R07773	CODSCL5BMT
R10146	SO3R
R07651	ALAALAD_1
R05305	3HOPCD
R05337	4HBCOAH
R01416	AGMDA
R03544	ALCD4
R10927	ASR2
R05598	BZSS
R05597	CHDCCH
R03898	CITCIb
R00372	GLYTA
R05581	HOCCD
R02963	LCD
R07613	LDAPAT
R05586	OGCOAAT
R01174	PBUTT
R05625	PHEPS
R01251	PRO1y
R09280	SSCOARy
R04880	34DHOXPEGOX
R02393	BILIRED
R06896	DVOCHR
R01195	FNOR
R03824	GCATENEC
R00021	GLMS_syn
R07181	H2ASE_syn
R07500	HGPHT
R05341	LYCOPC
R07501	MPBQ
R06265	MPOMC1
R04237	MPOMT
R00791	NAR_syn
R01271	NMNS
R00790	NOR_syn
R01196	POR_syn
R00659	PYK2
R00430	PYK3
R03140	RBCh
R00024	RBPC
R00588	SPT_syn
R05775	SQD1
R06859	DMTPHT
R00466	GLXO3r
R00522	OXADC
R09502	FTR
R07322	SQLC
R10518	MEHLER
R03302	34DHPLACOX_NADP
R04172	3HXKYNDCL
R04890	3MOXTYROX
R01357	AACOAT
R01903	ABTD
R01207	ACGAM2E
R01026	ACHEe
R01175	ACOAD1fm
R04095	ACOAD8m
R01515	ACYP
R00185	ADNK1m
R00951	ADPGLC
R00369	AGTim
R00369	AGTix
R02537	ALDD19x_P
R01938	AMCOXO
R00908	APAT2rm
R00566	ARGDCm
R00485	ASNNm
R00487	ASPNATm
0124#2	ATP1ter
R00122	ATPH2e
R08745	BAAT5x
R02397	BBHOX
R00032	BCDO
R00508	BPNT2
R00009	CATm
R07641	CBPSam
R02057	CEPTE
R06871	CHLP
R01117	CMPSASn
R03514	CORE4GTg
R05915	CORE4GTg
R01931	CYANSTm
R00895	CYSTAm
R00896	CYSTAm
R01665	CYTK2n
R02556	DADAe
R02089	DADNK
R05861	DALAOXx
R02923	DARGOp
R00359	DASPO1p
R02485	DCYTDn
R00470	DDPGAm
R01967	DGNSKm
R03405	DHEASULT
R03004	DNADDP
R02457	DORNOp
R03036	DPCOAPP
R01121	DPMVDx
R02099	DURIK1m
R02100	DUTPDPm
R02100	DUTPDPn
R03026	ECOAH1m
R03026	ECOAH1x
R06870	ETHP
R01951	F1PGT
R00160	FADDP
R01785	FBA4
R00521	FCOAH
R03313	G5SDym
R05927	GALT2g
R00332	GK1m
R02933	GLNLASEer
R00256	GLUNm
R00475	GLYCTO1p
R00366	GLYOp
R01528	GNDer
R00367	GNMT
R02003	GRTTx
R01228	GSNKm
R00424	GTPCIn
R07172	H2O2syn
R01975	HACD1x
R04203	HACD9m
R01167	HISDC
R02150	HISTASE
R01393	HPYRDCm
R02353	HSD17B7r
R02352	HSD17B8r
R04065	IMACTD_m
R01184	INOSTO
R01123	IPDDIx
R01735	LCADi_Dm
R02433	LCYSTAT
R02433	LCYSTATm
R03199	LNSTLSr
R02204	LPCOXp
R03059	LTC4Sr
R00447	LYSOXp
R00028	MALTe
R00833	MMMm
R01667	NDP6
R00155	NDP7er
R00155	NDP7ex
R00155	NDP7g
R03530	NDPK10m
R00330	NDPK1m
R00570	NDPK3m
R02093	NDPK4n
R02331	NDPK6m
R02326	NDPK7n
R01137	NDPK8n
R00137	NMNATn
R02295	NP1
R05911	NS26Tg
R03346	NT5C
R00963	NTD2e
R00963	NTD2m
R01664	NTD3l
R01569	NTD5l
R00183	NTD7e
R01210	OIVD2m
R01251	P5CRm
R10748	PAN4PP
R00344	PCm
R02035	PGLer
R05779	PMI12346PHn
R03018	PNTKm
R00138	PPA2m
R01859	PPCOACm
R04175	PPD2CSPp
R01248	PRO1x
R10507	PROD2m
R02123	RADH
R02315	SACCD4m
R02534	SALMCOM
R02155	SAMHISTA
R04942	SELCYSTS
R02464	SGPL11r
R05693	SLDxm
R00275	SPODMm
R08208	SPRn
R06223	SQLSr
R00618	THMTP
R01567	TMDK1m
R02382	TYROXDAc
R10183	UAGALDP
R01384	UDPGLDCg
R00287	UDPGP
R00503	UGALGTg
R06067	UGALGTg
R02103	XANDp
R02107	XAOx
R01904	XYLUR
R08323	7MHTS
R05226	ADOCBIAH
R00059	AHXDH
R08213	AKGCAL
R01550	ALCD20y
R10393	CH2ACH
R08217	COBS
R09999	DMAMT
R09399	GF4GL_0
R09400	GF4GL_1
R03651	GLUTRS_Gln
R00018	HSPMS
R09397	LPPGS
R00789	NTRIR2y
R00004	PPA_1
R10392	RH2CD
R10395	RH3CD
R05694	SLDy
R09124	TMAMT
R04467	ADAPAT
R00691	AROH
R04212	ASNTRAT
R03647	ASPTRS_Asn
R00952	CEPA
R06056	CEPA
R02733	DAPDA
R01869	DHORD_NAD
R00090	NADHPO
R00585	SPTc
R10438	SULFDH
R04364	THPAT
R06613	TMDS3
R00397	ASP4DC
R00491	ASPR
R00709	ICDHx
R00485	ASPSE
R00501	UDPGALOR
R01992	AABHH
R03313	G5DHx
R01954	ARGSS_1
R01398	OCT
R02869	ASAPT
R03288	BADP
R05634	CMK
R03775	CYEUOLCYCI
R05688	DXRI
R05636	DXS
R02003	FPPSh
R02063	GGDR
R01658	GPPSh
R07500	HPT
R07483	MERGTROLR
R07501	MPQMT
R05731	OBFOOLOR
R00702	PSPPS
R02872	SS
R07502	TCYG
R07504	TMTD
R02222	COA1819ZD9DS
R08177	FACOAE1829Z12Z
R08178	FACOAE1839Z12Z15Z
R01361	HBNOx
R00713	SSNOh
R01063	GAPDH_nadp_hi
R00132	HCO3Ehi
R10092	HCO3Ehi
R00343	MDH_nadp_hi
R01523	PRUK_1
R01845	SBP_1
R00216	MDHC_nadp_hr
R07179	ANXANASCOR
R03824	LCYB
R06963	LCYD
R07840	LCYE
R05341	LCYG
R06948	NEOXANS
R07178	VIOXANOR
R03132	ACSERSULL
R03132	ACSERSULLh
R03260	SHSL1h
R02408	CTINBL
R00895	CYSATm
R00896	CYSATm
R00895	CYSAT
R00896	CYSAT
R00893	CYSDO
R00897	CYSS_1
R00782	CYSTBL
R08348	DDMCITALOR
R08347	DMCITALOR
R08300	LIDOAMH
R08227	56DH5FLURAAMH
R08237	6MPURPRT
R08240	6TINS5MPOR
R08244	6TXAN5MPAML
R08228	AFLBURPPAAMH
R04535	3HAD100_1
R04568	3HAD140_1
R04544	3HAD160_1
R04428	3HAD40_1
R04537	3HAD80_1
R04566	3OAR140_1
R04543	3OAR160_1
R04533	3OAR40_1
R04536	3OAR80_1
R04386	ACCOAC_1
R01626	MCOATA_1
R01177	ACACT2m
R03991	ACACT7m
R03989	ACOAR6m
R01278	ACOAR7m
R04746	ECOAH3m
R04744	ECOAH4m
R04170	ECOAH5m
R04740	ECOAH6m
R04748	HACD2m
R04745	HACD3m
R04739	HACD6m
R01279	ACOA160OR
R03777	ACOA80OR
R04749	ECOAH2_1
R04745	HACD3_1
R02235	DHFOR
R04638	DNTPPA_1
R00942	THFGLUS_1
R00937	THFOR1
R00940	THFOR2
R04780	BFBP
R04780	BFBPh
R02731	FBPPH
R01819	MPAKI
R02411	AGMIS
R06071	AGMIS
R01329	EMGH
R06142	EMGH
R01092	GALKh
R01098	GALO
R01678	LCGH
R06098	LCGH
R03634	SYGH
R06152	SYGH
R00261	ARGDh
R00115	GDR_nadp_h
R00094	GDRh
R00021	GLUS_ferr
R00894	GCL
R05775	UDPSQS
R00846	G3PO
R03758	AOBUTDxs
R01388	GLYCDH_1
R01513	PGLYDH
R04173	PSAT
R00588	SGAT
R00220	THRAL
R00223	THRAL
R02291	ASADH
R01775	HSDH
R00658	ENOf
R01070	FBAh
R02739	G6PI_1
R01061	GAPDHh
R04779	PFKh
R00959	PGCM
R02740	PGIAh
R01518	PGMf
R01518	PGMm
R01512	PGKf
R01512	PGKh
R00200	PYKf
R01015	TPIh
R00755	PDCm
R00524	FORAMDx
R01745	HOXPRm
R00479	ICL_1
R00472	MALSh
R00472	MALSm
R02150	AO
R03243	AOOAh
R01158	HDH
R01158	HDHh
R03013	HP
R03457	IGPDh
R04558	IMGPSh
R04035	PRADPh
R03372	MIHKPP
R03626	LLOX13
R07393	ACRS
R03217	AHSL
R01286	CBL
R00177	MATm
R00137	ANNAT
R00137	ANNATn
R01271	NAPT
R00112	NNOR
R00149	CPS
R00774	URCBm
R00270	HYNE
R02914	URCN_1
R04325	FPGFTh
R04325	FPGFTm
R02302	FTAL
R00004	IDPh
R00004	IDPm
R01216	2DHPFALDL
R03035	APPAT
R02472	PNORn
R02736	G6PBDHh
R01528	PGDHh
R00986	ATNS
R01715	CHRM
R03083	DHQS_1
R01826	DPHS
R03084	DQDH
R03509	PRAI
R03460	PSCIT
R02413	SKDH
R00734	TYRTAh
R01416	AGDI
R01416	AGDIn
R01152	CMPA
R00670	ORDCh
R08584	CHLADMT
R02272	G1SAT_1
R05578	GLUTRS_1
R07412	HEMEASm
R02480	HEMELm
R03877	MPML_1
R00084	PPBNGD
R00036	PPBNGS_1
R04123	TFENFEOR
R03166	UPP1S
R03197	UPPDC1_1
R04972	UPPDC2_1
R00997	ACCAHh
R00997	ACCAHm
R04919	HPCOR
R00744	OCDOR
R06987	PCFPTh
R00919	PCNO
R01135	ADSSh
R01618	APATT
R00191	APNn
R02422	ATAH
R00127	ATAMh
R00187	BTP
R00125	BTPS
R01234	GCPN
R01234	GCPNn
R01227	GMP5N
R01230	GMPSm
R02106	URO
R01397	ASPCTm
R01548	DATCY
R01549	DATUP
R02371	DCTCP
R02327	DCTUP
R01880	DGTUP
R02096	DTTGY
R02372	DUTCP
R02332	DUTUP
R02016	TDSRh
R00967	UTUP
R00228	ACALDh
R00742	ACCOAhi
R00317	APhi
R01213	IPPSh
R00704	LDHm
R00703	LLDHh
R00212	PFLh
R00230	PTArh
R00230	PTArm
R00224	PYRDC_1
R01196	PYRShi
R00019	HYDAh
R00032	CAROMO
R06194	LUMIRHODOPSINI
R02127	METARHODOPSINH
R02124	TRETINOLOR1
R00161	AFAT
R07280	AUS
R04457	DLDLBT
R00066	RIBFS
R04945	ACHMSSELCYSL
R03601	ACSERL
R03601	ACSERLh
R04941	SELCYSTLh
R03600	SELTORc
R03600	SELTORm
R04946	SUCHMSSELCYSL
R08219	SLCS
R03920	ABFPT
R03920	ABFPTh
R06102	BFFS
R00802	SAGH
R06088	SAGH
R00533	SULOm
R00859	SULR_ferr
R00864	TSULe
R00343	MDH_nadp_fi
R00267	ICDHhr
R00405	SUCLm
R03342	34HPPYRI
R04673	ACAS_2ahbut
R05069	KARI
R04440	KARI_23dhmb
R05071	KARI_3hmoa
R00996	TAL
R03665	VALTLh
R03869	ALDH
R04137	ECH_3hivcoa
R05064	HIBH
R05066	HMNO
R00935	MMSDH
R01214	BCTA_val_h
R01708	PYDXOR
R07456	PYDXS
R03537	23CN2P1
R05135	23CN2P4
R01562	3NUCLE1
R02370	3NUCLE3
R02148	3NUCLE4
R04742	ACACT5r_1
R01666	ADADir
R04859	AHSERL4
R01704	ALDD16
R04065	ALDD20x_1
R02957	ALDD32
R04364	APATi
R00306	BG_CELLB
R06104	BG_CELLB
R06363	BLACT
R07651	DAAOP
R01967	DGNSK
R07393	DM1PE
R04224	ECOAH2c
R00310	FCLT_2
R02285	FGLU_1
R00653	FMETDF
R00300	G1Dx
R00494	GGTAe2
R02754	GLCRAL_1
R02752	GLCRD_1
R00366	GLYO1
R07411	HEMEOS_1
R03457	IGPDH_1
R00810	ISOMS
R06217	ISOMS
R01000	LDH2
R01088	LLEUDr
R00838	MAL6PG
R06115	MAL6PG
R02025	METSR_S1
R01398	OCBT_1
R05613	PPTT
