kegg_reaction_id	bigg_reaction_id
R03595	SELNPS
R00586	SERAT
R00220	SERD_L
R00223	SERD_L
R00527	SFGTHi
R02864	SHCHF
R02413	SHK3Dr
R03260	SHSL1
R04217	SOTA
R01920	SPMS
R00275	SPODMpp
R04031	SUCBZS
R00405	SUCOAS
R02555	TAGURr
R01827	TALA
R06514	TDPDRE
R04657	TDSK
R02300	THFAT
R00751	THRA
R01465	THRD
R00996	THRD_L
R03663	THRTRS
R01830	TKT2
R01570	TMDPP
R01015	TPI
R02016	TRDR
R00010	TREH
R06103	TREH
R00010	TREHpp
R06103	TREHpp
R00674	TRPS2
R02340	TRPS3
R03664	TRPTRS
R02382	TYROXDApp
R03317	UACMAMO
R00420	UAG2E
R04567	UAGAAT
R02783	UAMAGS
R03193	UAMAS
R03192	UAPGR
R00291	UDPG4E
R00505	UDPGALM
R07658	UDPGDC
R00287	UDPGPpp
R07659	UDPKAAT
R00955	UGLT
R00469	UGLYCH
R03194	UPP3MT
R03197	UPPDC1
R09947	URACPAH
R04549	USHD
R01214	VALTA
R03665	VALTRS
R01215	VPAMTr
R00307	XYLI2
R01739	2DGLCNRy
R01975	HACD1i
R04748	HACD2i
R04743	HACD4i
R04739	HACD6i
R04737	HACD7i
R07392	MDRPD
R04420	MTRI
R04143	MTRK
R04150	NPHS
R02098	URIDK2r
R02587	2DOXG6PP
R01000	2HBO
R02978	3DSPHR
R08767	4HBZCOAFm
R01987	AABTN
R01939	AATA
R03778	ACACT4p
R03858	ACACT6p
R03991	ACACT7p
R00742	ACCOACrm
R02058	ACGAM6PS
R08648	ACHBSm
R00226	ACLSm
R01324	ACONT
R00127	ADK1m
R03443	AGPRim
R00192	AHCi
R00651	AHSERL
R01287	AHSERL2
R01041	ALCD19y
R05686	ALCD24yi
R02679	ALCD26xim
R02678	ALDD20xm
R02422	ALLTAHr
R00005	ALPHNH
R02540	AMID2
R00181	AMPDA
R01575	ARAB1D2
R00551	ARGN
R01159	ARMT
R00355	ASPTAm
R05641	C24STRer
R01890	CHLPCTD
R10747	COAHLp
R01616	COUCOAFm
R02396	CSNATm
R02396	CSNATr
R00351	CSm
R00351	CSp
R01286	CYSTLp
R01290	CYSTS
R01101	DGGH
R06091	DGGH
R04441	DHAD1m
R05070	DHAD2m
R00939	DHFRim
R02472	DPRm
R02750	DRBK
R04744	ECOAH4p
R04740	ECOAH6p
R04738	ECOAH7p
R01468	ETHAK
R01280	FACOAL160p
R02568	FBA2
R00310	FCLTm
R01959	FKYNH
R00943	FTHFLmi
R01364	FUMAC
R00842	G3PD1ir
R00842	G3PD1irm
R00848	G3PDm
R03314	G5SADrm
R00835	G6PDH2er
R03321	G6PI3
R01194	GALIGH
R06093	GALIGH
R00502	GALT
R01698	GCC2cm
R07475	GGTT
R00945	GHMT2rm
R03992	GLPT
R00243	GLUDxi
R00093	GLUSx
R05578	GLUTRSm
R01039	GLYCDy
R01677	GNNUC
R00115	GTHOm
R04743	HACD4p
R04739	HACD6p
R04737	HACD7p
R00132	HCO3En
R10092	HCO3En
R07411	HEMEOSm
R02519	HGNTOR
R03291	HPROa
R03293	HPROb
R01773	HSDxi
R01776	HSERTA
R00267	ICDHym
R00267	ICDHyp
R02199	ILETAm
R03656	ILETRSm
R01213	IPPSm
R02404	ITCOALm
R00987	KYN
R01960	KYN3OX
R03658	LYSTRSm
R00885	MAN1PT
R00409	MCITL2m
R00931	MCITSm
R00342	MDHm
R00342	MDHp
R02926	MELTGH
R03659	METTRSm
R04405	MHPGLUT
R00103	NADDPp
R00104	NADKm
R00118	NADPPPSm
R00189	NADS1n
R00328	NDP3
R00328	NDP3g
R00722	NDPK9
R03005	NNATm
R03348	NNDPRm
R01269	NNMT
R01887	NTRLASE3
R00667	ORNTA
R01936	OXAGm
R00344	PC
R04444	PHCDm
R04443	PHCHGSm
R03245	PMEVK
R05779	PMI12346PH
R09087	PMI12346PS
R09076	POLYAO3
R00004	PPAm
R01730	PPND2
R05613	PPTTm
R01248	PRO1xm
R08174	PTE8x
R03035	PTPATim
R02147	PUNP3m
R02019	RNDR2n
R02014	RNTR1
R02020	RNTR2
R02022	RNTR3
R02315	SACCD1
R00715	SACCD2
R01281	SERPT
R00999	SHSL4r
R02976	SLCBK1
R00530	SLFAT
R02464	SPHPL
R02874	SQLEr
R06223	SQLS
R00405	SUCOASm
R00801	SUCRe
R06087	SUCRe
R02300	THFATm
R00942	THFGLUS
R03663	THRTRSm
R00616	TMDPPK
R02918	TYRTRSm
R00774	UREASE
R02098	URIDK2rn
R01214	VALTAim
R03665	VALTRSm
R01896	XYLTD_D
R02948	ACLDC
R01171	ACOAD1
R00317	ACYP_2
R00605	ALCD1
R03209	CHCOAL
R00856	G3PCT
R03425	GCCa
R04125	GCCb
R05612	HEXTT
R01168	HISDr
R01424	NBAH
R01651	OIVD1r
R01210	OIVD2
R02282	ORNTAC
R04286	PTHPS
R00408	SUCD1
R00414	UAG2EMA
R00418	UAG4Ei
R02914	URCN
R04990	URFGTT
R00970	URIK3
R02323	NMNR
R02401	OXPTNDH
R08365	GALAM6PISO
R00839	CLB6PH
R06112	CLB6PH
R01577	ARABDI
R10049	DKFPS2
R01117	ACNMCT
R03347	NICRNS
R01372	PPOR
R00227	ACOAH
R01574	ARAB1D1
R03889	AM6SAD
R02396	CSNATirm
R02237	DHFS_1
R01993	DHORTSn
R00391	KATp
R00946	METS_1
R01655	MTHFC_1
R01224	MTHFR3_1
R00189	NADS1m
R04292	QULNS_1
R06520	SBPP1
R07394	2OH3K5MPPISO
R07395	ENOPH
R02530	GLYOX_1
R00507	PAPSSH
R04418	CMCMSAD
R03303	DHPDO
R04379	CMHMI
R01645	4H2KPILY
R04089	3MCAT23DOX
R02990	3OADPCOAT
R01616	4CMCOAS
R01298	4HBHYOX
R05295	4MCAT23DOX
R05374	4OD2
R02317	AADSACYCL
R07302	ADCPS1
R06529	ADCPS2
R04378	ADPT2
R02273	APENTAMAH
R07176	APSR
R00357	ASPO1
R01361	BDH
R05621	BZ12DOX
R01487	BZALDH
R01763	BZALDH
R01419	BZDH
R01486	BZDH
R00813	BZDIOLDH
R01943	CAFFCOA
R00816	CAT23DOX
R00817	CATDOX
R01028	CHOLSH
R05700	COALDDH
R05227	COCHL
R05309	DH3MCHCDH
R05292	DH4MCHCDH
R02269	DHPM1
R02194	FERULCOAS
R02286	FORGLUIH
R03177	GDBTALDH
R01221	GLYCL_2
R00475	GLYCTO1
R01990	GUDBUTNAH
R04203	HACD9
R02762	HMSD
R05353	HMSD2
R02204	LPCOXc
R00927	MACCOAT
R01087	MALEI
R03540	MALMDA
R04095	MBCOAi
R03307	MUCCY_kt
R00525	NFORGLUAH
R00410	OCOAT1
R05864	OP4ENH2
R05181	PC11M
R05180	PC17M
R05150	PC6AR
R05149	PC6YM
R01631	PCADYOX
R05290	PTOLDOX
R09125	PYRDOX
R01873	QUIDH
R05219	R05219
R04771	SELMETAT
R00905	UPPN
R01293	VNDH_2
R05274	VNTDM
R05051	4HGLSD
