bigg_reaction_id	stoichiometry	product_bigg_id
14GLUCANabcpp	1	h_c
14GLUCANabcpp	1	pi_c
23CCMPtex	1	23ccmp_p
23CGMPtex	1	23cgmp_p
23PDE2pp	1	3ump_p
23PDE2pp	1	h_p
23PDE9pp	1	3gmp_p
23PDE9pp	1	h_p
2AGPA120tipp	1	2ddecg3p_c
2AGPA140tipp	1	2tdecg3p_c
2AGPA180tipp	1	2odecg3p_c
2AGPA181tipp	1	2odec11eg3p_c
2AGPE140tipp	1	2agpe140_c
2AGPE141tipp	1	2agpe141_c
2AGPEAT141	1	amp_c
2AGPEAT141	1	pe141_c
2AGPEAT141	1	ppi_c
2AGPG160tipp	1	2agpg160_c
2AGPG161tipp	1	2agpg161_c
2AGPG180tipp	1	2agpg180_c
2AGPG181tipp	1	2agpg181_c
2AGPGAT120	1	amp_c
2AGPGAT120	1	pg120_c
2AGPGAT120	1	ppi_c
2AGPGAT141	1	amp_c
2AGPGAT141	1	pg141_c
2AGPGAT141	1	ppi_c
2AGPGAT160	1	amp_c
2AGPGAT160	1	pg160_c
2AGPGAT160	1	ppi_c
2AGPGAT180	1	amp_c
2AGPGAT180	1	pg180_c
2AGPGAT180	1	ppi_c
2DGULRGx	1	glcn_c
2DGULRGx	1	nad_c
2DGULRx	1	idon__L_c
2DGULRx	1	nad_c
2MAHMP	1	4ampm_c
2MAHMP	1	h_c
2MAHMP	1	pi_c
3AMPtex	1	3amp_p
3GMPtex	1	3gmp_p
3HAD121	1	h2o_c
3HAD121	1	t3c5ddeceACP_c
3HAD160	1	h2o_c
3HAD160	1	tpalm2eACP_c
3HAD161	1	h2o_c
3HAD161	1	t3c9palmeACP_c
3HAD180	1	h2o_c
3HAD180	1	toctd2eACP_c
3HAD80	1	h2o_c
3HAD80	1	toct2eACP_c
3HPPtex	1	3hpp_p
3HPPtpp	1	3hpp_p
3HPPtpp	1	h_p
3KGK	1	3dhgulnp_c
3KGK	1	adp_c
3KGK	1	h_c
3NTD2pp	1	pi_p
3NTD2pp	1	uri_p
3NTD9pp	1	gsn_p
3NTD9pp	1	pi_p
3OAR120	1	3hddecACP_c
3OAR120	1	nadp_c
3OAR121	1	3hcddec5eACP_c
3OAR121	1	nadp_c
3OAR141	1	3hcmrs7eACP_c
3OAR141	1	nadp_c
3OAR160	1	3hpalmACP_c
3OAR160	1	nadp_c
3OAR161	1	3hcpalm9eACP_c
3OAR161	1	nadp_c
3OAR180	1	3hoctaACP_c
3OAR180	1	nadp_c
3OAS100	1	3odecACP_c
3OAS100	1	ACP_c
3OAS100	1	co2_c
3OAS120	1	3oddecACP_c
3OAS120	1	ACP_c
3OAS120	1	co2_c
3OAS140	1	3omrsACP_c
3OAS140	1	ACP_c
3OAS140	1	co2_c
3OAS161	1	3ocpalm9eACP_c
3OAS161	1	ACP_c
3OAS161	1	co2_c
3OAS60	1	3ohexACP_c
3OAS60	1	ACP_c
3OAS60	1	co2_c
3PEPTabcpp	1	LalaDgluMdap_c
3PEPTabcpp	1	adp_c
3PEPTabcpp	1	h_c
3PEPTabcpp	1	pi_c
3UMPtex	1	3ump_p
4HTHRS	1	4hthr_c
4HTHRS	1	pi_c
5DGLCNt2rpp	1	5dglcn_c
5DGLCNt2rpp	1	h_c
5DOAN	1	5drib_c
5DOAN	1	ade_c
5MTRtex	1	5mtr_p
5MTRtpp	1	5mtr_p
5MTRtpp	1	h_p
A5PISO	1	ara5p_c
AACPS5	1	amp_c
AACPS5	1	octeACP_c
AACPS5	1	ppi_c
AACPS6	1	amp_c
AACPS6	1	ocdcaACP_c
AACPS6	1	ppi_c
AACPS9	1	amp_c
AACPS9	1	ocACP_c
AACPS9	1	ppi_c
AAMYLpp	1	malthx_p
ABTA	1	glu__L_c
ABTA	1	sucsal_c
ABUTt2pp	1	4abut_c
ABUTt2pp	1	h_c
ACACT2r	1	3ohcoa_c
ACACT2r	1	coa_c
ACACT3r	1	3oocoa_c
ACACT3r	1	coa_c
ACACT4r	1	3odcoa_c
ACACT4r	1	coa_c
ACACT5r	1	3oddcoa_c
ACACT5r	1	coa_c
ACACtex	1	acac_p
ACALDtex	1	acald_p
ACALDtpp	1	acald_c
ACBIPGT	1	agdpcbi_c
ACBIPGT	1	ppi_c
ACCOAL	1	adp_c
ACCOAL	1	pi_c
ACCOAL	1	ppcoa_c
ACGAM1PPpp	1	acgam_p
ACGAM1PPpp	1	pi_p
ACGAptspp	1	acgam6p_c
ACGAptspp	1	pyr_c
ACGAtex	1	acgam_p
ACGS	1	acglu_c
ACGS	1	coa_c
ACGS	1	h_c
ACLS	1	alac__S_c
ACLS	1	co2_c
ACMAMUT	1	h_c
