bigg_reaction_id	stoichiometry	substrate_bigg_id
EX_cl_e	1	cl_e
EX_cmp_e	1	cmp_e
EX_co2_e	1	co2_e
EX_colipa_e	1	colipa_e
EX_cpgn_e	1	cpgn_e
EX_cpgn_un_e	1	cpgn_un_e
EX_crn__D_e	1	crn__D_e
EX_cu_e	1	cu_e
EX_cu2_e	1	cu2_e
EX_cyan_e	1	cyan_e
EX_cys__D_e	1	cys__D_e
EX_cys__L_e	1	cys__L_e
EX_cytd_e	1	cytd_e
EX_dad_2_e	1	dad_2_e
EX_damp_e	1	damp_e
EX_ddca_e	1	ddca_e
EX_dgsn_e	1	dgsn_e
EX_dha_e	1	dha_e
EX_din_e	1	din_e
EX_dmso_e	1	dmso_e
EX_doxrbcn_e	1	doxrbcn_e
EX_dump_e	1	dump_e
EX_enlipa_e	1	enlipa_e
EX_enter_e	1	enter_e
EX_ethso3_e	1	ethso3_e
EX_fald_e	1	fald_e
EX_fe2_e	1	fe2_e
EX_fe3_e	1	fe3_e
EX_fe3dcit_e	1	fe3dcit_e
EX_fe3hox_e	1	fe3hox_e
EX_fecrm_e	1	fecrm_e
EX_fecrm_un_e	1	fecrm_un_e
EX_feenter_e	1	feenter_e
EX_frulys_e	1	frulys_e
EX_g3pc_e	1	g3pc_e
EX_g3ps_e	1	g3ps_e
EX_g6p_e	1	g6p_e
EX_gal_e	1	gal_e
EX_gal_bD_e	1	gal_bD_e
EX_gal1p_e	1	gal1p_e
EX_galct__D_e	1	galct__D_e
EX_galctn__L_e	1	galctn__L_e
EX_gam_e	1	gam_e
EX_gam6p_e	1	gam6p_e
EX_gbbtn_e	1	gbbtn_e
EX_gdp_e	1	gdp_e
EX_glcr_e	1	glcr_e
EX_glyald_e	1	glyald_e
EX_glyc__R_e	1	glyc__R_e
EX_glyc3p_e	1	glyc3p_e
EX_gmp_e	1	gmp_e
EX_gsn_e	1	gsn_e
EX_gthox_e	1	gthox_e
EX_gua_e	1	gua_e
EX_h2_e	1	h2_e
EX_h2o2_e	1	h2o2_e
EX_hacolipa_e	1	hacolipa_e
EX_halipa_e	1	halipa_e
EX_hdca_e	1	hdca_e
EX_idon__L_e	1	idon__L_e
EX_indole_e	1	indole_e
EX_inost_e	1	inost_e
EX_ins_e	1	ins_e
EX_isetac_e	1	isetac_e
EX_k_e	1	k_e
EX_lac__L_e	1	lac__L_e
EX_lipoate_e	1	lipoate_e
EX_lyx__L_e	1	lyx__L_e
EX_malthx_e	1	malthx_e
EX_malttr_e	1	malttr_e
EX_maltttr_e	1	maltttr_e
EX_melib_e	1	melib_e
EX_met__L_e	1	met__L_e
EX_metsox_S__L_e	1	metsox_S__L_e
EX_mnl_e	1	mnl_e
EX_mso3_e	1	mso3_e
EX_n2o_e	1	n2o_e
EX_na1_e	1	na1_e
EX_nac_e	1	nac_e
EX_no_e	1	no_e
EX_no2_e	1	no2_e
EX_no3_e	1	no3_e
EX_o16a4colipa_e	1	o16a4colipa_e
EX_ocdcea_e	1	ocdcea_e
EX_orot_e	1	orot_e
EX_pacald_e	1	pacald_e
EX_pheme_e	1	pheme_e
EX_pnto__R_e	1	pnto__R_e
EX_ppa_e	1	ppa_e
EX_ppal_e	1	ppal_e
EX_pppn_e	1	pppn_e
EX_progly_e	1	progly_e
EX_pser__L_e	1	pser__L_e
EX_ptrc_e	1	ptrc_e
EX_pydam_e	1	pydam_e
EX_pydx_e	1	pydx_e
EX_pyr_e	1	pyr_e
EX_rmn_e	1	rmn_e
EX_sbt__D_e	1	sbt__D_e
EX_sel_e	1	sel_e
EX_ser__D_e	1	ser__D_e
EX_skm_e	1	skm_e
EX_so3_e	1	so3_e
EX_so4_e	1	so4_e
EX_spmd_e	1	spmd_e
EX_sulfac_e	1	sulfac_e
EX_taur_e	1	taur_e
EX_thm_e	1	thm_e
EX_thr__L_e	1	thr__L_e
EX_tmao_e	1	tmao_e
EX_ttdca_e	1	ttdca_e
EX_ttrcyc_e	1	ttrcyc_e
EX_tym_e	1	tym_e
EX_tyr__L_e	1	tyr__L_e
EX_tyrp_e	1	tyrp_e
EX_udpacgal_e	1	udpacgal_e
EX_udpg_e	1	udpg_e
EX_urea_e	1	urea_e
EX_uri_e	1	uri_e
EX_val__L_e	1	val__L_e
EX_xan_e	1	xan_e
EX_xmp_e	1	xmp_e
EX_xtsn_e	1	xtsn_e
EX_xyl__D_e	1	xyl__D_e
EX_zn2_e	1	zn2_e
12DGR120tipp	1	12dgr120_p
12DGR140tipp	1	12dgr140_p
12DGR161tipp	1	12dgr161_p
12DGR180tipp	1	12dgr180_p
12DGR181tipp	1	12dgr181_p
12PPDStex	1	12ppd__S_e
14GLUCANabcpp	1	atp_c
14GLUCANabcpp	1	h2o_c
14GLUCANabcpp	1	14glucan_p
23CCMPtex	1	23ccmp_e
23CGMPtex	1	23cgmp_e
23PDE2pp	1	23cump_p
23PDE2pp	1	h2o_p
23PDE9pp	1	23cgmp_p
23PDE9pp	1	h2o_p
2AGPA120tipp	1	2ddecg3p_p
2AGPA140tipp	1	2tdecg3p_p
2AGPA180tipp	1	2odecg3p_p
2AGPA181tipp	1	2odec11eg3p_p
2AGPE140tipp	1	2agpe140_p
