bigg_id	universal_bigg_id	name
dgdp_c	dgdp	DGDP C10H12N5O10P2
dgslnt_c	dgslnt	Selenodiglutathione
dgtp_c	dgtp	DGTP C10H12N5O13P3
dha_c	dha	Dihydroxyacetone
dhmpt_c	dhmpt	Dihydromonapterin
dhmptp_c	dhmptp	Dihydromonapterin-triphosphate
dhnpt_c	dhnpt	Dihydroneopterin
dimp_c	dimp	DIMP C10H12N4O7P
din_c	din	Deoxyinosine
dmpp_c	dmpp	Dimethylallyl diphosphate
dtdpglu_c	dtdpglu	DTDPglucose
dttp_c	dttp	DTTP C10H13N2O14P3
dump_c	dump	DUMP C9H11N2O8P
dutp_c	dutp	DUTP C9H11N2O14P3
eig3p_c	eig3p	D-erythro-1-(Imidazol-4-yl)glycerol 3-phosphate
f1p_c	f1p	D-Fructose 1-phosphate
fad_c	fad	Flavin adenine dinucleotide oxidized
fe2_c	fe2	Fe2+ mitochondria
fecrm_c	fecrm	Ferrichrome
feoxam_c	feoxam	Generic ferrioxamine-Fe-III
feoxam_un_c	feoxam_un	Ferroxamine minus Fe(3)
forcoa_c	forcoa	Formyl-CoA(4-)
frdp_c	frdp	Farnesyl diphosphate
fruur_c	fruur	D-Fructuronate
fuc__L_c	fuc__L	L-Fucose
g3pc_c	g3pc	Sn-Glycero-3-phosphocholine
g3pe_c	g3pe	Sn-Glycero-3-phosphoethanolamine
g3pi_c	g3pi	Sn-Glycero-3-phospho-1-inositol
gdpofuc_c	gdpofuc	GDP-4-oxo-L-fucose
gdptp_c	gdptp	Guanosine 3'-diphosphate 5'-triphosphate
ggagicolipa_c	ggagicolipa	Glucosyl-galactosyl-glucosyl-inner core oligosaccharide lipid A
gggagicolipa_c	gggagicolipa	Glucosyl-glucosyl-galactosyl-glucosyl-inner core oligosaccharide lipid A
ghb_c	ghb	Gamma-hydroxybutyrate
gicolipa_c	gicolipa	Glucosyl-inner core oligosaccharide lipid A
glcn_c	glcn	D-Gluconate
glu__D_c	glu__D	D-Glutamate
glyc__R_c	glyc__R	(R)-Glycerate
glyc2p_c	glyc2p	Glycerol 2-phosphate
glyclt_c	glyclt	Glycolate C2H3O3
grdp_c	grdp	Geranyl diphosphate
grxrd_c	grxrd	Glutaredoxin (reduced)
gslnt_c	gslnt	Glutathiolselenolate
h_c	h	H+
h2_c	h2	Hydrogen
h2o_c	h2o	H2O H2O
hcys__L_c	hcys__L	L-Homocysteine
hdca_c	hdca	Hexadecanoate (n-C16:0)
hdd2coa_c	hdd2coa	Trans-Hexadec-2-enoyl-CoA
hg2_c	hg2	Mercury  charged 2  Hg
hhlipa_c	hhlipa	Heptosyl-heptosyl-kdo2-lipidA
his__L_c	his__L	L-Histidine
hkndd_c	hkndd	2-Hydroxy-6-oxonona-2,4-diene-1,9-dioate
hlipa_c	hlipa	Heptosyl-kdo2-lipidA
hom__L_c	hom__L	L-Homoserine
hxan_c	hxan	Hypoxanthine
icolipa_c	icolipa	Inner core oligosaccharide lipid A (E coli)
imp_c	imp	IMP C10H11N4O8P
indole_c	indole	Indole
kdo2lipid4L_c	kdo2lipid4L	KDO(2)-lipid IV(A) with laurate
kdo8p_c	kdo8p	3-Deoxy-D-manno-octulosonate 8-phosphate
lcts_c	lcts	Lactose C12H22O11
lipa_c	lipa	KDO(2)-lipid (A)
lipa_cold_c	lipa_cold	Cold adapted KDO(2)-lipid (A)
lipidAds_c	lipidAds	Lipid A Disaccharide
lipidX_c	lipidX	2,3-Bis(3-hydroxytetradecanoyl)-beta-D-glucosaminyl 1-phosphate
malcoame_c	malcoame	Malonyl-CoA methyl ester
malt_c	malt	Maltose C12H22O11
malt6p_c	malt6p	Maltose 6'-phosphate
malthx_c	malthx	Maltohexaose
maltpt_c	maltpt	Maltopentaose
mercppyr_c	mercppyr	Mercaptopyruvate
met__L_c	met__L	L-Methionine
