stepId;ReactionNumberId;koNumberIds;ecNumberIds;stochCoeff;compoundId;typeOfCompound;reversibility;taxonomy;reactionX;reactionY;CompoundX;CompoundY;reactionAbbr;compoundAbbr;keyComp
8;D-fructose-6-phosphate D-erythrose-4-phosphate-lyase (adding phosphate	 acetyl-phosphate-forming)	 D-Fructose 6-phosphate + Orthophosphate <=> Acetyl phosphate + D-Erythrose 4-phosphate + H2O R00761;K01621;4.1.2.22;1;H2O	 Water C00001;product;irreversible;;24;292;-100;333;D-fructose-6-phosphate D-erythrose-4-phosphate-lyase (adding phosphate	 acetyl-phosphate-forming)	 D-Fructose 6-phosphate + Orthophosphate <=> Acetyl phosphate + D-Erythrose 4-phosphate + H2O R00761;H2O	 Water C00001;true
8;D-fructose-6-phosphate D-erythrose-4-phosphate-lyase (adding phosphate	 acetyl-phosphate-forming)	 D-Fructose 6-phosphate + Orthophosphate <=> Acetyl phosphate + D-Erythrose 4-phosphate + H2O R00761;K01621;4.1.2.22;1;Acetyl phosphate C00227;product;irreversible;;24;292;189;324;D-fructose-6-phosphate D-erythrose-4-phosphate-lyase (adding phosphate	 acetyl-phosphate-forming)	 D-Fructose 6-phosphate + Orthophosphate <=> Acetyl phosphate + D-Erythrose 4-phosphate + H2O R00761;Acetyl phosphate C00227;true
8;D-fructose-6-phosphate D-erythrose-4-phosphate-lyase (adding phosphate	 acetyl-phosphate-forming)	 D-Fructose 6-phosphate + Orthophosphate <=> Acetyl phosphate + D-Erythrose 4-phosphate + H2O R00761;K01621;4.1.2.22;1;D-Erythrose 4-phosphate C00279;product;irreversible;;24;292;-16;344;D-fructose-6-phosphate D-erythrose-4-phosphate-lyase (adding phosphate	 acetyl-phosphate-forming)	 D-Fructose 6-phosphate + Orthophosphate <=> Acetyl phosphate + D-Erythrose 4-phosphate + H2O R00761;D-Erythrose 4-phosphate C00279;true
9;D-glucose-6-phosphate:F420 1-oxidoreductase	 D-Glucose 6-phosphate + Coenzyme F420 <=> D-Glucono-1,5-lactone 6-phosphate + Reduced coenzyme F420 R09550;;1.1.98.2;1;D-Glucose 6-phosphate	 Glucose 6-phosphate	 Robison ester C00092;substrate;irreversible;;16;185;-275;158;D-glucose-6-phosphate:F420 1-oxidoreductase	 D-Glucose 6-phosphate + Coenzyme F420 <=> D-Glucono-1,5-lactone 6-phosphate + Reduced coenzyme F420 R09550;D-Glucose 6-phosphate	 Glucose 6-phosphate	 Robison ester C00092;true
9;D-glucose-6-phosphate:F420 1-oxidoreductase	 D-Glucose 6-phosphate + Coenzyme F420 <=> D-Glucono-1,5-lactone 6-phosphate + Reduced coenzyme F420 R09550;;1.1.98.2;1;Coenzyme F420	 Oxidized coenzyme F420	 Coenzyme gamma-F420-2 C00876;substrate;irreversible;;16;185;46;158;D-glucose-6-phosphate:F420 1-oxidoreductase	 D-Glucose 6-phosphate + Coenzyme F420 <=> D-Glucono-1,5-lactone 6-phosphate + Reduced coenzyme F420 R09550;Coenzyme F420	 Oxidized coenzyme F420	 Coenzyme gamma-F420-2 C00876;true
9;D-glucose-6-phosphate:F420 1-oxidoreductase	 D-Glucose 6-phosphate + Coenzyme F420 <=> D-Glucono-1,5-lactone 6-phosphate + Reduced coenzyme F420 R09550;;1.1.98.2;1;D-Glucono-1,5-lactone 6-phosphate	 6-Phospho-D-glucono-1,5-lactone C01236;product;irreversible;;16;185;53;227;D-glucose-6-phosphate:F420 1-oxidoreductase	 D-Glucose 6-phosphate + Coenzyme F420 <=> D-Glucono-1,5-lactone 6-phosphate + Reduced coenzyme F420 R09550;D-Glucono-1,5-lactone 6-phosphate	 6-Phospho-D-glucono-1,5-lactone C01236;true
9;D-glucose-6-phosphate:F420 1-oxidoreductase	 D-Glucose 6-phosphate + Coenzyme F420 <=> D-Glucono-1,5-lactone 6-phosphate + Reduced coenzyme F420 R09550;;1.1.98.2;1;Reduced coenzyme F420 C01080;product;irreversible;;16;185;-157;7;D-glucose-6-phosphate:F420 1-oxidoreductase	 D-Glucose 6-phosphate + Coenzyme F420 <=> D-Glucono-1,5-lactone 6-phosphate + Reduced coenzyme F420 R09550;Reduced coenzyme F420 C01080;true
10;6-phospho-D-gluconate:NADP+ 2-oxidoreductase (decarboxylating)	 6-Phospho-D-gluconate + NADP+ <=> D-Ribulose 5-phosphate + CO2 + NADPH + H+ R01528;K00033;1.1.1.44,1.1.1.351;1;NADP+	 NADP	 Nicotinamide adenine dinucleotide phosphate	 beta-Nicotinamide adenine dinucleotide phosphate	 TPN	 Triphosphopyridine nucleotide	 beta-NADP+ C00006;substrate;irreversible;;5;63;39;38;6-phospho-D-gluconate:NADP+ 2-oxidoreductase (decarboxylating)	 6-Phospho-D-gluconate + NADP+ <=> D-Ribulose 5-phosphate + CO2 + NADPH + H+ R01528;NADP+	 NADP	 Nicotinamide adenine dinucleotide phosphate	 beta-Nicotinamide adenine dinucleotide phosphate	 TPN	 Triphosphopyridine nucleotide	 beta-NADP+ C00006;true
10;6-phospho-D-gluconate:NADP+ 2-oxidoreductase (decarboxylating)	 6-Phospho-D-gluconate + NADP+ <=> D-Ribulose 5-phosphate + CO2 + NADPH + H+ R01528;K00033;1.1.1.44,1.1.1.351;1;6-Phospho-D-gluconate C00345;substrate;irreversible;;5;63;-136;44;6-phospho-D-gluconate:NADP+ 2-oxidoreductase (decarboxylating)	 6-Phospho-D-gluconate + NADP+ <=> D-Ribulose 5-phosphate + CO2 + NADPH + H+ R01528;6-Phospho-D-gluconate C00345;true
10;6-phospho-D-gluconate:NADP+ 2-oxidoreductase (decarboxylating)	 6-Phospho-D-gluconate + NADP+ <=> D-Ribulose 5-phosphate + CO2 + NADPH + H+ R01528;K00033;1.1.1.44,1.1.1.351;1;D-Ribulose 5-phosphate C00199;product;irreversible;;5;63;104;-146;6-phospho-D-gluconate:NADP+ 2-oxidoreductase (decarboxylating)	 6-Phospho-D-gluconate + NADP+ <=> D-Ribulose 5-phosphate + CO2 + NADPH + H+ R01528;D-Ribulose 5-phosphate C00199;true
10;6-phospho-D-gluconate:NADP+ 2-oxidoreductase (decarboxylating)	 6-Phospho-D-gluconate + NADP+ <=> D-Ribulose 5-phosphate + CO2 + NADPH + H+ R01528;K00033;1.1.1.44,1.1.1.351;1;CO2	 Carbon dioxide C00011;product;irreversible;;5;63;61;119;6-phospho-D-gluconate:NADP+ 2-oxidoreductase (decarboxylating)	 6-Phospho-D-gluconate + NADP+ <=> D-Ribulose 5-phosphate + CO2 + NADPH + H+ R01528;CO2	 Carbon dioxide C00011;true
10;6-phospho-D-gluconate:NADP+ 2-oxidoreductase (decarboxylating)	 6-Phospho-D-gluconate + NADP+ <=> D-Ribulose 5-phosphate + CO2 + NADPH + H+ R01528;K00033;1.1.1.44,1.1.1.351;1;H+	 Hydron C00080;product;irreversible;;5;63;-79;112;6-phospho-D-gluconate:NADP+ 2-oxidoreductase (decarboxylating)	 6-Phospho-D-gluconate + NADP+ <=> D-Ribulose 5-phosphate + CO2 + NADPH + H+ R01528;H+	 Hydron C00080;true
10;6-phospho-D-gluconate:NADP+ 2-oxidoreductase (decarboxylating)	 6-Phospho-D-gluconate + NADP+ <=> D-Ribulose 5-phosphate + CO2 + NADPH + H+ R01528;K00033;1.1.1.44,1.1.1.351;1;NADPH	 TPNH	 Reduced nicotinamide adenine dinucleotide phosphate C00005;product;irreversible;;5;63;50;96;6-phospho-D-gluconate:NADP+ 2-oxidoreductase (decarboxylating)	 6-Phospho-D-gluconate + NADP+ <=> D-Ribulose 5-phosphate + CO2 + NADPH + H+ R01528;NADPH	 TPNH	 Reduced nicotinamide adenine dinucleotide phosphate C00005;true
