stepId;ReactionNumberId;koNumberIds;ecNumberIds;stochCoeff;compoundId;typeOfCompound;reversibility;taxonomy;reactionX;reactionY;CompoundX;CompoundY;reactionAbbr;compoundAbbr;keyComp
0;acetyl-CoA:phosphate acetyltransferase	 Acetyl-CoA + Orthophosphate <=> CoA + Acetyl phosphate R00230;K15024,K04020,K00625,K13788;2.3.1.8;1;Acetyl-CoA	 Acetyl coenzyme A C00024;substrate;irreversible;;0;-58;-166;-132;acetyl-CoA:phosphate acetyltransferase	 Acetyl-CoA + Orthophosphate <=> CoA + Acetyl phosphate R00230;Acetyl-CoA	 Acetyl coenzyme A C00024;true
0;acetyl-CoA:phosphate acetyltransferase	 Acetyl-CoA + Orthophosphate <=> CoA + Acetyl phosphate R00230;K15024,K04020,K00625,K13788;2.3.1.8;1;Orthophosphate	 Phosphate	 Phosphoric acid	 Orthophosphoric acid C00009;substrate;irreversible;;0;-58;-2;-133;acetyl-CoA:phosphate acetyltransferase	 Acetyl-CoA + Orthophosphate <=> CoA + Acetyl phosphate R00230;Orthophosphate	 Phosphate	 Phosphoric acid	 Orthophosphoric acid C00009;true
0;acetyl-CoA:phosphate acetyltransferase	 Acetyl-CoA + Orthophosphate <=> CoA + Acetyl phosphate R00230;K15024,K04020,K00625,K13788;2.3.1.8;1;CoA	 Coenzyme A	 CoA-SH C00010;product;irreversible;;0;-58;127;47;acetyl-CoA:phosphate acetyltransferase	 Acetyl-CoA + Orthophosphate <=> CoA + Acetyl phosphate R00230;CoA	 Coenzyme A	 CoA-SH C00010;true
0;acetyl-CoA:phosphate acetyltransferase	 Acetyl-CoA + Orthophosphate <=> CoA + Acetyl phosphate R00230;K15024,K04020,K00625,K13788;2.3.1.8;1;Acetyl phosphate C00227;product;irreversible;;0;-58;3;42;acetyl-CoA:phosphate acetyltransferase	 Acetyl-CoA + Orthophosphate <=> CoA + Acetyl phosphate R00230;Acetyl phosphate C00227;true
1;ATP:acetate phosphotransferase	 ATP + Acetate <=> ADP + Acetyl phosphate R00315;K00925;2.7.2.15,2.7.2.1;1;ATP	 Adenosine 5'-triphosphate C00002;substrate;irreversible;;3;135;-160;101;ATP:acetate phosphotransferase	 ATP + Acetate <=> ADP + Acetyl phosphate R00315;ATP	 Adenosine 5'-triphosphate C00002;true
1;ATP:acetate phosphotransferase	 ATP + Acetate <=> ADP + Acetyl phosphate R00315;K00925;2.7.2.15,2.7.2.1;1;Acetate	 Acetic acid	 Ethanoic acid C00033;substrate;irreversible;;3;135;37;96;ATP:acetate phosphotransferase	 ATP + Acetate <=> ADP + Acetyl phosphate R00315;Acetate	 Acetic acid	 Ethanoic acid C00033;true
1;ATP:acetate phosphotransferase	 ATP + Acetate <=> ADP + Acetyl phosphate R00315;K00925;2.7.2.15,2.7.2.1;1;ADP	 Adenosine 5'-diphosphate C00008;product;irreversible;;3;135;44;171;ATP:acetate phosphotransferase	 ATP + Acetate <=> ADP + Acetyl phosphate R00315;ADP	 Adenosine 5'-diphosphate C00008;true
1;ATP:acetate phosphotransferase	 ATP + Acetate <=> ADP + Acetyl phosphate R00315;K00925;2.7.2.15,2.7.2.1;1;Acetyl phosphate C00227;product;irreversible;;3;135;3;42;ATP:acetate phosphotransferase	 ATP + Acetate <=> ADP + Acetyl phosphate R00315;Acetyl phosphate C00227;true
