stepId;ReactionNumberId;koNumberIds;ecNumberIds;stochCoeff;compoundId;typeOfCompound;reversibility;taxonomy;reactionX;reactionY;CompoundX;CompoundY;reactionAbbr;compoundAbbr;keyComp
0;6-oxocyclohex-1-ene-1-carbonyl-CoA hydrolase (decyclizing)	 6-Oxocyclohex-1-ene-1-carbonyl-CoA + 2 H2O <=> 3-Hydroxypimeloyl-CoA R05594;K07539;3.7.1.21;2;H2O	 Water C00001;substrate;irreversible;;4;99;1.7230474948883057;-2.297396570444107;6-oxocyclohex-1-ene-1-carbonyl-CoA hydrolase (decyclizing)	 6-Oxocyclohex-1-ene-1-carbonyl-CoA + 2 H2O <=> 3-Hydroxypimeloyl-CoA R05594;H2O	 Water C00001;true
0;6-oxocyclohex-1-ene-1-carbonyl-CoA hydrolase (decyclizing)	 6-Oxocyclohex-1-ene-1-carbonyl-CoA + 2 H2O <=> 3-Hydroxypimeloyl-CoA R05594;K07539;3.7.1.21;1;6-Oxocyclohex-1-ene-1-carbonyl-CoA	 6-Ketoxycyclohex-1-ene-1-carboxyl-CoA C09821;substrate;irreversible;;4;99;101.0854504108429;-1.7230475842952728;6-oxocyclohex-1-ene-1-carbonyl-CoA hydrolase (decyclizing)	 6-Oxocyclohex-1-ene-1-carbonyl-CoA + 2 H2O <=> 3-Hydroxypimeloyl-CoA R05594;6-Oxocyclohex-1-ene-1-carbonyl-CoA	 6-Ketoxycyclohex-1-ene-1-carboxyl-CoA C09821;true
0;6-oxocyclohex-1-ene-1-carbonyl-CoA hydrolase (decyclizing)	 6-Oxocyclohex-1-ene-1-carbonyl-CoA + 2 H2O <=> 3-Hydroxypimeloyl-CoA R05594;K07539;3.7.1.21;1;3-Hydroxypimeloyl-CoA	 3-Hydroxypimelyl-CoA C06714;product;irreversible;;4;99;94.76761412620544;169.43300819396973;6-oxocyclohex-1-ene-1-carbonyl-CoA hydrolase (decyclizing)	 6-Oxocyclohex-1-ene-1-carbonyl-CoA + 2 H2O <=> 3-Hydroxypimeloyl-CoA R05594;3-Hydroxypimeloyl-CoA	 3-Hydroxypimelyl-CoA C06714;true
1;benzoyl-CoA:acceptor oxidoreductase	 4-Hydroxybenzoyl-CoA + Reduced ferredoxin <=> Benzoyl-CoA + Oxidized ferredoxin + H2O R05316;K04107,K04108,K04109;1.1.7.1;1;4-Hydroxybenzoyl-CoA C02949;substrate;irreversible;;-4;-91;-141;-160.5;benzoyl-CoA:acceptor oxidoreductase	 4-Hydroxybenzoyl-CoA + Reduced ferredoxin <=> Benzoyl-CoA + Oxidized ferredoxin + H2O R05316;4-Hydroxybenzoyl-CoA C02949;true
1;benzoyl-CoA:acceptor oxidoreductase	 4-Hydroxybenzoyl-CoA + Reduced ferredoxin <=> Benzoyl-CoA + Oxidized ferredoxin + H2O R05316;K04107,K04108,K04109;1.1.7.1;1;Reduced ferredoxin	 Reduced ferredoxin [iron-sulfur] cluster C00138;substrate;irreversible;;-4;-91;-7;-161;benzoyl-CoA:acceptor oxidoreductase	 4-Hydroxybenzoyl-CoA + Reduced ferredoxin <=> Benzoyl-CoA + Oxidized ferredoxin + H2O R05316;Reduced ferredoxin	 Reduced ferredoxin [iron-sulfur] cluster C00138;true
1;benzoyl-CoA:acceptor oxidoreductase	 4-Hydroxybenzoyl-CoA + Reduced ferredoxin <=> Benzoyl-CoA + Oxidized ferredoxin + H2O R05316;K04107,K04108,K04109;1.1.7.1;1;H2O	 Water C00001;product;irreversible;;-4;-91;1.7230474948883057;-2.297396570444107;benzoyl-CoA:acceptor oxidoreductase	 4-Hydroxybenzoyl-CoA + Reduced ferredoxin <=> Benzoyl-CoA + Oxidized ferredoxin + H2O R05316;H2O	 Water C00001;true
1;benzoyl-CoA:acceptor oxidoreductase	 4-Hydroxybenzoyl-CoA + Reduced ferredoxin <=> Benzoyl-CoA + Oxidized ferredoxin + H2O R05316;K04107,K04108,K04109;1.1.7.1;1;Oxidized ferredoxin	 Oxidized ferredoxin [iron-sulfur] cluster C00139;product;irreversible;;-4;-91;-273;-42;benzoyl-CoA:acceptor oxidoreductase	 4-Hydroxybenzoyl-CoA + Reduced ferredoxin <=> Benzoyl-CoA + Oxidized ferredoxin + H2O R05316;Oxidized ferredoxin	 Oxidized ferredoxin [iron-sulfur] cluster C00139;true
1;benzoyl-CoA:acceptor oxidoreductase	 4-Hydroxybenzoyl-CoA + Reduced ferredoxin <=> Benzoyl-CoA + Oxidized ferredoxin + H2O R05316;K04107,K04108,K04109;1.1.7.1;1;Benzoyl-CoA	 S-Benzoyl-coenzyme A C00512;product;irreversible;;-4;-91;82;-38;benzoyl-CoA:acceptor oxidoreductase	 4-Hydroxybenzoyl-CoA + Reduced ferredoxin <=> Benzoyl-CoA + Oxidized ferredoxin + H2O R05316;Benzoyl-CoA	 S-Benzoyl-coenzyme A C00512;true
