CONNECTION_FROM	CONNECTION_TO	CONNECTION_TYPE
R05962	G00094	chemical_reaction
R05963	G00094	chemical_reaction
R05964	G00094	chemical_reaction
R05965	G00094	chemical_reaction
R05966	G00094	chemical_reaction
R11376	G00094	chemical_reaction
R05965	G00095	chemical_reaction
R05966	G00095	chemical_reaction
R05902	G00097	chemical_reaction
R05964	G00097	chemical_reaction
R05967	G00097	chemical_reaction
R05968	G00097	chemical_reaction
R05967	G00098	chemical_reaction
R05968	G00099	chemical_reaction
R05902	G00102	chemical_reaction
R05903	G00102	chemical_reaction
R05903	G00103	chemical_reaction
R05904	G00103	chemical_reaction
R05904	G00104	chemical_reaction
R05937	G00108	chemical_reaction
R05939	G00108	chemical_reaction
R05940	G00108	chemical_reaction
R05999	G00108	chemical_reaction
R06004	G00108	chemical_reaction
R06011	G00108	chemical_reaction
R05939	G00109	chemical_reaction
R05941	G00109	chemical_reaction
R06004	G00109	chemical_reaction
R06007	G00109	chemical_reaction
R06009	G00109	chemical_reaction
R06010	G00109	chemical_reaction
R06012	G00109	chemical_reaction
R05941	G00110	chemical_reaction
R05942	G00110	chemical_reaction
R05944	G00110	chemical_reaction
R06003	G00110	chemical_reaction
R06005	G00110	chemical_reaction
R06010	G00110	chemical_reaction
R06253	G00110	chemical_reaction
R05942	G00111	chemical_reaction
R05943	G00111	chemical_reaction
R05945	G00111	chemical_reaction
R06000	G00111	chemical_reaction
R06253	G00111	chemical_reaction
R05943	G00112	chemical_reaction
R05995	G00112	chemical_reaction
R05940	G00113	chemical_reaction
R05946	G00113	chemical_reaction
R05947	G00113	chemical_reaction
R05946	G00114	chemical_reaction
R05948	G00114	chemical_reaction
R06009	G00114	chemical_reaction
R05948	G00115	chemical_reaction
R05949	G00115	chemical_reaction
R05998	G00115	chemical_reaction
R06005	G00115	chemical_reaction
R05949	G00116	chemical_reaction
R05950	G00116	chemical_reaction
R05951	G00116	chemical_reaction
R05996	G00116	chemical_reaction
R05998	G00116	chemical_reaction
R06000	G00116	chemical_reaction
R05950	G00117	chemical_reaction
R05995	G00117	chemical_reaction
R05996	G00117	chemical_reaction
R05947	G00118	chemical_reaction
R05952	G00118	chemical_reaction
R05952	G00119	chemical_reaction
R05953	G00119	chemical_reaction
R05953	G00120	chemical_reaction
R05954	G00120	chemical_reaction
R05954	G00121	chemical_reaction
R05955	G00121	chemical_reaction
R05955	G00122	chemical_reaction
R05938	G00123	chemical_reaction
R05956	G00123	chemical_reaction
R05994	G00123	chemical_reaction
R06001	G00123	chemical_reaction
R06007	G00123	chemical_reaction
R06012	G00123	chemical_reaction
R05956	G00124	chemical_reaction
R05957	G00124	chemical_reaction
R05994	G00124	chemical_reaction
R06003	G00124	chemical_reaction
R05957	G00125	chemical_reaction
R05958	G00125	chemical_reaction
R05959	G00125	chemical_reaction
R05958	G00126	chemical_reaction
R05959	G00127	chemical_reaction
R05945	G00128	chemical_reaction
R05951	G00129	chemical_reaction
R05923	G00140	chemical_reaction
R07129	G00140	chemical_reaction
R05923	G00141	chemical_reaction
R05924	G00141	chemical_reaction
R05916	G00143	chemical_reaction
R05917	G00143	chemical_reaction
R05917	G00144	chemical_reaction
R05918	G00144	chemical_reaction
R06623	G00144	chemical_reaction
R05918	G00145	chemical_reaction
R05919	G00145	chemical_reaction
R05919	G00146	chemical_reaction
R12350	G00146	chemical_reaction
R05922	G00148	chemical_reaction
R12351	G00148	chemical_reaction
R05922	G00149	chemical_reaction
R07129	G00149	chemical_reaction
R08107	G00149	chemical_reaction
R05924	G00151	chemical_reaction
R05925	G00154	chemical_reaction
R05926	G00154	chemical_reaction
R05926	G00155	chemical_reaction
R05927	G00155	chemical_reaction
R05927	G00156	chemical_reaction
R05928	G00156	chemical_reaction
R05928	G00157	chemical_reaction
R05929	G00157	chemical_reaction
R05930	G00157	chemical_reaction
R05929	G00158	chemical_reaction
R05931	G00158	chemical_reaction
R05931	G00159	chemical_reaction
R05932	G00159	chemical_reaction
R05932	G00160	chemical_reaction
R05933	G00160	chemical_reaction
R05934	G00161	chemical_reaction
R05930	G00162	chemical_reaction
R05935	G00162	chemical_reaction
R05935	G00163	chemical_reaction
R05936	G00163	chemical_reaction
R05936	G00164	chemical_reaction
R10138	G00164	chemical_reaction
R10138	G00165	chemical_reaction
R10139	G00165	chemical_reaction
R05944	G00166	chemical_reaction
R05979	G00171	chemical_reaction
R05980	G00171	chemical_reaction
R06014	G00172	chemical_reaction
R06013	G00174	chemical_reaction
R06011	G00176	chemical_reaction
R06129	G00177	chemical_reaction
R06015	G00178	chemical_reaction
R06016	G00179	chemical_reaction
R09318	G00179	chemical_reaction
R05933	G00180	chemical_reaction
R05934	G00180	chemical_reaction
R05901	G00209	chemical_reaction
R06055	G00246	chemical_reaction
R06145	G00246	chemical_reaction
R06188	G00246	chemical_reaction
R06042	G00249	chemical_reaction
R06070	G00249	chemical_reaction
R06071	G00249	chemical_reaction
R06100	G00249	chemical_reaction
R06139	G00249	chemical_reaction
R06152	G00249	chemical_reaction
R05905	G00251	chemical_reaction
R05906	G00251	chemical_reaction
R06188	G00255	chemical_reaction
R12477	G00272	chemical_reaction
R06040	G00275	chemical_reaction
R06061	G00275	chemical_reaction
R06069	G00275	chemical_reaction
R06084	G00275	chemical_reaction
R06218	G00275	chemical_reaction
R06236	G00275	chemical_reaction
R06251	G00275	chemical_reaction
R06042	G00278	chemical_reaction
R06101	G00278	chemical_reaction
R06152	G00278	chemical_reaction
R06057	G00284	chemical_reaction
R06116	G00284	chemical_reaction
R06056	G00289	chemical_reaction
R06092	G00289	chemical_reaction
R06104	G00289	chemical_reaction
R06105	G00289	chemical_reaction
R06176	G00289	chemical_reaction
R06200	G00289	chemical_reaction
R06244	G00289	chemical_reaction
R06245	G00289	chemical_reaction
R06246	G00289	chemical_reaction
R06247	G00289	chemical_reaction
R06053	G00293	chemical_reaction
R06103	G00293	chemical_reaction
R06218	G00293	chemical_reaction
R06228	G00293	chemical_reaction
R06229	G00293	chemical_reaction
R06145	G00304	chemical_reaction
R08717	G00309	chemical_reaction
R06147	G00317	chemical_reaction
R06105	G00318	chemical_reaction
R06106	G00318	chemical_reaction
R08717	G00319	chemical_reaction
R06283	G00332	chemical_reaction
R06058	G00357	chemical_reaction
R06034	G00370	chemical_reaction
R06036	G00370	chemical_reaction
R06052	G00370	chemical_reaction
R06059	G00370	chemical_reaction
R06066	G00370	chemical_reaction
R06070	G00370	chemical_reaction
R06071	G00370	chemical_reaction
R06079	G00370	chemical_reaction
R06087	G00370	chemical_reaction
R06088	G00370	chemical_reaction
R06130	G00370	chemical_reaction
R06135	G00370	chemical_reaction
R06139	G00370	chemical_reaction
R06211	G00370	chemical_reaction
R06217	G00370	chemical_reaction
R06233	G00370	chemical_reaction
R12477	G00374	chemical_reaction
R07610	G00388	chemical_reaction
R11321	G00392	chemical_reaction
R11322	G00392	chemical_reaction
R05905	G00393	chemical_reaction
R06116	G00395	chemical_reaction
R11320	G00403	chemical_reaction
R11321	G00403	chemical_reaction
R11375	G00428	chemical_reaction
R06106	G00459	chemical_reaction
R06107	G00459	chemical_reaction
R06094	G00497	chemical_reaction
R06122	G00497	chemical_reaction
R06234	G00497	chemical_reaction
R06096	G00501	chemical_reaction
R06101	G00501	chemical_reaction
R10830	G00526	chemical_reaction
R10905	G00526	chemical_reaction
R06107	G00546	chemical_reaction
R06109	G00546	chemical_reaction
R08718	G00595	chemical_reaction
R07611	G00704	chemical_reaction
R10830	G00711	chemical_reaction
R10831	G00711	chemical_reaction
R07609	G00736	chemical_reaction
R05906	G00837	chemical_reaction
R07609	G00850	chemical_reaction
R07824	G00872	chemical_reaction
R07825	G00872	chemical_reaction
R11378	G00889	chemical_reaction
R08718	G00971	chemical_reaction
R06121	G01185	chemical_reaction
R06217	G01241	chemical_reaction
R06091	G01275	chemical_reaction
R06096	G01275	chemical_reaction
R06100	G01275	chemical_reaction
R06080	G01318	chemical_reaction
R07809	G01391	chemical_reaction
R07810	G01391	chemical_reaction
R06108	G01455	chemical_reaction
R06136	G01491	chemical_reaction
R06139	G01504	chemical_reaction
R06245	G01630	chemical_reaction
R08599	G01813	chemical_reaction
R07616	G01941	chemical_reaction
R07805	G01945	chemical_reaction
R07806	G01945	chemical_reaction
R06108	G01967	chemical_reaction
R06109	G01967	chemical_reaction
R07615	G01977	chemical_reaction
R07806	G01977	chemical_reaction
R07807	G01977	chemical_reaction
R07131	G02047	chemical_reaction
R06242	G02170	chemical_reaction
R06135	G02515	chemical_reaction
R06239	G02614	chemical_reaction
R07819	G02632	chemical_reaction
R06283	G02952	chemical_reaction
R11322	G02977	chemical_reaction
R09290	G03532	chemical_reaction
R06274	G04135	chemical_reaction
R06273	G04461	chemical_reaction
R06274	G04461	chemical_reaction
R06085	G04561	chemical_reaction
R06086	G04561	chemical_reaction
R06273	G04854	chemical_reaction
R07610	G05309	chemical_reaction
R07611	G05309	chemical_reaction
R11317	G05477	chemical_reaction
R11318	G05477	chemical_reaction
R09297	G05914	chemical_reaction
R07131	G06302	chemical_reaction
R06014	G07376	chemical_reaction
R06130	G09080	chemical_reaction
R07818	G09660	chemical_reaction
R07819	G09660	chemical_reaction
R06043	G09795	chemical_reaction
R06044	G09795	chemical_reaction
R06113	G09795	chemical_reaction
R06125	G09795	chemical_reaction
R06226	G09795	chemical_reaction
R06228	G09795	chemical_reaction
R06229	G09795	chemical_reaction
R10831	G10008	chemical_reaction
R06240	G10113	chemical_reaction
R06249	G10113	chemical_reaction
R06099	G10238	chemical_reaction
R06275	G10238	chemical_reaction
R06276	G10238	chemical_reaction
R06141	G10336	chemical_reaction
R06018	G10477	chemical_reaction
R06018	G10477	chemical_reaction
R06020	G10477	chemical_reaction
R06020	G10477	chemical_reaction
R06078	G10477	chemical_reaction
R06078	G10477	chemical_reaction
R06204	G10477	chemical_reaction
R06204	G10477	chemical_reaction
R06022	G10481	chemical_reaction
R06022	G10481	chemical_reaction
R06023	G10481	chemical_reaction
R06023	G10481	chemical_reaction
R06030	G10481	chemical_reaction
R06030	G10481	chemical_reaction
R06077	G10481	chemical_reaction
R06077	G10481	chemical_reaction
R06200	G10481	chemical_reaction
R06200	G10481	chemical_reaction
R06028	G10483	chemical_reaction
R06028	G10483	chemical_reaction
R06081	G10483	chemical_reaction
R06081	G10483	chemical_reaction
R06082	G10483	chemical_reaction
R06082	G10483	chemical_reaction
R06241	G10483	chemical_reaction
R06042	G10488	chemical_reaction
R06071	G10488	chemical_reaction
R06093	G10488	chemical_reaction
R06214	G10488	chemical_reaction
R06045	G10492	chemical_reaction
R06045	G10492	chemical_reaction
R06049	G10495	chemical_reaction
R06049	G10495	chemical_reaction
R06050	G10495	chemical_reaction
R06050	G10495	chemical_reaction
R06051	G10495	chemical_reaction
R06051	G10495	chemical_reaction
R06052	G10495	chemical_reaction
R06052	G10495	chemical_reaction
R06069	G10495	chemical_reaction
R06158	G10495	chemical_reaction
R06160	G10495	chemical_reaction
R06184	G10495	chemical_reaction
R06184	G10495	chemical_reaction
R06185	G10495	chemical_reaction
R06186	G10495	chemical_reaction
R06243	G10495	chemical_reaction
R06059	G10497	chemical_reaction
R06059	G10497	chemical_reaction
R06183	G10497	chemical_reaction
R06183	G10497	chemical_reaction
R06183	G10497	chemical_reaction
R06183	G10497	chemical_reaction
R06079	G10499	chemical_reaction
R06079	G10499	chemical_reaction
R06206	G10499	chemical_reaction
R06206	G10499	chemical_reaction
R06206	G10499	chemical_reaction
R06062	G10501	chemical_reaction
R06066	G10502	chemical_reaction
R06066	G10502	chemical_reaction
R06184	G10502	chemical_reaction
R06184	G10502	chemical_reaction
R06067	G10504	chemical_reaction
R06098	G10504	chemical_reaction
R06114	G10504	chemical_reaction
R06116	G10504	chemical_reaction
R06219	G10504	chemical_reaction
R06237	G10504	chemical_reaction
R06068	G10505	chemical_reaction
R06242	G10505	chemical_reaction
R10905	G10505	chemical_reaction
R10905	G10505	chemical_reaction
R06072	G10506	chemical_reaction
R06072	G10506	chemical_reaction
R06201	G10506	chemical_reaction
R06201	G10506	chemical_reaction
R06239	G10506	chemical_reaction
R06239	G10506	chemical_reaction
R06240	G10506	chemical_reaction
R06240	G10506	chemical_reaction
R06250	G10506	chemical_reaction
R06073	G10508	chemical_reaction
R06102	G10508	chemical_reaction
R06211	G10508	chemical_reaction
R06074	G10509	chemical_reaction
R06074	G10509	chemical_reaction
R06149	G10509	chemical_reaction
R06089	G10511	chemical_reaction
R06090	G10511	chemical_reaction
R06083	G10512	chemical_reaction
R06083	G10512	chemical_reaction
R06203	G10512	chemical_reaction
R06203	G10512	chemical_reaction
R06110	G10517	chemical_reaction
R06237	G10517	chemical_reaction
R06112	G10518	chemical_reaction
R06176	G10518	chemical_reaction
R06115	G10519	chemical_reaction
R06236	G10519	chemical_reaction
R06118	G10523	chemical_reaction
R06122	G10524	chemical_reaction
R06127	G10526	chemical_reaction
R06128	G10526	chemical_reaction
R06161	G10528	chemical_reaction
R06142	G10529	chemical_reaction
R06143	G10530	chemical_reaction
R06144	G10531	chemical_reaction
R06219	G10531	chemical_reaction
R06207	G10532	chemical_reaction
R06207	G10532	chemical_reaction
R06213	G10532	chemical_reaction
R06213	G10532	chemical_reaction
R06202	G10534	chemical_reaction
R06202	G10534	chemical_reaction
R06210	G10534	chemical_reaction
R06210	G10534	chemical_reaction
R06208	G10535	chemical_reaction
R06208	G10535	chemical_reaction
R06175	G10536	chemical_reaction
R06175	G10536	chemical_reaction
R06175	G10536	chemical_reaction
R06225	G10536	chemical_reaction
R06225	G10536	chemical_reaction
R06241	G10536	chemical_reaction
R06150	G10540	chemical_reaction
R06151	G10541	chemical_reaction
R01331	G10542	chemical_reaction
R01331	G10542	chemical_reaction
R06149	G10542	chemical_reaction
R06150	G10542	chemical_reaction
R06151	G10542	chemical_reaction
R06157	G10544	chemical_reaction
R06157	G10545	chemical_reaction
R06158	G10545	chemical_reaction
R06185	G10545	chemical_reaction
R06186	G10545	chemical_reaction
R06199	G10545	chemical_reaction
R06199	G10545	chemical_reaction
R06209	G10545	chemical_reaction
R06209	G10545	chemical_reaction
R06209	G10545	chemical_reaction
R06160	G10546	chemical_reaction
R06172	G10550	chemical_reaction
R06172	G10551	chemical_reaction
R06173	G10552	chemical_reaction
R06173	G10553	chemical_reaction
R06179	G10553	chemical_reaction
R06179	G10554	chemical_reaction
R06179	G10554	chemical_reaction
R06174	G10555	chemical_reaction
R06177	G10555	chemical_reaction
R06174	G10556	chemical_reaction
R06177	G10557	chemical_reaction
R06177	G10557	chemical_reaction
R06181	G10558	chemical_reaction
R06182	G10558	chemical_reaction
R12316	G10558	chemical_reaction
R06181	G10559	chemical_reaction
R06182	G10560	chemical_reaction
R06233	G10585	chemical_reaction
R06243	G10589	chemical_reaction
R06244	G10590	chemical_reaction
R06246	G10590	chemical_reaction
R06247	G10590	chemical_reaction
R06250	G10591	chemical_reaction
R06278	G10591	chemical_reaction
R06251	G10592	chemical_reaction
R06258	G10595	chemical_reaction
R06259	G10595	chemical_reaction
R06259	G10596	chemical_reaction
R06260	G10596	chemical_reaction
R06260	G10597	chemical_reaction
R06261	G10597	chemical_reaction
R06262	G10598	chemical_reaction
R06263	G10598	chemical_reaction
R06263	G10599	chemical_reaction
R06264	G10599	chemical_reaction
R06140	G10607	chemical_reaction
R06020	G10608	chemical_reaction
R06023	G10608	chemical_reaction
R06036	G10608	chemical_reaction
R06043	G10608	chemical_reaction
R06045	G10608	chemical_reaction
R06051	G10608	chemical_reaction
R06062	G10608	chemical_reaction
R06073	G10608	chemical_reaction
R06181	G10608	chemical_reaction
R06226	G10608	chemical_reaction
R06275	G10608	chemical_reaction
R09315	G10608	chemical_reaction
R09316	G10608	chemical_reaction
R05903	G10609	chemical_reaction
R05908	G10609	chemical_reaction
R05926	G10609	chemical_reaction
R05927	G10609	chemical_reaction
R05941	G10609	chemical_reaction
R05948	G10609	chemical_reaction
R05953	G10609	chemical_reaction
R05956	G10609	chemical_reaction
R05960	G10609	chemical_reaction
R05964	G10609	chemical_reaction
R05977	G10609	chemical_reaction
R05978	G10609	chemical_reaction
R05989	G10609	chemical_reaction
R06006	G10609	chemical_reaction
R06021	G10609	chemical_reaction
R06029	G10609	chemical_reaction
R06033	G10609	chemical_reaction
R06055	G10609	chemical_reaction
R06067	G10609	chemical_reaction
