CONNECTION_FROM	CONNECTION_TO	CONNECTION_TYPE
K00070	R02216	ko_2_reaction
K00070	R02499	ko_2_reaction
K00070	R02840	ko_2_reaction
K00070	R03327	ko_2_reaction
K00070	R04163	ko_2_reaction
K00070	R04678	ko_2_reaction
K00070	R04849	ko_2_reaction
K00071	R02834	ko_2_reaction
K00071	R03847	ko_2_reaction
K00072	R01813	ko_2_reaction
K00072	R02975	ko_2_reaction
K00072	R08208	ko_2_reaction
K00072	R11762	ko_2_reaction
K00072	R11763	ko_2_reaction
K00073	R02935	ko_2_reaction
K00073	R02936	ko_2_reaction
K00074	R01976	ko_2_reaction
K00074	R05576	ko_2_reaction
K00074	R06941	ko_2_reaction
K00075	R03191	ko_2_reaction
K00075	R03192	ko_2_reaction
K00077	R02472	ko_2_reaction
K00078	R01430	ko_2_reaction
K00078	R07015	ko_2_reaction
K00079	R02581	ko_2_reaction
K00079	R02975	ko_2_reaction
K00079	R04285	ko_2_reaction
K00079	R09420	ko_2_reaction
K00081	R02581	ko_2_reaction
K00081	R09420	ko_2_reaction
K00082	R03458	ko_2_reaction
K00083	R02593	ko_2_reaction
K00083	R03918	ko_2_reaction
K00083	R06570	ko_2_reaction
K00083	R06571	ko_2_reaction
K00083	R07437	ko_2_reaction
K00084	R02581	ko_2_reaction
K00084	R09420	ko_2_reaction
K00086	R02377	ko_2_reaction
K00086	R03119	ko_2_reaction
K00087	R01768	ko_2_reaction
K00087	R02103	ko_2_reaction
K00088	R01130	ko_2_reaction
K00088	R08240	ko_2_reaction
K00089	R08955	ko_2_reaction
K00089	R08957	ko_2_reaction
K00089	R08960	ko_2_reaction
K00090	R00465	ko_2_reaction
K00090	R01388	ko_2_reaction
K00090	R01392	ko_2_reaction
K00090	R01739	ko_2_reaction
K00093	R00605	ko_2_reaction
K00094	R05571	ko_2_reaction
K00096	R05679	ko_2_reaction
K00096	R05680	ko_2_reaction
K00097	R05681	ko_2_reaction
K00097	R05837	ko_2_reaction
K00097	R07406	ko_2_reaction
K00098	R05684	ko_2_reaction
K00099	R05688	ko_2_reaction
K00100	R03544	ko_2_reaction
K00100	R03545	ko_2_reaction
K00101	R00196	ko_2_reaction
K00102	R00197	ko_2_reaction
K00103	R00647	ko_2_reaction
K00103	R03184	ko_2_reaction
K00103	R10053	ko_2_reaction
K00104	R00475	ko_2_reaction
K00105	R00846	ko_2_reaction
K00106	R01768	ko_2_reaction
K00106	R01769	ko_2_reaction
K00106	R02103	ko_2_reaction
K00106	R02107	ko_2_reaction
K00106	R07942	ko_2_reaction
K00106	R07977	ko_2_reaction
K00106	R07978	ko_2_reaction
K00106	R07979	ko_2_reaction
K00106	R08235	ko_2_reaction
K00108	R01025	ko_2_reaction
K00109	R03534	ko_2_reaction
K00111	R00848	ko_2_reaction
K00112	R00848	ko_2_reaction
K00113	R00848	ko_2_reaction
K00114	R05062	ko_2_reaction
K00114	R05198	ko_2_reaction
K00114	R05285	ko_2_reaction
K00115	R00305	ko_2_reaction
K00116	R00360	ko_2_reaction
K00116	R00361	ko_2_reaction
K00116	R01257	ko_2_reaction
K00117	R06620	ko_2_reaction
K00121	R00623	ko_2_reaction
K00121	R00754	ko_2_reaction
K00121	R02124	ko_2_reaction
K00121	R04880	ko_2_reaction
K00121	R05233	ko_2_reaction
K00121	R05234	ko_2_reaction
K00121	R06917	ko_2_reaction
K00121	R06927	ko_2_reaction
K00121	R06983	ko_2_reaction
K00121	R07105	ko_2_reaction
K00121	R08281	ko_2_reaction
K00121	R08306	ko_2_reaction
K00121	R08310	ko_2_reaction
K00122	R00519	ko_2_reaction
K00123	R00519	ko_2_reaction
K00124	R00519	ko_2_reaction
K00125	R10797	ko_2_reaction
K00125	R11944	ko_2_reaction
K00126	R00519	ko_2_reaction
K00127	R00519	ko_2_reaction
K00128	R00264	ko_2_reaction
K00128	R00631	ko_2_reaction
K00128	R00710	ko_2_reaction
K00128	R00904	ko_2_reaction
K00128	R01752	ko_2_reaction
K00128	R01986	ko_2_reaction
K00128	R02549	ko_2_reaction
K00128	R02678	ko_2_reaction
K00128	R02940	ko_2_reaction
K00128	R02957	ko_2_reaction
K00128	R03283	ko_2_reaction
K00128	R03869	ko_2_reaction
K00128	R04065	ko_2_reaction
K00128	R04506	ko_2_reaction
K00128	R04903	ko_2_reaction
K00128	R05050	ko_2_reaction
K00128	R05237	ko_2_reaction
K00128	R05238	ko_2_reaction
K00128	R05286	ko_2_reaction
K00128	R06366	ko_2_reaction
K00128	R08146	ko_2_reaction
K00129	R00711	ko_2_reaction
K00129	R00904	ko_2_reaction
K00129	R02536	ko_2_reaction
K00129	R02537	ko_2_reaction
K00129	R02695	ko_2_reaction
K00129	R02697	ko_2_reaction
K00129	R03300	ko_2_reaction
K00129	R03302	ko_2_reaction
K00129	R04882	ko_2_reaction
K00129	R04883	ko_2_reaction
K00129	R04888	ko_2_reaction
K00129	R04889	ko_2_reaction
K00129	R04891	ko_2_reaction
K00129	R04892	ko_2_reaction
K00129	R04996	ko_2_reaction
K00129	R07104	ko_2_reaction
K00129	R08282	ko_2_reaction
K00129	R08283	ko_2_reaction
K00129	R08307	ko_2_reaction
K00130	R02565	ko_2_reaction
K00130	R02566	ko_2_reaction
K00131	R01058	ko_2_reaction
K00132	R00228	ko_2_reaction
K00132	R01172	ko_2_reaction
K00133	R02291	ko_2_reaction
K00134	R01061	ko_2_reaction
K00135	R00713	ko_2_reaction
K00135	R00714	ko_2_reaction
K00135	R02401	ko_2_reaction
K00137	R02549	ko_2_reaction
K00137	R12215	ko_2_reaction
K00138	R00711	ko_2_reaction
K00139	R00713	ko_2_reaction
K00140	R00705	ko_2_reaction
K00140	R00706	ko_2_reaction
K00140	R00922	ko_2_reaction
K00140	R00935	ko_2_reaction
K00141	R01293	ko_2_reaction
K00141	R01419	ko_2_reaction
K00141	R05289	ko_2_reaction
K00141	R05663	ko_2_reaction
K00141	R05664	ko_2_reaction
K00141	R07667	ko_2_reaction
K00143	R03098	ko_2_reaction
K00143	R04390	ko_2_reaction
K00143	R04863	ko_2_reaction
K00143	R11679	ko_2_reaction
K00145	R03443	ko_2_reaction
K00146	R02536	ko_2_reaction
K00147	R03313	ko_2_reaction
K00148	R00604	ko_2_reaction
K00149	R00631	ko_2_reaction
K00149	R00710	ko_2_reaction
K00149	R00904	ko_2_reaction
K00149	R01752	ko_2_reaction
K00149	R01986	ko_2_reaction
K00149	R02549	ko_2_reaction
K00149	R02678	ko_2_reaction
K00149	R02940	ko_2_reaction
K00149	R02957	ko_2_reaction
K00149	R03283	ko_2_reaction
K00149	R03869	ko_2_reaction
K00149	R04065	ko_2_reaction
K00149	R04506	ko_2_reaction
K00149	R04903	ko_2_reaction
K00149	R05050	ko_2_reaction
K00150	R01061	ko_2_reaction
K00150	R01063	ko_2_reaction
K00151	R04418	ko_2_reaction
K00152	R02941	ko_2_reaction
K00153	R09129	ko_2_reaction
K00153	R10301	ko_2_reaction
K00156	R03145	ko_2_reaction
K00157	R01709	ko_2_reaction
K00157	R02125	ko_2_reaction
K00157	R02657	ko_2_reaction
K00157	R03871	ko_2_reaction
K00157	R04085	ko_2_reaction
K00157	R04904	ko_2_reaction
K00157	R08349	ko_2_reaction
K00157	R08384	ko_2_reaction
K00157	R08408	ko_2_reaction
K00158	R00207	ko_2_reaction
K00161	R00014	ko_2_reaction
K00161	R00209	ko_2_reaction
K00161	R01699	ko_2_reaction
K00161	R03270	ko_2_reaction
K00162	R00014	ko_2_reaction
K00162	R00209	ko_2_reaction
K00162	R01699	ko_2_reaction
K00162	R03270	ko_2_reaction
K00163	R00014	ko_2_reaction
K00163	R00209	ko_2_reaction
K00163	R01699	ko_2_reaction
K00163	R03270	ko_2_reaction
K00164	R00621	ko_2_reaction
K00164	R03316	ko_2_reaction
K00164	R08549	ko_2_reaction
K00166	R01701	ko_2_reaction
K00166	R01702	ko_2_reaction
K00166	R04225	ko_2_reaction
K00166	R07599	ko_2_reaction
K00166	R07600	ko_2_reaction
K00166	R07601	ko_2_reaction
K00166	R07602	ko_2_reaction
K00166	R07603	ko_2_reaction
K00166	R07604	ko_2_reaction
