ReactionID	StochCoeff	Substrates	other site
R07836	1	C16281	
R07836	1	C00080	
R07836	1	C00007	
R07836	1	C00005	
R05531	1	C11911	
R05531	1	C06630	
R10543	1	C00397	
R10543	1	C20684	
R02509	1	C00001	
R02509	1	C03134	
R10898	1	C00353	
R04983	1	C05803	
R04983	1	C00019	
R05374	1	C07479	
R06556	1	C08650	
R08865	1	C06455	
R04390	1	C00080	
R04390	1	C00005	
R04390	1	C05535	
R05113	1	C00128	
R05113	1	C06138	
R09248	1	C00448	
R09248	5	C00129	
R02340	1	C03506	
R04166	1	C03748	
R03744	1	C00002	
R03744	1	C01867	
R10102	1	C15987	
R10102	1	C00001	
R10102	1	C00007	
R00364	1	C00001	
R00364	1	C00037	
R00364	2	C00125	
R02396	1	C00024	
R02396	1	C00487	
R05117	1	C00001	
R05117	1	C06140	
R08062	1	C16426	
R08062	1	C00001	
R01574	1	C00216	
R01574	1	C00003	
R03739	1	C00001	
R03739	1	C02080	
R08278	1	C07643	
R04791	1	C00001	
R04791	1	C05417	
R06292	1	C00007	
R06292	1	C03024	
R06292	1	C11872	
R10874	1	C11912	
R10874	1	C15683	
R11744	1	C02720	
R11744	1	C00001	
R11744	2	C00006	
R10140	1	C04573	
R10140	1	C00003	
R01888	1	C00002	
R01888	1	C01822	
R10043	1	C00080	
R10043	1	C00007	
R10043	1	C00004	
R10043	1	C00146	
R08699	1	C02218	
R08699	1	C00053	
R03608	1	C00080	
R03608	1	C00007	
R03608	1	C00004	
R03608	1	C01542	
R10296	1	C20470	
R10296	1	C12137	
R09652	2	C02061	
R09652	1	C05421	
R12194	1	C05761	
R12194	1	C21999	
R10772	1	C00002	
R10772	1	C00292	
R10772	1	C00025	
R11153	1	C16361	
R11153	1	C00080	
R11153	1	C00007	
R11153	1	C00004	
R05945	1	G10616	
R05945	1	G00111	
R07840	1	C08586	
R07264	1	C15548	
R07264	1	C00009	
R06817	1	C00083	
R06817	1	C08604	
R06822	1	C01477	
R09030	1	C02962	
R12309	1	C22072	
R03583	1	C01710	
R03583	1	C00006	
R10719	1	C20797	
R10719	1	C00003	
R08277	1	C07643	
R02450	1	C02137	
R02450	1	C00010	
R02450	1	C00003	
R00649	1	C00073	
R00649	1	C00019	
R03109	1	C04517	
R03109	1	C00040	
R08249	1	C00001	
R08249	1	C07585	
R11409	1	C01222	
R11409	1	C00025	
R10613	1	C19803	
R10613	1	C00016	
R00874	1	C00031	
R00874	1	C00095	
