CONNECTION_FROM	CONNECTION_TO	CONNECTION_TYPE
map00404	M00790	belongs_2_pathway
map00404	M00805	belongs_2_pathway
map00404	M00808	belongs_2_pathway
map00405	M00835	belongs_2_pathway
map00410	M00013	belongs_2_pathway
map00430	M00579	belongs_2_pathway
map00460	M00369	belongs_2_pathway
map00480	M00118	belongs_2_pathway
map00500	M00565	belongs_2_pathway
map00500	M00855	belongs_2_pathway
map00500	M00854	belongs_2_pathway
map00510	M00055	belongs_2_pathway
map00510	M00072	belongs_2_pathway
map00510	M00073	belongs_2_pathway
map00510	M00074	belongs_2_pathway
map00510	M00075	belongs_2_pathway
map00512	M00056	belongs_2_pathway
map00513	M00072	belongs_2_pathway
map00513	M00074	belongs_2_pathway
map00515	M00872	belongs_2_pathway
map00520	M00549	belongs_2_pathway
map00520	M00761	belongs_2_pathway
map00520	M00554	belongs_2_pathway
map00521	M00793	belongs_2_pathway
map00522	M00774	belongs_2_pathway
map00522	M00773	belongs_2_pathway
map00522	M00775	belongs_2_pathway
map00522	M00776	belongs_2_pathway
map00522	M00777	belongs_2_pathway
map00523	M00794	belongs_2_pathway
map00523	M00796	belongs_2_pathway
map00523	M00797	belongs_2_pathway
map00523	M00798	belongs_2_pathway
map00523	M00799	belongs_2_pathway
map00523	M00801	belongs_2_pathway
map00523	M00802	belongs_2_pathway
map00523	M00803	belongs_2_pathway
map00523	M00793	belongs_2_pathway
map00523	M00800	belongs_2_pathway
map00523	M00795	belongs_2_pathway
map00525	M00814	belongs_2_pathway
map00525	M00815	belongs_2_pathway
map00531	M00076	belongs_2_pathway
map00531	M00077	belongs_2_pathway
map00531	M00078	belongs_2_pathway
map00531	M00079	belongs_2_pathway
map00532	M00057	belongs_2_pathway
map00532	M00058	belongs_2_pathway
map00534	M00057	belongs_2_pathway
map00534	M00059	belongs_2_pathway
map00540	M00060	belongs_2_pathway
map00540	M00063	belongs_2_pathway
map00540	M00064	belongs_2_pathway
map00540	M00866	belongs_2_pathway
map00540	M00867	belongs_2_pathway
map00561	M00098	belongs_2_pathway
map00561	M00089	belongs_2_pathway
map00562	M00130	belongs_2_pathway
map00562	M00131	belongs_2_pathway
map00562	M00132	belongs_2_pathway
map00563	M00065	belongs_2_pathway
map00564	M00090	belongs_2_pathway
map00564	M00091	belongs_2_pathway
map00564	M00092	belongs_2_pathway
map00564	M00093	belongs_2_pathway
map00565	M00067	belongs_2_pathway
map00592	M00113	belongs_2_pathway
map00600	M00066	belongs_2_pathway
map00600	M00099	belongs_2_pathway
map00600	M00100	belongs_2_pathway
map00600	M00067	belongs_2_pathway
map00600	M00094	belongs_2_pathway
map00601	M00070	belongs_2_pathway
map00601	M00071	belongs_2_pathway
map00603	M00068	belongs_2_pathway
map00604	M00069	belongs_2_pathway
map00620	M00172	belongs_2_pathway
map00620	M00579	belongs_2_pathway
map00620	M00168	belongs_2_pathway
map00620	M00307	belongs_2_pathway
map00620	M00169	belongs_2_pathway
map00621	M00543	belongs_2_pathway
map00621	M00544	belongs_2_pathway
map00622	M00539	belongs_2_pathway
map00622	M00419	belongs_2_pathway
map00622	M00551	belongs_2_pathway
map00622	M00537	belongs_2_pathway
map00622	M00569	belongs_2_pathway
map00623	M00418	belongs_2_pathway
map00623	M00547	belongs_2_pathway
map00623	M00538	belongs_2_pathway
map00624	M00624	belongs_2_pathway
map00624	M00623	belongs_2_pathway
map00624	M00636	belongs_2_pathway
map00626	M00534	belongs_2_pathway
map00626	M00638	belongs_2_pathway
map00627	M00637	belongs_2_pathway
map00630	M00012	belongs_2_pathway
map00630	M00373	belongs_2_pathway
map00630	M00740	belongs_2_pathway
map00630	M00741	belongs_2_pathway
map00630	M00532	belongs_2_pathway
map00640	M00013	belongs_2_pathway
map00640	M00741	belongs_2_pathway
map00650	M00027	belongs_2_pathway
map00660	M00535	belongs_2_pathway
map00670	M00126	belongs_2_pathway
map00670	M00140	belongs_2_pathway
map00670	M00141	belongs_2_pathway
map00680	M00020	belongs_2_pathway
map00680	M00358	belongs_2_pathway
map00680	M00356	belongs_2_pathway
map00680	M00357	belongs_2_pathway
map00680	M00346	belongs_2_pathway
map00680	M00344	belongs_2_pathway
map00680	M00345	belongs_2_pathway
map00680	M00378	belongs_2_pathway
map00680	M00422	belongs_2_pathway
map00680	M00563	belongs_2_pathway
map00680	M00608	belongs_2_pathway
map00680	M00567	belongs_2_pathway
map00680	M00174	belongs_2_pathway
map00710	M00167	belongs_2_pathway
map00710	M00170	belongs_2_pathway
map00710	M00171	belongs_2_pathway
map00710	M00172	belongs_2_pathway
map00710	M00168	belongs_2_pathway
map00710	M00165	belongs_2_pathway
map00710	M00166	belongs_2_pathway
map00710	M00169	belongs_2_pathway
map00720	M00374	belongs_2_pathway
map00720	M00375	belongs_2_pathway
map00720	M00377	belongs_2_pathway
map00720	M00376	belongs_2_pathway
map00720	M00173	belongs_2_pathway
map00720	M00620	belongs_2_pathway
map00720	M00579	belongs_2_pathway
map00730	M00127	belongs_2_pathway
map00740	M00125	belongs_2_pathway
map00750	M00124	belongs_2_pathway
map00760	M00115	belongs_2_pathway
map00760	M00622	belongs_2_pathway
map00760	M00810	belongs_2_pathway
map00760	M00811	belongs_2_pathway
map00770	M00019	belongs_2_pathway
map00770	M00119	belongs_2_pathway
map00770	M00120	belongs_2_pathway
map00780	M00123	belongs_2_pathway
map00780	M00572	belongs_2_pathway
map00780	M00573	belongs_2_pathway
map00780	M00577	belongs_2_pathway
map00790	M00126	belongs_2_pathway
map00790	M00842	belongs_2_pathway
map00790	M00843	belongs_2_pathway
map00790	M00840	belongs_2_pathway
map00790	M00841	belongs_2_pathway
map00790	M00880	belongs_2_pathway
map00860	M00121	belongs_2_pathway
map00860	M00122	belongs_2_pathway
map00860	M00868	belongs_2_pathway
map00860	M00846	belongs_2_pathway
map00860	M00847	belongs_2_pathway
map00860	M00836	belongs_2_pathway
map00900	M00364	belongs_2_pathway
map00900	M00365	belongs_2_pathway
map00900	M00366	belongs_2_pathway
map00900	M00367	belongs_2_pathway
map00900	M00095	belongs_2_pathway
map00900	M00096	belongs_2_pathway
map00900	M00849	belongs_2_pathway
map00905	M00371	belongs_2_pathway
map00906	M00372	belongs_2_pathway
map00906	M00097	belongs_2_pathway
map00910	M00528	belongs_2_pathway
map00910	M00529	belongs_2_pathway
map00910	M00531	belongs_2_pathway
map00910	M00530	belongs_2_pathway
map00910	M00175	belongs_2_pathway
map00910	M00804	belongs_2_pathway
map00920	M00021	belongs_2_pathway
map00920	M00176	belongs_2_pathway
map00920	M00595	belongs_2_pathway
map00920	M00596	belongs_2_pathway
map00940	M00137	belongs_2_pathway
map00940	M00039	belongs_2_pathway
map00941	M00137	belongs_2_pathway
map00941	M00138	belongs_2_pathway
map00966	M00370	belongs_2_pathway
map00997	M00785	belongs_2_pathway
map00997	M00875	belongs_2_pathway
map00997	M00876	belongs_2_pathway
map00998	M00877	belongs_2_pathway
map00998	M00848	belongs_2_pathway
map00998	M00787	belongs_2_pathway
map00999	M00819	belongs_2_pathway
